#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CMO	2011-12-01	0.286667	3.488370e+5	12.480	11.710	13.100	10.810	11.710	12.480	11.710	12.480	0.150	0.000000	12.62	11.71	0.00	1
CMO	2011-11-30	0.293860	3.402980e+5	12.440	11.710	13.100	10.810	11.710	12.400	11.710	12.440	0.430	0.000000	12.59	11.71	0.00	2
CMO	2011-11-29	0.286695	3.488030e+5	12.440	11.710	13.100	10.810	11.710	12.400	11.710	12.440	0.170	0.000000	12.58	11.71	0.00	3
CMO	2011-11-28	0.292836	3.414880e+5	12.440	11.710	13.100	10.810	11.710	12.400	11.710	12.440	0.400	0.000000	12.59	11.71	0.00	4
CMO	2011-11-25	0.287196	3.481940e+5	12.440	11.750	13.100	10.810	11.750	12.400	11.750	12.440	0.240	0.000000	12.58	11.75	0.00	5
CMO	2011-11-23	0.289680	3.452080e+5	12.440	11.870	13.100	10.810	11.940	12.400	11.870	12.440	0.190	0.000000	12.58	11.87	0.00	6
CMO	2011-11-22	0.294927	3.390670e+5	12.440	11.870	13.100	10.810	12.070	12.440	11.870	12.440	0.240	0.000000	12.59	11.87	0.00	7
CMO	2011-11-21	0.297817	3.357760e+5	12.440	11.870	13.100	10.810	12.070	12.440	11.870	12.440	0.240	0.000000	12.59	11.87	0.00	8
CMO	2011-11-18	0.300860	3.323800e+5	12.440	11.600	13.100	10.810	12.070	12.440	11.600	12.440	0.170	0.000000	12.59	11.60	0.00	9
CMO	2011-11-17	0.307748	3.249410e+5	12.440	11.600	13.310	10.810	12.040	12.440	11.600	12.440	0.140	0.000000	12.59	11.60	0.00	10
CMO	2011-11-16	0.316577	3.158790e+5	12.440	11.600	13.310	10.810	12.040	12.440	11.600	12.440	0.370	0.000000	12.60	11.60	0.00	11
CMO	2011-11-15	0.313765	3.187100e+5	12.440	11.600	13.310	10.810	11.870	12.440	11.600	12.440	0.260	0.000000	12.60	11.60	0.00	12
CMO	2011-11-14	0.316595	3.158610e+5	12.440	11.480	13.310	10.810	11.870	12.440	11.480	12.440	0.200	0.000000	12.60	11.48	0.00	13
CMO	2011-11-11	0.322731	3.098550e+5	12.440	11.480	13.310	10.810	11.870	12.440	11.480	12.440	0.190	0.000000	12.60	11.48	0.00	14
CMO	2011-11-10	0.329717	3.032900e+5	12.440	11.310	13.310	10.810	11.870	12.440	11.310	12.440	0.290	0.000000	12.60	11.31	0.00	15
CMO	2011-11-09	0.331808	3.013800e+5	12.440	11.310	13.310	10.810	11.870	12.440	11.310	12.440	0.330	0.000000	12.61	11.31	0.00	16
CMO	2011-11-08	0.331903	3.012930e+5	12.310	11.310	13.310	10.810	11.870	12.310	11.310	12.310	0.230	0.000000	12.48	11.31	0.00	17
CMO	2011-11-07	0.337266	2.965020e+5	12.310	11.310	13.310	10.810	11.870	12.310	11.310	12.310	0.190	0.000000	12.48	11.31	0.00	18
CMO	2011-11-04	0.345017	2.898410e+5	12.310	11.310	13.310	10.810	11.600	12.310	11.310	12.310	0.280	0.000000	12.48	11.31	0.00	19
CMO	2011-11-03	0.348439	2.869950e+5	12.310	11.310	13.310	10.810	11.600	12.310	11.310	12.310	0.200	0.000000	12.48	11.31	0.00	20
CMO	2011-11-02	0.356251	2.807010e+5	12.310	11.210	13.310	10.810	11.600	12.310	11.210	12.310	0.200	0.000000	12.49	11.21	0.00	21
CMO	2011-11-01	0.364475	2.743670e+5	12.310	11.190	13.310	10.810	11.600	12.310	11.190	12.310	0.290	0.000000	12.49	11.19	0.00	22
CMO	2011-10-31	0.368395	2.714480e+5	12.310	10.810	13.310	10.810	11.480	12.310	10.810	12.310	0.170	0.000000	12.49	10.81	0.00	23
CMO	2011-10-28	0.378837	2.639660e+5	12.310	10.810	13.310	10.810	11.480	12.310	10.810	12.310	0.260	0.000000	12.50	10.81	0.00	24
CMO	2011-10-27	0.385091	2.596790e+5	12.310	10.810	13.310	10.810	11.310	12.310	10.810	12.310	0.500	0.000000	12.50	10.81	0.00	25
CMO	2011-10-26	0.379043	2.638220e+5	12.270	10.810	13.310	10.810	11.310	12.270	10.810	12.270	0.250	0.000000	12.46	10.81	0.00	26
CMO	2011-10-25	0.385835	2.591780e+5	12.380	10.810	13.310	10.810	11.310	12.060	10.810	12.380	0.360	0.000000	12.57	10.81	0.00	27
CMO	2011-10-24	0.387195	2.582680e+5	12.380	10.810	13.310	10.810	11.310	11.750	10.810	12.380	0.530	0.000000	12.57	10.81	0.00	28
CMO	2011-10-21	0.379679	2.633810e+5	12.380	10.810	13.310	10.810	11.310	11.750	10.810	12.380	0.460	0.000000	12.57	10.81	0.00	29
CMO	2011-10-20	0.375451	2.663460e+5	12.380	10.810	13.310	10.810	11.310	11.750	10.810	12.380	0.370	0.000000	12.57	10.81	0.00	30
CMO	2011-10-19	0.375738	2.661430e+5	12.380	10.810	13.310	10.810	11.210	11.750	10.810	12.380	0.260	0.000000	12.57	10.81	0.00	31
CMO	2011-10-18	0.381830	2.618970e+5	12.850	10.810	13.310	10.810	11.190	11.750	10.810	12.850	0.270	0.000000	13.04	10.81	0.00	32
CMO	2011-10-17	0.387715	2.579210e+5	13.050	10.810	13.310	10.810	10.810	11.750	10.810	13.050	0.300	0.000000	13.24	10.81	0.00	33
CMO	2011-10-14	0.392332	2.548860e+5	13.100	10.810	13.310	10.810	10.810	11.750	10.810	13.100	0.440	0.000000	13.30	10.81	0.00	34
CMO	2011-10-13	0.389823	2.565270e+5	13.100	10.810	13.310	10.810	10.810	11.750	10.810	13.100	0.270	0.000000	13.29	10.81	0.00	35
CMO	2011-10-12	0.396130	2.524430e+5	13.100	10.810	13.310	10.810	10.810	11.750	10.810	13.100	0.330	0.000000	13.30	10.81	0.00	36
CMO	2011-10-11	0.399610	2.502440e+5	13.100	10.810	13.400	10.810	10.810	12.380	10.810	13.100	0.230	0.000000	13.30	10.81	0.00	37
CMO	2011-10-10	0.408537	2.447760e+5	13.100	10.810	13.610	10.810	10.810	12.380	10.810	13.100	0.310	0.000000	13.30	10.81	0.00	38
CMO	2011-10-07	0.413723	2.417070e+5	13.100	10.810	13.610	10.810	10.810	12.380	10.810	13.100	0.420	0.000000	13.31	10.81	0.00	39
CMO	2011-10-06	0.413393	2.419010e+5	13.100	10.810	13.610	10.810	10.810	12.380	10.810	13.100	0.540	0.000000	13.31	10.81	0.00	40
CMO	2011-10-05	0.406729	2.458640e+5	13.100	10.810	13.610	10.810	10.810	12.380	10.810	13.100	0.320	0.000000	13.30	10.81	0.00	41
CMO	2011-10-04	0.411294	2.431350e+5	13.100	10.810	13.610	10.810	10.810	12.850	10.810	13.100	1.210	0.000000	13.31	10.81	0.00	42
CMO	2011-10-03	0.369257	2.708140e+5	13.100	11.540	13.610	11.450	11.540	13.050	11.540	13.100	0.790	0.000000	13.28	11.54	0.00	43
CMO	2011-09-30	0.347113	2.880910e+5	13.100	11.740	13.610	11.450	11.740	13.100	11.740	13.100	0.270	0.000000	13.27	11.74	0.00	44
CMO	2011-09-29	0.351171	2.847610e+5	13.310	11.740	13.610	11.450	11.740	13.100	11.740	13.310	0.360	0.000000	13.49	11.74	0.00	45
CMO	2011-09-28	0.350706	2.851390e+5	13.310	12.090	13.610	11.450	12.090	13.100	12.090	13.310	0.650	0.000000	13.49	12.09	0.00	46
CMO	2011-09-27	0.334954	2.985480e+5	13.310	12.090	13.610	11.450	12.090	13.100	12.090	13.310	0.250	0.000000	13.48	12.09	0.00	47
CMO	2011-09-26	0.339425	2.946160e+5	13.310	12.090	13.610	11.450	12.090	13.100	12.090	13.310	0.300	0.000000	13.48	12.09	0.00	48
CMO	2011-09-23	0.341500	2.928250e+5	13.310	12.340	13.610	11.450	12.340	13.100	12.340	13.310	0.350	0.000000	13.48	12.34	0.00	49
CMO	2011-09-22	0.341053	2.932090e+5	13.310	12.380	13.610	11.450	12.380	13.100	12.380	13.310	0.470	0.000000	13.48	12.38	0.00	50
CMO	2011-09-21	0.334266	2.991630e+5	13.310	12.540	13.610	11.450	12.680	13.100	12.540	13.310	0.540	0.000000	13.48	12.54	0.00	51
CMO	2011-09-20	0.323438	3.091780e+5	13.310	12.540	13.610	11.450	12.680	13.100	12.540	13.310	0.250	0.000000	13.47	12.54	0.00	52
CMO	2011-09-19	0.327304	3.055270e+5	13.310	12.540	13.610	11.450	12.540	13.100	12.540	13.310	0.140	0.000000	13.47	12.54	0.00	53
