#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CNQ	2011-12-01	1.335370	7.488560e+4	38.690	33.960	38.690	28.900	33.960	38.310	33.960	38.690	0.830	0.000000	39.36	33.96	0.00	1
CNQ	2011-11-30	1.361970	7.342320e+4	38.690	33.960	38.690	28.900	33.960	38.690	33.960	38.690	1.960	0.000000	39.37	33.96	0.00	2
CNQ	2011-11-29	1.330490	7.516010e+4	38.690	33.960	38.690	28.900	33.960	38.690	33.960	38.690	1.270	0.000000	39.36	33.96	0.00	3
CNQ	2011-11-28	1.333680	7.498070e+4	38.690	33.960	38.690	28.900	33.960	38.690	33.960	38.690	2.020	0.000000	39.36	33.96	0.00	4
CNQ	2011-11-25	1.297550	7.706810e+4	38.690	34.050	38.690	28.900	34.740	38.690	34.050	38.690	1.350	0.000000	39.34	34.05	0.00	5
CNQ	2011-11-24	1.294790	7.723240e+4	38.690	34.050	38.690	28.900	34.990	38.690	34.050	38.690	0.600	0.000000	39.34	34.05	0.00	6
CNQ	2011-11-23	1.331360	7.511110e+4	38.690	34.050	38.690	28.900	36.170	38.690	34.050	38.690	1.530	0.000000	39.36	34.05	0.00	7
CNQ	2011-11-22	1.320910	7.570550e+4	38.690	33.840	38.690	28.900	36.480	38.690	33.840	38.690	0.900	0.000000	39.35	33.84	0.00	8
CNQ	2011-11-21	1.343060	7.445680e+4	38.690	33.840	38.690	28.900	36.970	38.690	33.840	38.690	1.290	0.000000	39.36	33.84	0.00	9
CNQ	2011-11-18	1.345850	7.430230e+4	38.690	33.660	38.690	28.900	36.970	38.690	33.660	38.690	1.230	0.000000	39.36	33.66	0.00	10
CNQ	2011-11-17	1.351950	7.396720e+4	38.690	32.430	38.690	28.900	36.970	38.690	32.430	38.690	1.990	0.000000	39.37	32.43	0.00	11
CNQ	2011-11-16	1.318370	7.585130e+4	38.550	32.430	38.550	28.900	34.980	38.550	32.430	38.550	1.940	0.000000	39.21	32.43	0.00	12
CNQ	2011-11-15	1.285650	7.778160e+4	38.550	32.430	38.550	28.900	34.050	38.550	32.430	38.550	0.710	0.000000	39.19	32.43	0.00	13
CNQ	2011-11-14	1.315950	7.599080e+4	38.550	31.960	38.550	28.900	34.050	38.550	31.960	38.550	0.810	0.000000	39.21	31.96	0.00	14
CNQ	2011-11-11	1.342580	7.448360e+4	38.550	31.960	38.550	28.900	34.050	38.550	31.960	38.550	1.120	0.000000	39.22	31.96	0.00	15
CNQ	2011-11-10	1.354290	7.383930e+4	38.550	31.730	38.550	28.900	34.050	38.550	31.730	38.550	1.260	0.000000	39.23	31.73	0.00	16
CNQ	2011-11-09	1.359260	7.356970e+4	38.550	31.730	38.550	28.900	34.050	38.550	31.730	38.550	1.590	0.000000	39.23	31.73	0.00	17
CNQ	2011-11-08	1.347110	7.423290e+4	38.230	31.210	38.230	28.900	33.840	38.230	31.210	38.230	0.810	0.000000	38.90	31.21	0.00	18
