#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CNR	2011-12-01	1.482600	6.744900e+4	80.780	77.020	80.780	65.650	77.020	80.020	77.020	80.780	0.800	0.000000	81.52	77.02	0.00	1
CNR	2011-11-30	1.518530	6.585320e+4	80.780	77.020	80.780	65.650	77.020	80.020	77.020	80.780	2.010	0.000000	81.54	77.02	0.00	2
CNR	2011-11-29	1.492660	6.699440e+4	80.780	77.020	80.780	65.650	77.020	80.280	77.020	80.780	0.800	0.000000	81.53	77.02	0.00	3
CNR	2011-11-28	1.529120	6.539720e+4	80.780	77.020	80.780	65.650	77.020	80.510	77.020	80.780	1.390	0.000000	81.54	77.02	0.00	4
CNR	2011-11-25	1.536440	6.508560e+4	80.780	77.020	80.780	65.650	77.020	80.780	77.020	80.780	1.190	0.000000	81.55	77.02	0.00	5
CNR	2011-11-24	1.554670	6.432220e+4	80.780	77.510	80.780	65.650	77.510	80.780	77.510	80.780	1.350	0.000000	81.56	77.51	0.00	6
CNR	2011-11-23	1.565440	6.387960e+4	80.780	76.560	80.780	65.650	78.510	80.780	76.560	80.780	1.170	0.000000	81.56	76.56	0.00	7
CNR	2011-11-22	1.586260	6.304150e+4	80.780	75.130	80.780	65.650	78.750	80.780	75.130	80.780	0.710	0.000000	81.57	75.13	0.00	8
CNR	2011-11-21	1.632380	6.126040e+4	80.780	75.130	80.780	65.650	78.790	80.780	75.130	80.780	1.660	0.000000	81.60	75.13	0.00	9
CNR	2011-11-18	1.630920	6.131500e+4	80.780	75.040	80.780	65.650	78.790	80.780	75.040	80.780	1.950	0.000000	81.60	75.04	0.00	10
CNR	2011-11-17	1.614130	6.195290e+4	80.780	73.880	80.780	65.650	79.060	80.780	73.880	80.780	1.060	0.000000	81.59	73.88	0.00	11
CNR	2011-11-16	1.643290	6.085340e+4	80.780	73.880	80.780	65.650	79.020	80.780	73.880	80.780	1.210	0.000000	81.60	73.88	0.00	12
CNR	2011-11-15	1.666100	6.002050e+4	80.780	73.880	80.780	65.650	78.750	80.780	73.880	80.780	0.700	0.000000	81.61	73.88	0.00	13
CNR	2011-11-14	1.716950	5.824300e+4	80.780	72.500	80.780	65.650	78.080	80.780	72.500	80.780	1.360	0.000000	81.64	72.50	0.00	14
CNR	2011-11-11	1.735730	5.761260e+4	80.710	72.500	80.710	65.650	78.080	80.710	72.500	80.710	1.240	0.000000	81.58	72.50	0.00	15
CNR	2011-11-10	1.761820	5.675940e+4	80.710	72.500	80.710	65.650	78.080	80.710	72.500	80.710	1.990	0.000000	81.59	72.50	0.00	16
CNR	2011-11-09	1.749810	5.714890e+4	80.710	72.500	80.710	65.650	76.560	80.710	72.500	80.710	1.760	0.000000	81.58	72.50	0.00	17
CNR	2011-11-08	1.749280	5.716640e+4	80.710	72.500	80.710	65.650	75.130	80.710	72.500	80.710	1.430	0.000000	81.58	72.50	0.00	18
CNR	2011-11-07	1.766080	5.662250e+4	80.000	72.260	80.000	65.650	75.130	80.000	72.260	80.000	1.010	0.000000	80.88	72.26	0.00	19
CNR	2011-11-04	1.805880	5.537480e+4	80.000	72.260	80.000	65.650	75.040	80.000	72.260	80.000	1.240	0.000000	80.90	72.26	0.00	20
CNR	2011-11-03	1.835660	5.447630e+4	79.750	70.490	79.750	65.650	73.880	79.750	70.490	79.750	1.300	0.000000	80.67	70.49	0.00	21
CNR	2011-11-02	1.863850	5.365230e+4	79.750	69.360	79.750	65.650	73.880	79.750	69.360	79.750	1.040	0.000000	80.68	69.36	0.00	22
CNR	2011-11-01	1.907210	5.243250e+4	79.750	68.380	79.750	65.650	73.880	79.750	68.380	79.750	3.150	0.000000	80.70	68.38	0.00	23
CNR	2011-10-31	1.841800	5.429460e+4	79.750	68.380	79.750	65.650	72.500	79.750	68.380	79.750	1.670	0.000000	80.67	68.38	0.00	24
CNR	2011-10-28	1.850840	5.402940e+4	79.050	68.380	79.050	65.650	72.500	79.050	68.380	79.050	1.520	0.000000	79.98	68.38	0.00	25
CNR	2011-10-27	1.868260	5.352580e+4	76.560	68.380	76.560	65.650	72.500	76.560	68.380	76.560	2.800	0.000000	77.49	68.38	0.00	26
CNR	2011-10-26	1.819220	5.496860e+4	75.200	68.380	75.200	65.650	72.500	75.200	68.380	75.200	2.600	0.000000	76.11	68.38	0.00	27
