#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
COF	2011-12-01	1.599660	6.251310e+4	46.850	39.850	47.070	37.750	39.850	44.660	39.850	46.850	0.820	0.000000	47.65	39.85	0.00	1
COF	2011-11-30	1.640700	6.094960e+4	46.850	39.850	47.070	37.750	39.850	43.680	39.850	46.850	3.180	0.000000	47.67	39.85	0.00	2
COF	2011-11-29	1.559680	6.411560e+4	46.850	39.850	47.070	37.750	39.850	43.810	39.850	46.850	0.560	0.000000	47.63	39.85	0.00	3
COF	2011-11-28	1.612300	6.202320e+4	46.900	39.850	47.070	37.750	39.850	45.020	39.850	46.900	1.860	0.000000	47.71	39.85	0.00	4
COF	2011-11-25	1.599260	6.252890e+4	47.070	39.850	47.070	37.750	39.850	45.020	39.850	47.070	0.800	0.000000	47.87	39.85	0.00	5
COF	2011-11-23	1.641330	6.092630e+4	47.070	40.770	47.070	37.750	40.770	45.020	40.770	47.070	1.470	0.000000	47.89	40.77	0.00	6
COF	2011-11-22	1.650350	6.059340e+4	47.070	40.980	47.070	37.750	40.980	46.850	40.980	47.070	0.850	0.000000	47.90	40.98	0.00	7
COF	2011-11-21	1.692470	5.908530e+4	47.070	41.210	47.070	37.750	41.210	46.850	41.210	47.070	1.640	0.000000	47.92	41.21	0.00	8
COF	2011-11-18	1.695230	5.898900e+4	47.070	41.210	47.070	37.750	41.210	46.850	41.210	47.070	0.730	0.000000	47.92	41.21	0.00	9
COF	2011-11-17	1.746030	5.727270e+4	47.070	40.490	47.070	37.750	42.070	46.850	40.490	47.070	1.520	0.000000	47.94	40.49	0.00	10
COF	2011-11-16	1.757930	5.688510e+4	47.070	39.750	47.070	37.750	43.680	46.850	39.750	47.070	1.640	0.000000	47.95	39.75	0.00	11
COF	2011-11-15	1.764140	5.668500e+4	47.070	39.750	47.070	37.750	43.770	46.850	39.750	47.070	1.340	0.000000	47.95	39.75	0.00	12
COF	2011-11-14	1.786460	5.597670e+4	47.070	39.750	47.070	37.750	43.770	46.850	39.750	47.070	1.660	0.000000	47.96	39.75	0.00	13
