#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
COMP	2011-11-30	60.338600	1.657310e+3	2727.490	2441.510	2738.630	2335.830	2441.510	2686.200	2441.510	2727.490	104.830	0.000000	2757.66	2441.51	0.00	1
COMP	2011-11-29	57.996900	1.724230e+3	2727.490	2441.510	2738.630	2335.830	2441.510	2686.200	2441.510	2727.490	34.190	0.000000	2756.49	2441.51	0.00	2
COMP	2011-11-28	59.249900	1.687770e+3	2737.150	2441.510	2738.630	2335.830	2441.510	2686.200	2441.510	2737.150	89.810	0.000000	2766.77	2441.51	0.00	3
COMP	2011-11-25	57.641500	1.734860e+3	2738.630	2460.080	2738.630	2335.830	2460.080	2686.200	2460.080	2738.630	35.550	0.000000	2767.45	2460.08	0.00	4
COMP	2011-11-23	58.804200	1.700560e+3	2738.630	2521.280	2738.630	2335.830	2521.280	2686.200	2521.280	2738.630	61.200	0.000000	2768.03	2521.28	0.00	5
COMP	2011-11-22	58.678100	1.704210e+3	2738.630	2523.140	2738.630	2335.830	2523.140	2727.490	2523.140	2738.630	35.210	0.000000	2767.97	2523.14	0.00	6
COMP	2011-11-21	59.913300	1.669080e+3	2738.630	2572.500	2738.630	2335.830	2572.500	2727.490	2572.500	2738.630	71.610	0.000000	2768.59	2572.50	0.00	7
COMP	2011-11-18	59.297600	1.686410e+3	2738.630	2587.990	2738.630	2335.830	2587.990	2727.490	2587.990	2738.630	28.690	0.000000	2768.28	2587.99	0.00	8
COMP	2011-11-17	60.908600	1.641810e+3	2738.630	2598.620	2738.630	2335.830	2621.650	2727.490	2598.620	2738.630	63.390	0.000000	2769.08	2598.62	0.00	9
COMP	2011-11-16	60.778000	1.645330e+3	2738.630	2598.620	2738.630	2335.830	2621.650	2727.490	2598.620	2738.630	50.950	0.000000	2769.02	2598.62	0.00	10
COMP	2011-11-15	61.295200	1.631450e+3	2738.630	2598.620	2738.630	2335.830	2606.960	2727.490	2598.620	2738.630	51.870	0.000000	2769.28	2598.62	0.00	11
COMP	2011-11-14	61.791300	1.618350e+3	2738.630	2598.620	2738.630	2335.830	2606.960	2727.490	2598.620	2738.630	34.650	0.000000	2769.53	2598.62	0.00	12
COMP	2011-11-11	63.219800	1.581780e+3	2738.630	2598.620	2738.630	2335.830	2606.960	2737.150	2598.620	2738.630	59.520	0.000000	2770.24	2598.62	0.00	13
COMP	2011-11-10	63.414500	1.576930e+3	2738.630	2598.620	2738.630	2335.830	2606.960	2738.630	2598.620	2738.630	50.610	0.000000	2770.34	2598.62	0.00	14
COMP	2011-11-09	64.088400	1.560340e+3	2738.630	2598.620	2738.630	2335.830	2606.960	2738.630	2598.620	2738.630	109.560	0.000000	2770.67	2598.62	0.00	15
COMP	2011-11-08	61.695200	1.620870e+3	2738.630	2583.030	2738.630	2335.830	2606.960	2738.630	2583.030	2738.630	49.460	0.000000	2769.48	2583.03	0.00	16
COMP	2011-11-07	62.339100	1.604130e+3	2738.630	2566.050	2738.630	2335.830	2606.960	2738.630	2566.050	2738.630	47.960	0.000000	2769.80	2566.05	0.00	17
COMP	2011-11-04	63.095900	1.584890e+3	2738.630	2479.350	2738.630	2335.830	2606.960	2738.630	2479.350	2738.630	42.850	0.000000	2770.18	2479.35	0.00	18
COMP	2011-11-03	64.161500	1.558570e+3	2738.630	2479.350	2738.630	2335.830	2598.620	2738.630	2479.350	2738.630	71.620	0.000000	2770.71	2479.35	0.00	19
COMP	2011-11-02	63.769000	1.568160e+3	2738.630	2460.510	2738.630	2335.830	2598.620	2738.630	2460.510	2738.630	41.500	0.000000	2770.51	2460.51	0.00	20
COMP	2011-11-01	64.941000	1.539860e+3	2738.630	2404.820	2738.630	2335.830	2598.620	2738.630	2404.820	2738.630	87.250	0.000000	2771.10	2404.82	0.00	21
COMP	2011-10-31	63.766900	1.568210e+3	2738.630	2335.830	2738.630	2335.830	2598.620	2738.630	2335.830	2738.630	53.020	0.000000	2770.51	2335.83	0.00	22
COMP	2011-10-28	64.332500	1.554420e+3	2738.630	2335.830	2738.630	2335.830	2598.620	2738.630	2335.830	2738.630	19.240	0.000000	2770.80	2335.83	0.00	23
COMP	2011-10-27	66.705800	1.499120e+3	2699.440	2335.830	2699.440	2335.830	2598.620	2699.440	2335.830	2699.440	102.700	0.000000	2732.79	2335.83	0.00	24
COMP	2011-10-26	64.811300	1.542940e+3	2699.440	2335.830	2699.440	2335.830	2598.620	2699.440	2335.830	2699.440	67.550	0.000000	2731.85	2335.83	0.00	25
COMP	2011-10-25	64.667200	1.546380e+3	2699.440	2335.830	2699.440	2335.830	2583.030	2699.440	2335.830	2699.440	65.500	0.000000	2731.77	2335.83	0.00	26
COMP	2011-10-24	64.623400	1.547430e+3	2667.850	2335.830	2667.850	2335.830	2566.050	2667.850	2335.830	2667.850	65.610	0.000000	2700.16	2335.83	0.00	27
COMP	2011-10-21	64.571400	1.548670e+3	2667.850	2335.830	2667.850	2335.830	2479.350	2667.850	2335.830	2667.850	48.300	0.000000	2700.14	2335.83	0.00	28
COMP	2011-10-20	65.427800	1.528400e+3	2667.850	2335.830	2693.070	2335.830	2479.350	2667.850	2335.830	2667.850	49.220	0.000000	2700.56	2335.83	0.00	29
COMP	2011-10-19	66.280900	1.508730e+3	2667.850	2335.830	2693.070	2335.830	2460.510	2667.850	2335.830	2667.850	59.660	0.000000	2700.99	2335.83	0.00	30
COMP	2011-10-18	66.629300	1.500840e+3	2667.850	2335.830	2744.610	2335.830	2404.820	2667.850	2335.830	2667.850	81.260	0.000000	2701.16	2335.83	0.00	31
COMP	2011-10-17	65.859300	1.518390e+3	2667.850	2335.830	2756.380	2335.830	2335.830	2667.850	2335.830	2667.850	60.940	0.000000	2700.78	2335.83	0.00	32
COMP	2011-10-14	66.118200	1.512440e+3	2622.310	2335.830	2766.250	2335.830	2335.830	2620.240	2335.830	2622.310	47.610	0.000000	2655.37	2335.83	0.00	33
COMP	2011-10-13	67.092300	1.490480e+3	2622.310	2335.830	2766.250	2335.830	2335.830	2604.730	2335.830	2622.310	36.510	0.000000	2655.86	2335.83	0.00	34
COMP	2011-10-12	68.701900	1.455560e+3	2622.310	2335.830	2839.960	2335.830	2335.830	2583.030	2335.830	2622.310	46.460	0.000000	2656.66	2335.83	0.00	35
COMP	2011-10-11	69.872600	1.431180e+3	2622.310	2335.830	2842.800	2335.830	2335.830	2566.050	2335.830	2622.310	35.340	0.000000	2657.25	2335.83	0.00	36
COMP	2011-10-10	71.690100	1.394890e+3	2622.310	2335.830	2858.830	2335.830	2335.830	2546.830	2335.830	2622.310	86.700	0.000000	2658.16	2335.83	0.00	37
COMP	2011-10-07	70.900100	1.410440e+3	2622.310	2335.830	2858.830	2335.830	2335.830	2546.830	2335.830	2622.310	43.540	0.000000	2657.76	2335.83	0.00	38
COMP	2011-10-06	72.340100	1.382360e+3	2622.310	2335.830	2858.830	2335.830	2335.830	2546.830	2335.830	2622.310	60.720	0.000000	2658.48	2335.83	0.00	39
COMP	2011-10-05	72.951600	1.370770e+3	2622.310	2335.830	2858.830	2335.830	2335.830	2546.830	2335.830	2622.310	85.540	0.000000	2658.79	2335.83	0.00	40
COMP	2011-10-04	72.289100	1.383330e+3	2622.310	2335.830	2858.830	2335.830	2335.830	2590.240	2335.830	2622.310	107.780	0.000000	2658.45	2335.83	0.00	41
COMP	2011-10-03	70.421200	1.420030e+3	2622.310	2415.400	2858.830	2341.840	2415.400	2612.830	2415.400	2622.310	95.650	0.000000	2657.52	2415.40	0.00	42
COMP	2011-09-30	69.093300	1.447320e+3	2622.310	2455.670	2858.830	2341.840	2455.670	2622.310	2455.670	2622.310	65.690	0.000000	2656.86	2455.67	0.00	43
COMP	2011-09-29	69.272400	1.443580e+3	2622.310	2455.670	2858.830	2341.840	2455.670	2622.310	2455.670	2622.310	105.390	0.000000	2656.95	2455.67	0.00	44
COMP	2011-09-28	67.371500	1.484310e+3	2622.310	2455.670	2858.830	2341.840	2455.670	2622.310	2455.670	2622.310	78.720	0.000000	2656.00	2455.67	0.00	45
COMP	2011-09-27	66.774200	1.497580e+3	2622.310	2455.670	2858.830	2341.840	2455.670	2622.310	2455.670	2622.310	74.250	0.000000	2655.70	2455.67	0.00	46
COMP	2011-09-26	66.380800	1.506460e+3	2622.310	2455.670	2859.810	2341.840	2455.670	2622.310	2455.670	2622.310	72.790	0.000000	2655.50	2455.67	0.00	47
COMP	2011-09-23	66.043400	1.514150e+3	2622.310	2419.630	2872.660	2341.840	2455.670	2622.310	2419.630	2622.310	52.440	0.000000	2655.33	2419.63	0.00	48
COMP	2011-09-22	66.759400	1.497920e+3	2622.310	2419.630	2872.660	2341.840	2467.990	2622.310	2419.630	2622.310	117.960	0.000000	2655.69	2419.63	0.00	49
COMP	2011-09-21	64.064600	1.560920e+3	2622.310	2419.630	2872.660	2341.840	2467.990	2622.310	2419.630	2622.310	75.830	0.000000	2654.34	2419.63	0.00	50
COMP	2011-09-20	63.445400	1.576160e+3	2622.310	2345.380	2872.660	2341.840	2467.990	2622.310	2345.380	2622.310	53.850	0.000000	2654.03	2345.38	0.00	51
COMP	2011-09-19	63.950400	1.563710e+3	2622.310	2341.840	2872.660	2341.840	2467.990	2622.310	2341.840	2622.310	62.880	0.000000	2654.29	2341.84	0.00	52
