#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
COP	2011-12-01	1.702890	5.872370e+4	72.740	66.140	72.850	60.990	66.140	71.320	66.140	72.740	0.870	0.000000	73.59	66.14	0.00	1
COP	2011-11-30	1.746730	5.725000e+4	72.740	66.140	72.850	60.990	66.140	71.990	66.140	72.740	3.230	0.000000	73.61	66.14	0.00	2
COP	2011-11-29	1.668660	5.992840e+4	72.740	66.140	72.850	60.990	66.140	71.990	66.140	72.740	1.220	0.000000	73.57	66.14	0.00	3
COP	2011-11-28	1.692270	5.909210e+4	72.740	66.140	72.850	60.990	66.140	72.140	66.140	72.740	2.130	0.000000	73.59	66.14	0.00	4
COP	2011-11-25	1.669230	5.990770e+4	72.850	66.930	72.850	60.990	66.930	72.140	66.930	72.850	1.040	0.000000	73.68	66.93	0.00	5
COP	2011-11-23	1.702350	5.874230e+4	72.850	67.920	72.850	60.990	68.140	72.140	67.920	72.850	1.210	0.000000	73.70	67.92	0.00	6
COP	2011-11-22	1.728270	5.786150e+4	72.850	67.920	72.850	60.990	68.850	72.740	67.920	72.850	1.020	0.000000	73.71	67.92	0.00	7
COP	2011-11-21	1.765540	5.663980e+4	72.850	67.920	72.850	60.990	69.270	72.740	67.920	72.850	1.400	0.000000	73.73	67.92	0.00	8
COP	2011-11-18	1.784780	5.602930e+4	72.850	67.920	72.850	60.990	69.560	72.740	67.920	72.850	1.150	0.000000	73.74	67.92	0.00	9
COP	2011-11-17	1.818190	5.499970e+4	72.850	67.920	72.850	60.990	69.760	72.740	67.920	72.850	1.910	0.000000	73.76	67.92	0.00	10
COP	2011-11-16	1.813360	5.514630e+4	72.850	67.920	72.850	60.990	69.100	72.740	67.920	72.850	2.580	0.000000	73.76	67.92	0.00	11
COP	2011-11-15	1.773010	5.640130e+4	72.850	67.920	72.850	60.990	67.920	72.740	67.920	72.850	1.080	0.000000	73.74	67.92	0.00	12
COP	2011-11-14	1.809480	5.526440e+4	72.850	67.920	72.850	60.990	67.920	72.740	67.920	72.850	1.000	0.000000	73.75	67.92	0.00	13
COP	2011-11-11	1.852090	5.399310e+4	72.850	67.920	72.850	60.990	67.920	72.740	67.920	72.850	1.340	0.000000	73.78	67.92	0.00	14
COP	2011-11-10	1.879040	5.321870e+4	72.850	67.040	72.850	60.990	67.920	72.850	67.040	72.850	1.670	0.000000	73.79	67.04	0.00	15
COP	2011-11-09	1.890040	5.290890e+4	72.850	67.040	72.850	60.990	67.920	72.850	67.040	72.850	2.840	0.000000	73.80	67.04	0.00	16
COP	2011-11-08	1.840040	5.434650e+4	72.850	67.020	72.850	60.990	67.920	72.850	67.020	72.850	1.790	0.000000	73.77	67.02	0.00	17
COP	2011-11-07	1.842680	5.426880e+4	72.850	66.950	72.850	60.990	67.920	72.850	66.950	72.850	1.430	0.000000	73.77	66.95	0.00	18
COP	2011-11-04	1.864400	5.363660e+4	72.850	64.160	72.850	60.990	67.920	72.850	64.160	72.850	1.270	0.000000	73.78	64.16	0.00	19
COP	2011-11-03	1.895680	5.275150e+4	72.850	64.160	72.850	60.990	67.920	72.850	64.160	72.850	1.820	0.000000	73.80	64.16	0.00	20
COP	2011-11-02	1.899670	5.264080e+4	72.850	63.930	72.850	60.990	67.920	72.850	63.930	72.850	1.940	0.000000	73.80	63.93	0.00	21
COP	2011-11-01	1.897540	5.269970e+4	72.850	62.270	72.850	60.990	69.210	72.850	62.270	72.850	2.400	0.000000	73.80	62.27	0.00	22
COP	2011-10-31	1.871100	5.344460e+4	72.850	60.990	72.850	60.990	68.340	72.850	60.990	72.850	2.090	0.000000	73.79	60.99	0.00	23
COP	2011-10-28	1.859580	5.377570e+4	72.850	60.990	72.850	60.990	68.340	72.850	60.990	72.850	1.460	0.000000	73.78	60.99	0.00	24
COP	2011-10-27	1.880610	5.317430e+4	72.120	60.990	72.120	60.990	67.040	72.120	60.990	72.120	1.810	0.000000	73.06	60.99	0.00	25
COP	2011-10-26	1.884320	5.306950e+4	72.120	60.990	72.120	60.990	67.040	72.120	60.990	72.120	2.310	0.000000	73.06	60.99	0.00	26
COP	2011-10-25	1.861920	5.370800e+4	72.120	60.990	72.120	60.990	67.020	72.120	60.990	72.120	1.740	0.000000	73.05	60.99	0.00	27
COP	2011-10-24	1.868340	5.352360e+4	71.830	60.990	71.830	60.990	66.950	71.830	60.990	71.830	1.060	0.000000	72.76	60.99	0.00	28
COP	2011-10-21	1.910880	5.233190e+4	70.270	60.990	70.270	60.990	64.160	70.270	60.990	70.270	1.730	0.000000	71.23	60.99	0.00	29
COP	2011-10-20	1.920400	5.207250e+4	69.560	60.990	70.560	60.990	64.160	69.560	60.990	69.560	1.620	0.000000	70.52	60.99	0.00	30
COP	2011-10-19	1.936210	5.164730e+4	69.210	60.990	70.630	60.990	63.930	69.210	60.990	69.210	1.610	0.000000	70.18	60.99	0.00	31
COP	2011-10-18	1.953380	5.119330e+4	68.990	60.990	71.990	60.990	62.270	68.990	60.990	68.990	2.110	0.000000	69.97	60.99	0.00	32
COP	2011-10-17	1.945140	5.141030e+4	68.990	60.990	71.990	60.990	60.990	68.990	60.990	68.990	1.370	0.000000	69.96	60.99	0.00	33
COP	2011-10-14	1.975410	5.062250e+4	67.850	60.990	72.770	60.990	60.990	67.850	60.990	67.850	1.950	0.000000	68.84	60.99	0.00	34
COP	2011-10-13	1.976740	5.058830e+4	67.850	60.990	73.130	60.990	60.990	67.850	60.990	67.850	1.760	0.000000	68.84	60.99	0.00	35
COP	2011-10-12	1.988150	5.029800e+4	67.290	60.990	73.610	60.990	60.990	67.020	60.990	67.290	1.500	0.000000	68.28	60.99	0.00	36
COP	2011-10-11	2.013840	4.965630e+4	67.290	60.990	74.550	60.990	60.990	66.950	60.990	67.290	1.090	0.000000	68.30	60.99	0.00	37
COP	2011-10-10	2.062470	4.848560e+4	67.290	60.990	75.260	60.990	60.990	64.370	60.990	67.290	2.940	0.000000	68.32	60.99	0.00	38
COP	2011-10-07	2.016280	4.959630e+4	67.290	60.990	75.810	60.990	60.990	64.370	60.990	67.290	1.630	0.000000	68.30	60.99	0.00	39
COP	2011-10-06	2.036610	4.910120e+4	67.290	60.990	75.810	60.990	60.990	64.370	60.990	67.290	1.510	0.000000	68.31	60.99	0.00	40
COP	2011-10-05	2.064330	4.844190e+4	67.310	60.990	75.810	60.990	60.990	64.950	60.990	67.310	1.780	0.000000	68.34	60.99	0.00	41
