#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CPG	2011-12-01	0.921019	1.085750e+5	44.350	40.980	44.350	37.490	42.390	44.350	40.980	44.350	0.840	0.000000	44.81	40.98	0.00	1
CPG	2011-11-30	0.925283	1.080750e+5	43.530	40.980	43.590	37.490	42.340	43.530	40.980	43.530	0.820	0.000000	43.99	40.98	0.00	2
CPG	2011-11-29	0.930825	1.074320e+5	43.460	40.980	43.590	37.490	40.980	43.150	40.980	43.460	0.400	0.000000	43.93	40.98	0.00	3
CPG	2011-11-28	0.958763	1.043010e+5	43.460	40.980	43.590	37.490	40.980	43.100	40.980	43.460	0.920	0.000000	43.94	40.98	0.00	4
CPG	2011-11-25	0.960803	1.040800e+5	43.460	40.980	43.590	37.490	40.980	43.100	40.980	43.460	0.690	0.000000	43.94	40.98	0.00	5
CPG	2011-11-24	0.975056	1.025580e+5	43.500	40.980	43.590	37.490	40.980	43.100	40.980	43.500	0.360	0.000000	43.99	40.98	0.00	6
CPG	2011-11-23	1.007430	9.926280e+4	43.500	40.980	43.590	37.490	40.980	43.100	40.980	43.500	1.050	0.000000	44.00	40.98	0.00	7
CPG	2011-11-22	1.005190	9.948400e+4	43.500	40.980	43.590	37.490	40.980	43.460	40.980	43.500	0.510	0.000000	44.00	40.98	0.00	8
CPG	2011-11-21	1.031250	9.696980e+4	43.590	40.980	43.590	37.490	40.980	43.460	40.980	43.590	0.810	0.000000	44.11	40.98	0.00	9
CPG	2011-11-18	1.042890	9.588710e+4	43.590	40.980	44.450	37.490	40.980	43.460	40.980	43.590	0.590	0.000000	44.11	40.98	0.00	10
CPG	2011-11-17	1.066730	9.374440e+4	43.590	40.980	44.450	37.490	40.980	43.460	40.980	43.590	0.860	0.000000	44.12	40.98	0.00	11
CPG	2011-11-16	1.077610	9.279790e+4	43.590	40.980	44.450	37.490	40.980	43.460	40.980	43.590	1.450	0.000000	44.13	40.98	0.00	12
CPG	2011-11-15	1.058010	9.451700e+4	43.590	41.090	44.450	37.490	41.090	43.460	41.090	43.590	0.550	0.000000	44.12	41.09	0.00	13
CPG	2011-11-14	1.084750	9.218730e+4	43.590	41.700	44.450	37.490	41.700	43.460	41.700	43.590	1.230	0.000000	44.13	41.70	0.00	14
CPG	2011-11-11	1.077100	9.284160e+4	43.590	41.700	44.450	37.490	41.700	43.460	41.700	43.590	0.540	0.000000	44.13	41.70	0.00	15
CPG	2011-11-10	1.105370	9.046730e+4	43.590	41.700	44.450	37.490	41.700	43.500	41.700	43.590	1.120	0.000000	44.14	41.70	0.00	16
CPG	2011-11-09	1.104600	9.053030e+4	43.590	41.910	44.450	37.490	42.330	43.500	41.910	43.590	1.840	0.000000	44.14	41.91	0.00	17
CPG	2011-11-08	1.065900	9.381770e+4	43.590	39.960	44.450	37.490	42.330	43.500	39.960	43.590	0.380	0.000000	44.12	39.96	0.00	18
CPG	2011-11-07	1.102000	9.074430e+4	43.590	39.160	44.450	37.490	42.330	43.590	39.160	43.590	0.630	0.000000	44.14	39.16	0.00	19
