#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CSCO	2011-12-01	0.550245	1.817370e+5	19.120	17.410	19.120	15.190	17.410	18.800	17.410	19.120	0.400	0.000000	19.40	17.41	0.00	1
CSCO	2011-11-30	0.558153	1.791620e+5	19.120	17.410	19.120	15.190	17.410	19.120	17.410	19.120	1.110	0.000000	19.40	17.41	0.00	2
CSCO	2011-11-29	0.529108	1.889970e+5	19.120	17.410	19.120	15.190	17.410	19.120	17.410	19.120	0.490	0.000000	19.38	17.41	0.00	3
CSCO	2011-11-28	0.531166	1.882650e+5	19.120	17.410	19.120	15.190	17.410	19.120	17.410	19.120	0.600	0.000000	19.39	17.41	0.00	4
CSCO	2011-11-25	0.527544	1.895580e+5	19.120	17.410	19.120	15.190	17.410	19.120	17.410	19.120	0.580	0.000000	19.38	17.41	0.00	5
CSCO	2011-11-23	0.524783	1.905550e+5	19.120	17.590	19.120	15.190	17.610	19.120	17.590	19.120	0.520	0.000000	19.38	17.59	0.00	6
CSCO	2011-11-22	0.525034	1.904640e+5	19.120	17.590	19.120	15.190	17.610	19.120	17.590	19.120	0.430	0.000000	19.38	17.59	0.00	7
CSCO	2011-11-21	0.530036	1.886660e+5	19.120	17.540	19.120	15.190	17.610	19.120	17.540	19.120	0.640	0.000000	19.39	17.54	0.00	8
CSCO	2011-11-18	0.524249	1.907490e+5	19.120	17.380	19.120	15.190	17.610	19.120	17.380	19.120	0.410	0.000000	19.38	17.38	0.00	9
CSCO	2011-11-17	0.530262	1.885860e+5	19.120	17.190	19.120	15.190	17.610	19.120	17.190	19.120	0.600	0.000000	19.39	17.19	0.00	10
CSCO	2011-11-16	0.526591	1.899010e+5	19.120	17.160	19.120	15.190	17.610	19.120	17.160	19.120	0.380	0.000000	19.38	17.16	0.00	11
CSCO	2011-11-15	0.534307	1.871580e+5	19.020	17.160	19.020	15.190	17.590	19.020	17.160	19.020	0.400	0.000000	19.29	17.16	0.00	12
CSCO	2011-11-14	0.541375	1.847150e+5	19.020	17.160	19.020	15.190	17.590	19.020	17.160	19.020	0.240	0.000000	19.29	17.16	0.00	13
CSCO	2011-11-11	0.557237	1.794570e+5	18.610	17.160	18.610	15.080	17.590	18.610	17.160	18.610	0.540	0.000000	18.89	17.16	0.00	14
CSCO	2011-11-10	0.558144	1.791650e+5	18.560	17.160	18.560	15.080	17.590	18.560	17.160	18.560	1.300	0.000000	18.84	17.16	0.00	15
CSCO	2011-11-09	0.519099	1.926410e+5	18.560	17.160	18.560	15.080	17.590	18.560	17.160	18.560	0.870	0.000000	18.82	17.16	0.00	16
CSCO	2011-11-08	0.500631	1.997480e+5	18.560	16.990	18.560	15.010	17.590	18.560	16.990	18.560	0.380	0.000000	18.81	16.99	0.00	17
CSCO	2011-11-07	0.506980	1.972460e+5	18.560	16.990	18.560	15.010	17.540	18.560	16.990	18.560	0.450	0.000000	18.81	16.99	0.00	18
CSCO	2011-11-04	0.509979	1.960870e+5	18.560	16.660	18.560	15.010	17.380	18.560	16.660	18.560	0.430	0.000000	18.82	16.66	0.00	19
CSCO	2011-11-03	0.514188	1.944810e+5	18.560	16.660	18.560	15.010	17.190	18.560	16.660	18.560	0.490	0.000000	18.82	16.66	0.00	20
CSCO	2011-11-02	0.515461	1.940010e+5	18.560	16.160	18.560	15.010	17.160	18.560	16.160	18.560	0.350	0.000000	18.82	16.16	0.00	21
CSCO	2011-11-01	0.524170	1.907780e+5	18.560	15.580	18.560	15.010	17.160	18.560	15.580	18.560	1.000	0.000000	18.82	15.58	0.00	22
CSCO	2011-10-31	0.499126	2.003500e+5	18.560	15.190	18.560	15.010	17.160	18.560	15.190	18.560	0.350	0.000000	18.81	15.19	0.00	23
CSCO	2011-10-28	0.506975	1.972480e+5	18.440	15.190	18.440	15.010	17.160	18.440	15.190	18.440	0.390	0.000000	18.69	15.19	0.00	24
CSCO	2011-10-27	0.513132	1.948820e+5	17.620	15.190	17.620	13.730	17.160	17.620	15.190	17.620	0.970	0.000000	17.88	15.19	0.00	25
CSCO	2011-10-26	0.489086	2.044630e+5	17.620	15.190	17.620	13.730	17.160	17.620	15.190	17.620	0.590	0.000000	17.86	15.19	0.00	26
CSCO	2011-10-25	0.483775	2.067080e+5	17.550	15.190	17.550	13.730	16.990	17.550	15.190	17.550	0.250	0.000000	17.79	15.19	0.00	27
CSCO	2011-10-24	0.496078	2.015810e+5	17.550	15.190	17.550	13.730	16.990	17.550	15.190	17.550	0.410	0.000000	17.80	15.19	0.00	28
CSCO	2011-10-21	0.500609	1.997570e+5	17.550	15.190	17.550	13.730	16.660	17.550	15.190	17.550	0.410	0.000000	17.80	15.19	0.00	29
CSCO	2011-10-20	0.505378	1.978720e+5	17.550	15.190	17.550	13.730	16.660	17.550	15.190	17.550	0.460	0.000000	17.80	15.19	0.00	30
CSCO	2011-10-19	0.507766	1.969410e+5	17.550	15.190	17.550	13.730	16.160	17.550	15.190	17.550	0.490	0.000000	17.80	15.19	0.00	31
CSCO	2011-10-18	0.508701	1.965790e+5	17.550	15.190	17.550	13.730	15.580	17.550	15.190	17.550	0.700	0.000000	17.80	15.19	0.00	32
CSCO	2011-10-17	0.498633	2.005480e+5	17.550	15.190	17.550	13.730	15.190	17.550	15.190	17.550	0.530	0.000000	17.80	15.19	0.00	33
CSCO	2011-10-14	0.496982	2.012150e+5	17.420	15.190	17.420	13.730	15.190	17.420	15.190	17.420	0.320	0.000000	17.67	15.19	0.00	34
CSCO	2011-10-13	0.506297	1.975130e+5	17.250	15.190	17.250	13.730	15.190	17.250	15.190	17.250	0.260	0.000000	17.50	15.19	0.00	35
CSCO	2011-10-12	0.519260	1.925820e+5	17.090	15.190	17.090	13.730	15.190	17.090	15.190	17.090	0.410	0.000000	17.35	15.19	0.00	36
CSCO	2011-10-11	0.525010	1.904720e+5	17.090	15.190	17.090	13.730	15.190	17.090	15.190	17.090	0.240	0.000000	17.35	15.19	0.00	37
CSCO	2011-10-10	0.540011	1.851810e+5	16.750	15.190	16.750	13.730	15.190	16.750	15.190	16.750	0.480	0.000000	17.02	15.19	0.00	38
CSCO	2011-10-07	0.543169	1.841050e+5	16.750	15.190	16.750	13.730	15.190	16.750	15.190	16.750	0.440	0.000000	17.02	15.19	0.00	39
CSCO	2011-10-06	0.548599	1.822820e+5	16.670	15.190	16.670	13.730	15.190	16.160	15.190	16.670	0.600	0.000000	16.94	15.19	0.00	40
CSCO	2011-10-05	0.545894	1.831860e+5	16.670	15.190	16.670	13.730	15.190	16.070	15.190	16.670	1.020	0.000000	16.94	15.19	0.00	41
CSCO	2011-10-04	0.520941	1.919600e+5	16.670	15.190	16.670	13.730	15.190	16.530	15.190	16.670	0.690	0.000000	16.93	15.19	0.00	42
CSCO	2011-10-03	0.512043	1.952960e+5	16.670	15.280	16.670	13.730	15.330	16.530	15.280	16.670	0.330	0.000000	16.93	15.28	0.00	43
CSCO	2011-09-30	0.521624	1.917090e+5	16.670	15.280	16.670	13.730	15.330	16.620	15.280	16.670	0.370	0.000000	16.93	15.28	0.00	44
CSCO	2011-09-29	0.529605	1.888200e+5	16.670	15.280	16.670	13.730	15.330	16.670	15.280	16.670	0.720	0.000000	16.93	15.28	0.00	45
CSCO	2011-09-28	0.519584	1.924620e+5	16.670	15.280	16.670	13.730	15.330	16.670	15.280	16.670	0.550	0.000000	16.93	15.28	0.00	46
CSCO	2011-09-27	0.517983	1.930570e+5	16.670	15.280	16.670	13.730	15.330	16.670	15.280	16.670	0.390	0.000000	16.93	15.28	0.00	47
CSCO	2011-09-26	0.524719	1.905780e+5	16.670	15.280	16.670	13.730	15.330	16.670	15.280	16.670	0.520	0.000000	16.93	15.28	0.00	48
CSCO	2011-09-23	0.524967	1.904880e+5	16.670	15.080	16.670	13.730	15.330	16.670	15.080	16.670	0.720	0.000000	16.93	15.08	0.00	49
CSCO	2011-09-22	0.514702	1.942870e+5	16.670	15.080	16.670	13.730	15.820	16.670	15.080	16.670	0.880	0.000000	16.93	15.08	0.00	50
CSCO	2011-09-21	0.495476	2.018260e+5	16.670	15.080	16.670	13.730	15.820	16.670	15.080	16.670	0.770	0.000000	16.92	15.08	0.00	51
CSCO	2011-09-20	0.481028	2.078880e+5	16.670	15.010	16.670	13.730	15.280	16.670	15.010	16.670	0.340	0.000000	16.91	15.01	0.00	52
CSCO	2011-09-19	0.488450	2.047290e+5	16.670	15.010	16.670	13.730	15.280	16.670	15.010	16.670	0.460	0.000000	16.91	15.01	0.00	53
