#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CTAS	2011-12-01	0.796881	1.254890e+5	30.400	27.630	31.590	26.880	27.630	30.400	27.630	30.400	0.460	0.000000	30.80	27.63	0.00	1
CTAS	2011-11-30	0.814611	1.227580e+5	29.870	27.630	31.590	26.880	27.630	29.690	27.630	29.870	1.380	0.000000	30.28	27.63	0.00	2
CTAS	2011-11-29	0.784854	1.274120e+5	29.890	27.630	31.590	26.880	27.630	29.690	27.630	29.890	0.470	0.000000	30.28	27.63	0.00	3
CTAS	2011-11-28	0.801425	1.247780e+5	30.330	27.630	31.590	26.880	27.630	29.690	27.630	30.330	1.220	0.000000	30.73	27.63	0.00	4
CTAS	2011-11-25	0.779395	1.283050e+5	30.560	27.920	31.590	26.880	27.920	29.690	27.920	30.560	0.430	0.000000	30.95	27.92	0.00	5
CTAS	2011-11-23	0.797784	1.253470e+5	30.560	28.380	31.590	26.880	28.470	29.690	28.380	30.560	0.670	0.000000	30.96	28.38	0.00	6
CTAS	2011-11-22	0.804510	1.242990e+5	30.560	28.380	31.590	26.880	28.650	29.870	28.380	30.560	0.390	0.000000	30.96	28.38	0.00	7
CTAS	2011-11-21	0.826326	1.210180e+5	30.560	28.380	31.590	26.880	28.650	29.870	28.380	30.560	0.960	0.000000	30.97	28.38	0.00	8
CTAS	2011-11-18	0.819290	1.220570e+5	30.560	28.380	31.590	26.880	28.650	29.870	28.380	30.560	1.430	0.000000	30.97	28.38	0.00	9
CTAS	2011-11-17	0.787148	1.270410e+5	30.560	28.380	31.980	26.880	28.650	29.870	28.380	30.560	0.370	0.000000	30.95	28.38	0.00	10
CTAS	2011-11-16	0.809103	1.235940e+5	30.560	28.380	31.980	26.880	28.650	29.870	28.380	30.560	0.730	0.000000	30.96	28.38	0.00	11
CTAS	2011-11-15	0.813266	1.229610e+5	30.560	28.380	31.980	26.880	28.380	29.870	28.380	30.560	0.850	0.000000	30.97	28.38	0.00	12
CTAS	2011-11-14	0.811333	1.232540e+5	30.560	28.380	31.980	26.880	28.380	29.890	28.380	30.560	0.560	0.000000	30.97	28.38	0.00	13
CTAS	2011-11-11	0.824561	1.212770e+5	30.560	28.380	31.980	26.880	28.380	30.330	28.380	30.560	0.660	0.000000	30.97	28.38	0.00	14
CTAS	2011-11-10	0.833222	1.200160e+5	30.560	28.380	31.980	26.880	28.380	30.560	28.380	30.560	0.470	0.000000	30.98	28.38	0.00	15
CTAS	2011-11-09	0.852339	1.173240e+5	30.560	28.380	31.980	26.880	28.380	30.560	28.380	30.560	1.310	0.000000	30.99	28.38	0.00	16
CTAS	2011-11-08	0.828251	1.207360e+5	30.560	28.380	31.980	26.880	28.380	30.560	28.380	30.560	0.780	0.000000	30.97	28.38	0.00	17
CTAS	2011-11-07	0.830791	1.203670e+5	30.560	28.380	31.980	26.880	28.380	30.560	28.380	30.560	0.650	0.000000	30.98	28.38	0.00	18
CTAS	2011-11-04	0.840306	1.190040e+5	30.560	28.200	31.980	26.880	28.380	30.560	28.200	30.560	0.720	0.000000	30.98	28.20	0.00	19
CTAS	2011-11-03	0.846638	1.181140e+5	30.560	28.200	31.980	26.880	28.380	30.560	28.200	30.560	0.960	0.000000	30.98	28.20	0.00	20
CTAS	2011-11-02	0.840672	1.189520e+5	30.560	28.110	31.980	26.880	28.380	30.560	28.110	30.560	0.830	0.000000	30.98	28.11	0.00	21
CTAS	2011-11-01	0.841234	1.188730e+5	30.560	27.440	31.980	26.880	29.010	30.560	27.440	30.560	1.580	0.000000	30.98	27.44	0.00	22
CTAS	2011-10-31	0.802351	1.246340e+5	30.560	26.880	31.980	26.880	28.840	30.560	26.880	30.560	0.480	0.000000	30.96	26.88	0.00	23
CTAS	2011-10-28	0.819317	1.220530e+5	30.560	26.880	31.980	26.880	28.840	30.560	26.880	30.560	0.480	0.000000	30.97	26.88	0.00	24
CTAS	2011-10-27	0.837176	1.194490e+5	30.080	26.880	31.980	26.880	28.840	30.080	26.880	30.080	1.330	0.000000	30.50	26.88	0.00	25
CTAS	2011-10-26	0.811238	1.232680e+5	30.080	26.880	31.980	26.880	28.840	30.080	26.880	30.080	0.690	0.000000	30.49	26.88	0.00	26
CTAS	2011-10-25	0.817619	1.223060e+5	30.080	26.880	31.980	26.880	28.840	30.080	26.880	30.080	0.580	0.000000	30.49	26.88	0.00	27
CTAS	2011-10-24	0.830125	1.204640e+5	29.560	26.880	31.980	26.880	28.840	29.560	26.880	29.560	0.820	0.000000	29.98	26.88	0.00	28
CTAS	2011-10-21	0.830658	1.203870e+5	29.560	26.880	31.980	26.880	28.200	29.560	26.880	29.560	0.510	0.000000	29.98	26.88	0.00	29
CTAS	2011-10-20	0.847534	1.179890e+5	29.560	26.880	31.980	26.880	28.200	29.560	26.880	29.560	0.590	0.000000	29.98	26.88	0.00	30
CTAS	2011-10-19	0.861089	1.161320e+5	29.610	26.880	31.980	26.880	28.110	29.560	26.880	29.610	0.740	0.000000	30.04	26.88	0.00	31
CTAS	2011-10-18	0.867462	1.152790e+5	30.830	26.880	32.060	26.880	27.440	29.560	26.880	30.830	1.110	0.000000	31.26	26.88	0.00	32
CTAS	2011-10-17	0.854697	1.170010e+5	31.010	26.880	32.550	26.880	26.880	29.560	26.880	31.010	0.830	0.000000	31.44	26.88	0.00	33
CTAS	2011-10-14	0.855997	1.168230e+5	31.490	26.880	32.630	26.880	26.880	29.400	26.880	31.490	0.360	0.000000	31.92	26.88	0.00	34
CTAS	2011-10-13	0.882102	1.133660e+5	31.590	26.880	32.650	26.880	26.880	29.400	26.880	31.590	0.590	0.000000	32.03	26.88	0.00	35
CTAS	2011-10-12	0.897475	1.114240e+5	31.590	26.880	33.610	26.880	26.880	28.940	26.880	31.590	0.660	0.000000	32.04	26.88	0.00	36
CTAS	2011-10-11	0.909974	1.098930e+5	31.590	26.880	33.920	26.880	26.880	28.980	26.880	31.590	0.410	0.000000	32.05	26.88	0.00	37
CTAS	2011-10-10	0.936289	1.068050e+5	31.590	26.880	34.370	26.880	26.880	28.980	26.880	31.590	0.740	0.000000	32.06	26.88	0.00	38
CTAS	2011-10-07	0.946620	1.056390e+5	31.590	26.880	34.370	26.880	26.880	28.980	26.880	31.590	0.800	0.000000	32.06	26.88	0.00	39
CTAS	2011-10-06	0.954336	1.047850e+5	31.590	26.880	34.370	26.880	26.880	28.980	26.880	31.590	0.750	0.000000	32.07	26.88	0.00	40
CTAS	2011-10-05	0.965091	1.036170e+5	31.590	26.880	34.370	26.880	26.880	29.610	26.880	31.590	0.870	0.000000	32.07	26.88	0.00	41
CTAS	2011-10-04	0.970096	1.030830e+5	31.590	26.880	34.370	26.880	26.880	30.830	26.880	31.590	1.090	0.000000	32.08	26.88	0.00	42
CTAS	2011-10-03	0.963785	1.037580e+5	31.590	28.140	34.370	27.240	28.140	31.010	28.140	31.590	1.700	0.000000	32.07	28.14	0.00	43
CTAS	2011-09-30	0.925037	1.081040e+5	31.590	28.390	34.370	27.240	28.390	31.490	28.390	31.590	0.800	0.000000	32.05	28.39	0.00	44
CTAS	2011-09-29	0.931618	1.073400e+5	31.980	28.390	34.370	27.240	28.390	31.590	28.390	31.980	0.740	0.000000	32.45	28.39	0.00	45
CTAS	2011-09-28	0.941703	1.061910e+5	31.980	28.390	34.370	27.240	28.390	31.590	28.390	31.980	0.780	0.000000	32.45	28.39	0.00	46
CTAS	2011-09-27	0.950213	1.052400e+5	31.980	28.390	34.370	27.240	28.390	31.590	28.390	31.980	0.820	0.000000	32.46	28.39	0.00	47
CTAS	2011-09-26	0.957067	1.044860e+5	31.980	28.390	34.370	27.240	28.390	31.590	28.390	31.980	0.890	0.000000	32.46	28.39	0.00	48
CTAS	2011-09-23	0.960597	1.041020e+5	31.980	28.770	34.370	27.240	28.770	31.590	28.770	31.980	1.540	0.000000	32.46	28.77	0.00	49
CTAS	2011-09-22	0.930102	1.075150e+5	31.980	29.610	34.370	27.240	29.610	31.590	29.610	31.980	1.310	0.000000	32.45	29.61	0.00	50
CTAS	2011-09-21	0.910107	1.098770e+5	31.980	29.810	34.370	27.240	30.160	31.590	29.810	31.980	1.430	0.000000	32.44	29.81	0.00	51
CTAS	2011-09-20	0.882744	1.132830e+5	31.980	28.850	34.370	27.240	30.160	31.590	28.850	31.980	0.840	0.000000	32.42	28.85	0.00	52
CTAS	2011-09-19	0.884994	1.129950e+5	31.980	28.440	34.370	27.240	30.160	31.590	28.440	31.980	0.800	0.000000	32.42	28.44	0.00	53
