#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
CWI-UN	2011-12-01	0.196505	5.088930e+5	8.460	7.290	8.460	6.940	7.860	8.460	7.290	8.460	0.090	0.000000	8.56	7.29	0.00	1
CWI-UN	2011-11-30	0.202111	4.947780e+5	8.390	7.290	8.390	6.940	7.860	8.380	7.290	8.390	0.200	0.000000	8.49	7.29	0.00	2
CWI-UN	2011-11-29	0.202222	4.945070e+5	8.390	7.260	8.390	6.940	7.860	8.320	7.260	8.390	0.130	0.000000	8.49	7.26	0.00	3
CWI-UN	2011-11-28	0.206023	4.853830e+5	8.390	7.260	8.390	6.940	7.860	8.300	7.260	8.390	0.290	0.000000	8.49	7.26	0.00	4
CWI-UN	2011-11-25	0.201603	4.960240e+5	8.390	7.260	8.390	6.940	7.860	8.390	7.260	8.390	0.170	0.000000	8.49	7.26	0.00	5
CWI-UN	2011-11-24	0.203266	4.919650e+5	8.390	7.260	8.390	6.940	7.860	8.390	7.260	8.390	0.270	0.000000	8.49	7.26	0.00	6
CWI-UN	2011-11-23	0.199754	5.006160e+5	8.390	7.260	8.390	6.940	7.910	8.390	7.260	8.390	0.150	0.000000	8.49	7.26	0.00	7
CWI-UN	2011-11-22	0.202373	4.941380e+5	8.390	7.260	8.390	6.940	8.040	8.390	7.260	8.390	0.150	0.000000	8.49	7.26	0.00	8
CWI-UN	2011-11-21	0.205129	4.874980e+5	8.390	7.260	8.390	6.940	7.880	8.390	7.260	8.390	0.160	0.000000	8.49	7.26	0.00	9
CWI-UN	2011-11-18	0.207504	4.819170e+5	8.390	7.260	8.390	6.940	7.340	8.390	7.260	8.390	0.140	0.000000	8.49	7.26	0.00	10
CWI-UN	2011-11-17	0.211057	4.738050e+5	8.390	7.260	8.390	6.940	7.290	8.390	7.260	8.390	0.190	0.000000	8.50	7.26	0.00	11
CWI-UN	2011-11-16	0.212166	4.713300e+5	8.390	7.260	8.390	6.940	7.290	8.390	7.260	8.390	0.200	0.000000	8.50	7.26	0.00	12
CWI-UN	2011-11-15	0.212806	4.699120e+5	8.390	7.260	8.390	6.940	7.260	8.390	7.260	8.390	0.180	0.000000	8.50	7.26	0.00	13
