#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
DGW	2011-12-01	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	1
DGW	2011-11-30	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	2
DGW	2011-11-29	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	3
DGW	2011-11-28	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	4
DGW	2011-11-25	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	5
DGW	2011-11-23	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	6
DGW	2011-11-22	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	7
DGW	2011-11-21	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	8
DGW	2011-11-18	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	9
DGW	2011-11-17	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	10
DGW	2011-11-16	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	11
DGW	2011-11-15	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	12
DGW	2011-11-14	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	13
DGW	2011-11-11	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	14
DGW	2011-11-10	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	15
DGW	2011-11-09	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	16
DGW	2011-11-08	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	17
DGW	2011-11-07	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	18
DGW	2011-11-04	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	19
DGW	2011-11-03	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	20
DGW	2011-11-02	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	21
DGW	2011-11-01	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	22
DGW	2011-10-31	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	23
DGW	2011-10-28	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	24
DGW	2011-10-27	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	25
DGW	2011-10-26	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	26
DGW	2011-10-25	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	27
DGW	2011-10-24	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	28
DGW	2011-10-21	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	29
DGW	2011-10-20	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	30
DGW	2011-10-19	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	31
DGW	2011-10-18	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	32
DGW	2011-10-17	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	33
DGW	2011-10-14	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	34
DGW	2011-10-13	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	35
DGW	2011-10-12	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	36
DGW	2011-10-11	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	37
DGW	2011-10-10	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	38
DGW	2011-10-07	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	39
DGW	2011-10-06	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	40
DGW	2011-10-05	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	41
DGW	2011-10-04	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	42
DGW	2011-10-03	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	43
DGW	2011-09-30	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	44
DGW	2011-09-29	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	45
DGW	2011-09-28	0.000000	0.000000e+0	3.880	3.880	3.880	3.880	3.880	3.880	3.880	3.880	0.000	0.000000	3.88	3.88	0.00	46
