#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
DMF	2011-12-01	0.140094	7.138070e+5	9.870	9.450	9.870	9.170	9.600	9.870	9.450	9.870	0.190	0.000000	9.94	9.45	0.00	1
DMF	2011-11-30	0.137467	7.274460e+5	9.870	9.450	9.870	9.170	9.600	9.870	9.450	9.870	0.120	0.000000	9.94	9.45	0.00	2
DMF	2011-11-29	0.138387	7.226130e+5	9.870	9.450	9.870	9.170	9.600	9.870	9.450	9.870	0.130	0.000000	9.94	9.45	0.00	3
DMF	2011-11-28	0.138828	7.203160e+5	9.810	9.450	9.810	9.170	9.600	9.810	9.450	9.810	0.100	0.000000	9.88	9.45	0.00	4
DMF	2011-11-25	0.140872	7.098660e+5	9.790	9.450	9.790	9.170	9.500	9.790	9.450	9.790	0.170	0.000000	9.86	9.45	0.00	5
DMF	2011-11-23	0.139338	7.176770e+5	9.790	9.450	9.790	9.170	9.500	9.790	9.450	9.790	0.160	0.000000	9.86	9.45	0.00	6
DMF	2011-11-22	0.138251	7.233220e+5	9.720	9.370	9.720	9.170	9.500	9.720	9.370	9.720	0.150	0.000000	9.79	9.37	0.00	7
DMF	2011-11-21	0.137633	7.265720e+5	9.700	9.340	9.700	9.170	9.500	9.700	9.340	9.700	0.110	0.000000	9.77	9.34	0.00	8
DMF	2011-11-18	0.139087	7.189740e+5	9.700	9.300	9.700	9.170	9.500	9.700	9.300	9.700	0.080	0.000000	9.77	9.30	0.00	9
DMF	2011-11-17	0.142197	7.032500e+5	9.700	9.260	9.700	9.170	9.500	9.700	9.260	9.700	0.100	0.000000	9.77	9.26	0.00	10
DMF	2011-11-16	0.144418	6.924360e+5	9.700	9.260	9.700	9.150	9.450	9.700	9.260	9.700	0.110	0.000000	9.77	9.26	0.00	11
DMF	2011-11-15	0.146229	6.838580e+5	9.700	9.180	9.700	9.150	9.450	9.700	9.180	9.700	0.180	0.000000	9.77	9.18	0.00	12
DMF	2011-11-14	0.144452	6.922720e+5	9.700	9.180	9.700	9.080	9.450	9.700	9.180	9.700	0.070	0.000000	9.77	9.18	0.00	13
DMF	2011-11-11	0.148370	6.739890e+5	9.610	9.180	9.610	9.040	9.450	9.610	9.180	9.610	0.240	0.000000	9.68	9.18	0.00	14
DMF	2011-11-10	0.143548	6.966330e+5	9.610	9.180	9.610	8.990	9.450	9.610	9.180	9.610	0.080	0.000000	9.68	9.18	0.00	15
DMF	2011-11-09	0.146892	6.807710e+5	9.610	9.180	9.610	8.990	9.450	9.610	9.180	9.610	0.040	0.000000	9.68	9.18	0.00	16
DMF	2011-11-08	0.152518	6.556590e+5	9.610	9.180	9.610	8.890	9.370	9.610	9.180	9.610	0.160	0.000000	9.69	9.18	0.00	17
DMF	2011-11-07	0.152124	6.573560e+5	9.610	9.180	9.610	8.820	9.340	9.610	9.180	9.610	0.110	0.000000	9.69	9.18	0.00	18
DMF	2011-11-04	0.154342	6.479140e+5	9.560	9.180	9.560	8.820	9.300	9.550	9.180	9.560	0.070	0.000000	9.64	9.18	0.00	19
DMF	2011-11-03	0.158781	6.298000e+5	9.560	9.170	9.560	8.820	9.260	9.550	9.170	9.560	0.150	0.000000	9.64	9.17	0.00	20
DMF	2011-11-02	0.159243	6.279720e+5	9.560	9.170	9.560	8.820	9.260	9.550	9.170	9.560	0.150	0.000000	9.64	9.17	0.00	21
DMF	2011-11-01	0.159729	6.260600e+5	9.560	9.170	9.560	8.820	9.180	9.550	9.170	9.560	0.270	0.000000	9.64	9.17	0.00	22
DMF	2011-10-31	0.153925	6.496650e+5	9.560	9.170	9.560	8.810	9.180	9.490	9.170	9.560	0.200	0.000000	9.64	9.17	0.00	23
DMF	2011-10-28	0.151500	6.600640e+5	9.560	9.170	9.560	8.650	9.180	9.520	9.170	9.560	0.120	0.000000	9.64	9.17	0.00	24
DMF	2011-10-27	0.153158	6.529190e+5	9.560	9.170	9.560	8.650	9.180	9.560	9.170	9.560	0.210	0.000000	9.64	9.17	0.00	25
DMF	2011-10-26	0.150167	6.659270e+5	9.560	9.170	9.560	8.510	9.180	9.560	9.170	9.560	0.140	0.000000	9.64	9.17	0.00	26
DMF	2011-10-25	0.150702	6.635620e+5	9.560	9.170	9.560	8.210	9.180	9.560	9.170	9.560	0.100	0.000000	9.64	9.17	0.00	27
DMF	2011-10-24	0.153370	6.520170e+5	9.560	9.170	9.560	8.210	9.180	9.560	9.170	9.560	0.100	0.000000	9.64	9.17	0.00	28
DMF	2011-10-21	0.156179	6.402900e+5	9.560	9.170	9.560	8.210	9.180	9.560	9.170	9.560	0.080	0.000000	9.64	9.17	0.00	29
DMF	2011-10-20	0.160189	6.242640e+5	9.560	9.170	9.560	8.210	9.170	9.560	9.170	9.560	0.120	0.000000	9.64	9.17	0.00	30
DMF	2011-10-19	0.162304	6.161280e+5	9.560	9.170	9.560	8.210	9.170	9.560	9.170	9.560	0.140	0.000000	9.64	9.17	0.00	31
DMF	2011-10-18	0.163478	6.117040e+5	9.560	9.170	9.560	8.210	9.170	9.560	9.170	9.560	0.140	0.000000	9.64	9.17	0.00	32
DMF	2011-10-17	0.164713	6.071150e+5	9.560	9.170	9.560	8.210	9.170	9.560	9.170	9.560	0.370	0.000000	9.64	9.17	0.00	33
DMF	2011-10-14	0.153909	6.497350e+5	9.560	9.170	9.560	8.210	9.170	9.560	9.170	9.560	0.190	0.000000	9.64	9.17	0.00	34
DMF	2011-10-13	0.152009	6.578540e+5	9.550	9.170	9.550	8.210	9.170	9.550	9.170	9.550	0.160	0.000000	9.63	9.17	0.00	35
DMF	2011-10-12	0.151589	6.596790e+5	9.550	9.170	9.550	8.210	9.170	9.550	9.170	9.550	0.120	0.000000	9.63	9.17	0.00	36
DMF	2011-10-11	0.153251	6.525230e+5	9.550	9.170	9.550	8.210	9.170	9.550	9.170	9.550	0.110	0.000000	9.63	9.17	0.00	37
DMF	2011-10-10	0.155528	6.429720e+5	9.550	9.170	9.550	8.210	9.170	9.550	9.170	9.550	0.110	0.000000	9.63	9.17	0.00	38
DMF	2011-10-07	0.157924	6.332160e+5	9.550	9.170	9.550	8.210	9.170	9.550	9.170	9.550	0.110	0.000000	9.63	9.17	0.00	39
