#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
DWX	2011-12-01	1.276900	7.831460e+4	49.600	43.860	52.180	43.210	43.860	48.030	43.860	49.600	0.600	0.000000	50.24	43.86	0.00	1
DWX	2011-11-30	1.312530	7.618890e+4	49.600	43.860	52.180	43.210	43.860	47.740	43.860	49.600	2.270	0.000000	50.26	43.86	0.00	2
DWX	2011-11-29	1.262130	7.923090e+4	49.600	43.860	52.180	43.210	43.860	47.890	43.860	49.600	0.500	0.000000	50.23	43.86	0.00	3
DWX	2011-11-28	1.302250	7.679040e+4	51.350	43.860	52.180	43.210	43.860	48.950	43.860	51.350	2.040	0.000000	52.00	43.86	0.00	4
DWX	2011-11-25	1.263420	7.915040e+4	52.180	44.090	52.180	43.210	44.090	48.950	44.090	52.180	0.570	0.000000	52.81	44.09	0.00	5
DWX	2011-11-23	1.299910	7.692820e+4	52.180	45.380	52.180	43.210	45.380	48.950	45.380	52.180	1.380	0.000000	52.83	45.38	0.00	6
DWX	2011-11-22	1.295700	7.717850e+4	52.180	45.400	52.180	43.210	45.400	49.600	45.400	52.180	0.560	0.000000	52.83	45.40	0.00	7
DWX	2011-11-21	1.334420	7.493900e+4	52.180	46.380	52.180	43.210	46.380	49.600	46.380	52.180	1.790	0.000000	52.85	46.38	0.00	8
DWX	2011-11-18	1.310440	7.631020e+4	52.180	46.380	52.180	43.210	46.380	49.600	46.380	52.180	0.830	0.000000	52.84	46.38	0.00	9
DWX	2011-11-17	1.335730	7.486560e+4	52.180	46.920	52.180	43.210	46.920	49.600	46.920	52.180	1.210	0.000000	52.85	46.92	0.00	10
DWX	2011-11-16	1.342340	7.449650e+4	52.180	46.960	52.180	43.210	46.960	49.600	46.960	52.180	0.900	0.000000	52.85	46.96	0.00	11
DWX	2011-11-15	1.365630	7.322650e+4	52.180	46.960	52.180	43.210	46.960	49.600	46.960	52.180	0.650	0.000000	52.86	46.96	0.00	12
DWX	2011-11-14	1.403290	7.126110e+4	52.180	46.960	52.180	43.210	46.960	49.600	46.960	52.180	1.320	0.000000	52.88	46.96	0.00	13
DWX	2011-11-11	1.407670	7.103920e+4	52.180	46.960	52.180	43.210	46.960	51.350	46.960	52.180	1.230	0.000000	52.88	46.96	0.00	14
DWX	2011-11-10	1.417030	7.057040e+4	52.180	46.960	52.180	43.210	46.960	52.180	46.960	52.180	1.180	0.000000	52.89	46.96	0.00	15
DWX	2011-11-09	1.429500	6.995450e+4	52.180	47.420	52.180	43.210	47.420	52.180	47.420	52.180	2.850	0.000000	52.89	47.42	0.00	16
DWX	2011-11-08	1.354740	7.381510e+4	52.180	47.420	52.180	43.210	47.420	52.180	47.420	52.180	1.010	0.000000	52.86	47.42	0.00	17
DWX	2011-11-07	1.372880	7.283950e+4	52.180	47.420	52.180	43.210	47.420	52.180	47.420	52.180	0.730	0.000000	52.87	47.42	0.00	18
DWX	2011-11-04	1.406720	7.108750e+4	52.180	45.650	52.180	43.210	47.420	52.180	45.650	52.180	1.450	0.000000	52.88	45.65	0.00	19
DWX	2011-11-03	1.404440	7.120280e+4	52.180	45.650	52.180	43.210	47.420	52.180	45.650	52.180	1.420	0.000000	52.88	45.65	0.00	20
DWX	2011-11-02	1.403620	7.124440e+4	52.180	44.900	52.180	43.210	47.420	52.180	44.900	52.180	1.060	0.000000	52.88	44.90	0.00	21
