#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ECA	2011-12-01	0.640993	1.560080e+5	21.680	18.690	23.640	18.690	18.690	20.550	18.690	21.680	0.410	0.000000	22.00	18.69	0.00	1
ECA	2011-11-30	0.653151	1.531040e+5	21.680	18.690	23.640	18.690	18.690	19.960	18.690	21.680	0.780	0.000000	22.01	18.69	0.00	2
ECA	2011-11-29	0.646474	1.546850e+5	21.680	18.690	23.640	18.690	18.690	19.980	18.690	21.680	0.910	0.000000	22.00	18.69	0.00	3
ECA	2011-11-28	0.632605	1.580770e+5	21.680	18.690	23.640	18.690	18.690	20.260	18.690	21.680	0.440	0.000000	22.00	18.69	0.00	4
ECA	2011-11-25	0.642742	1.555830e+5	22.300	18.690	23.650	18.690	18.690	20.580	18.690	22.300	0.280	0.000000	22.62	18.69	0.00	5
ECA	2011-11-24	0.661833	1.510950e+5	22.300	18.930	24.000	18.930	18.930	20.580	18.930	22.300	0.430	0.000000	22.63	18.93	0.00	6
ECA	2011-11-23	0.674035	1.483600e+5	22.300	19.550	24.000	19.540	19.550	20.580	19.550	22.300	0.680	0.000000	22.64	19.55	0.00	7
ECA	2011-11-22	0.673721	1.484290e+5	22.300	19.600	24.520	19.540	19.600	21.410	19.600	22.300	0.360	0.000000	22.64	19.60	0.00	8
ECA	2011-11-21	0.690233	1.448790e+5	22.300	19.600	24.970	19.540	19.600	21.600	19.600	22.300	0.700	0.000000	22.65	19.60	0.00	9
ECA	2011-11-18	0.689719	1.449870e+5	22.300	19.600	24.970	19.540	19.600	21.600	19.600	22.300	0.390	0.000000	22.64	19.60	0.00	10
ECA	2011-11-17	0.705494	1.417450e+5	22.300	19.600	24.970	19.540	19.600	21.680	19.600	22.300	0.540	0.000000	22.65	19.60	0.00	11
ECA	2011-11-16	0.714204	1.400160e+5	22.300	19.980	24.970	19.540	19.980	21.680	19.980	22.300	0.860	0.000000	22.66	19.98	0.00	12
ECA	2011-11-15	0.706530	1.415370e+5	22.300	20.260	24.970	19.540	20.260	21.680	20.260	22.300	0.550	0.000000	22.65	20.26	0.00	13
ECA	2011-11-14	0.714769	1.399050e+5	22.300	20.270	24.970	19.540	20.480	21.680	20.270	22.300	0.620	0.000000	22.66	20.27	0.00	14
ECA	2011-11-11	0.719757	1.389360e+5	22.300	20.270	24.970	19.540	20.480	22.300	20.270	22.300	0.340	0.000000	22.66	20.27	0.00	15
ECA	2011-11-10	0.739744	1.351820e+5	22.300	20.270	24.970	19.540	20.490	22.300	20.270	22.300	0.780	0.000000	22.67	20.27	0.00	16
ECA	2011-11-09	0.737625	1.355700e+5	22.300	20.270	24.970	19.540	20.710	22.300	20.270	22.300	0.920	0.000000	22.67	20.27	0.00	17
ECA	2011-11-08	0.728026	1.373580e+5	22.300	20.060	24.970	19.540	20.710	22.300	20.060	22.300	0.570	0.000000	22.66	20.06	0.00	18
ECA	2011-11-07	0.736344	1.358060e+5	22.300	19.710	24.970	19.540	20.710	22.300	19.710	22.300	0.390	0.000000	22.67	19.71	0.00	19
