#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ED	2011-12-01	0.992954	1.007100e+5	59.640	56.450	59.760	55.150	56.450	59.420	56.450	59.640	0.670	0.000000	60.14	56.45	0.00	1
ED	2011-11-30	1.009950	9.901470e+4	59.640	56.450	59.760	55.150	56.450	58.750	56.450	59.640	1.500	0.000000	60.15	56.45	0.00	2
ED	2011-11-29	0.984159	1.016100e+5	59.640	56.450	59.760	55.150	56.450	58.750	56.450	59.640	0.880	0.000000	60.13	56.45	0.00	3
ED	2011-11-28	0.989641	1.010470e+5	59.640	56.450	59.760	55.120	56.450	59.640	56.450	59.640	1.180	0.000000	60.13	56.45	0.00	4
ED	2011-11-25	0.979622	1.020800e+5	59.640	56.450	59.760	55.120	56.450	59.640	56.450	59.640	0.930	0.000000	60.13	56.45	0.00	5
ED	2011-11-23	0.982234	1.018090e+5	59.640	56.900	59.760	55.120	56.900	59.640	56.900	59.640	0.830	0.000000	60.13	56.90	0.00	6
ED	2011-11-22	0.990246	1.009850e+5	59.640	57.050	59.760	55.120	57.490	59.640	57.050	59.640	1.060	0.000000	60.14	57.05	0.00	7
ED	2011-11-21	0.986575	1.013610e+5	59.640	57.050	59.760	55.120	57.800	59.640	57.050	59.640	1.140	0.000000	60.13	57.05	0.00	8
ED	2011-11-18	0.978500	1.021970e+5	59.760	57.050	59.760	55.120	57.800	59.640	57.050	59.760	0.540	0.000000	60.25	57.05	0.00	9
ED	2011-11-17	1.001580	9.984230e+4	59.760	57.050	59.760	55.120	57.970	59.640	57.050	59.760	0.990	0.000000	60.26	57.05	0.00	10
ED	2011-11-16	1.002190	9.978160e+4	59.760	57.050	59.760	55.120	58.020	59.640	57.050	59.760	0.880	0.000000	60.26	57.05	0.00	11
ED	2011-11-15	1.008620	9.914540e+4	59.760	57.050	59.760	55.120	57.050	59.640	57.050	59.760	0.740	0.000000	60.26	57.05	0.00	12
ED	2011-11-14	1.022760	9.777490e+4	59.760	57.050	59.760	55.120	57.050	59.640	57.050	59.760	1.460	0.000000	60.27	57.05	0.00	13
ED	2011-11-11	0.999745	1.000260e+5	59.760	57.050	59.760	55.120	57.050	59.350	57.050	59.760	0.850	0.000000	60.26	57.05	0.00	14
ED	2011-11-10	1.007630	9.924320e+4	59.760	56.660	59.760	55.120	57.050	59.530	56.660	59.760	0.770	0.000000	60.26	56.66	0.00	15
ED	2011-11-09	1.020130	9.802650e+4	59.760	56.600	59.760	55.120	57.050	59.530	56.600	59.760	1.260	0.000000	60.27	56.60	0.00	16
ED	2011-11-08	1.007510	9.925480e+4	59.760	56.600	59.760	54.560	57.050	59.530	56.600	59.760	0.670	0.000000	60.26	56.60	0.00	17
