#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
EDU	2011-12-01	1.593830	6.274190e+4	29.420	22.420	33.700	21.370	22.420	25.890	22.420	29.420	1.440	0.000000	30.22	22.42	0.00	1
EDU	2011-11-30	1.601930	6.242470e+4	29.420	22.420	33.700	21.370	22.420	25.890	22.420	29.420	1.880	0.000000	30.22	22.42	0.00	2
EDU	2011-11-29	1.587290	6.300030e+4	29.640	22.420	33.700	21.370	22.420	26.250	22.420	29.640	0.990	0.000000	30.43	22.42	0.00	3
EDU	2011-11-28	1.618730	6.177680e+4	30.070	22.420	33.700	21.370	22.420	27.100	22.420	30.070	1.370	0.000000	30.88	22.42	0.00	4
EDU	2011-11-25	1.631820	6.128120e+4	30.100	22.420	33.700	21.370	22.420	27.220	22.420	30.100	0.910	0.000000	30.92	22.42	0.00	5
EDU	2011-11-23	1.669810	5.988700e+4	30.100	22.420	33.700	21.370	22.420	27.960	22.420	30.100	0.860	0.000000	30.93	22.42	0.00	6
EDU	2011-11-22	1.712430	5.839640e+4	30.100	22.420	33.700	21.370	22.420	28.950	22.420	30.100	1.430	0.000000	30.96	22.42	0.00	7
EDU	2011-11-21	1.727300	5.789390e+4	30.100	22.780	33.700	21.370	22.780	28.950	22.780	30.100	1.880	0.000000	30.96	22.78	0.00	8
EDU	2011-11-18	1.719260	5.816450e+4	30.100	24.890	33.700	21.370	24.890	28.950	24.890	30.100	2.480	0.000000	30.96	24.89	0.00	9
EDU	2011-11-17	1.679220	5.955140e+4	30.100	25.560	33.700	21.370	25.680	29.420	25.560	30.100	1.080	0.000000	30.94	25.56	0.00	10
EDU	2011-11-16	1.710760	5.845350e+4	30.100	25.560	33.700	21.370	25.680	29.420	25.560	30.100	1.000	0.000000	30.96	25.56	0.00	11
EDU	2011-11-15	1.748170	5.720270e+4	30.100	25.560	33.700	21.370	26.250	29.420	25.560	30.100	0.700	0.000000	30.97	25.56	0.00	12
EDU	2011-11-14	1.803340	5.545280e+4	30.100	25.560	33.700	21.370	27.100	29.640	25.560	30.100	1.200	0.000000	31.00	25.56	0.00	13
EDU	2011-11-11	1.835090	5.449320e+4	30.200	25.560	33.700	21.370	27.220	30.070	25.560	30.200	0.940	0.000000	31.12	25.56	0.00	14
EDU	2011-11-10	1.882200	5.312930e+4	30.200	25.560	33.700	21.370	27.960	30.100	25.560	30.200	1.490	0.000000	31.14	25.56	0.00	15
EDU	2011-11-09	1.902840	5.255300e+4	30.310	25.560	33.700	21.370	28.620	30.100	25.560	30.310	1.110	0.000000	31.26	25.56	0.00	16
