#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
EIT-UN	2011-12-01	0.187412	5.335850e+5	13.870	13.130	14.060	12.310	13.130	13.610	13.130	13.870	0.160	0.000000	13.96	13.13	0.00	1
EIT-UN	2011-11-30	0.188854	5.295090e+5	13.870	13.130	14.060	12.310	13.130	13.730	13.130	13.870	0.190	0.000000	13.96	13.13	0.00	2
EIT-UN	2011-11-29	0.188794	5.296780e+5	13.870	13.130	14.060	12.310	13.130	13.750	13.130	13.870	0.210	0.000000	13.96	13.13	0.00	3
EIT-UN	2011-11-28	0.187678	5.328280e+5	13.870	13.130	14.060	12.310	13.130	13.750	13.130	13.870	0.070	0.000000	13.96	13.13	0.00	4
EIT-UN	2011-11-25	0.193871	5.158060e+5	13.870	13.130	14.060	12.310	13.130	13.770	13.130	13.870	0.120	0.000000	13.97	13.13	0.00	5
EIT-UN	2011-11-24	0.197759	5.056650e+5	13.870	13.280	14.060	12.310	13.280	13.770	13.280	13.870	0.180	0.000000	13.97	13.28	0.00	6
EIT-UN	2011-11-23	0.198694	5.032860e+5	13.870	13.410	14.060	12.310	13.410	13.770	13.410	13.870	0.260	0.000000	13.97	13.41	0.00	7
EIT-UN	2011-11-22	0.195467	5.115940e+5	13.870	13.410	14.060	12.310	13.410	13.870	13.410	13.870	0.120	0.000000	13.97	13.41	0.00	8
EIT-UN	2011-11-21	0.199439	5.014050e+5	13.870	13.470	14.060	12.310	13.590	13.870	13.470	13.870	0.320	0.000000	13.97	13.47	0.00	9
EIT-UN	2011-11-18	0.193094	5.178820e+5	13.870	13.380	14.060	12.310	13.610	13.870	13.380	13.870	0.090	0.000000	13.97	13.38	0.00	10
EIT-UN	2011-11-17	0.198520	5.037270e+5	13.870	13.320	14.060	12.310	13.610	13.870	13.320	13.870	0.190	0.000000	13.97	13.32	0.00	11
EIT-UN	2011-11-16	0.198969	5.025920e+5	13.870	13.320	14.060	12.310	13.570	13.870	13.320	13.870	0.100	0.000000	13.97	13.32	0.00	12
