#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ELON	2011-12-01	0.346389	2.886930e+5	7.130	4.610	7.840	4.610	4.610	5.920	4.610	7.130	0.210	0.000000	7.30	4.61	0.00	1
ELON	2011-11-30	0.353568	2.828310e+5	7.130	4.610	7.840	4.610	4.610	5.930	4.610	7.130	0.310	0.000000	7.31	4.61	0.00	2
ELON	2011-11-29	0.355861	2.810090e+5	7.130	4.610	7.840	4.610	4.610	5.930	4.610	7.130	0.400	0.000000	7.31	4.61	0.00	3
ELON	2011-11-28	0.353537	2.828550e+5	7.130	4.610	7.840	4.610	4.610	5.930	4.610	7.130	0.340	0.000000	7.31	4.61	0.00	4
ELON	2011-11-25	0.354250	2.822870e+5	7.200	4.740	7.870	4.740	4.740	5.930	4.740	7.200	0.190	0.000000	7.38	4.74	0.00	5
ELON	2011-11-23	0.362895	2.755620e+5	7.200	5.020	8.160	5.020	5.020	5.930	5.020	7.200	0.290	0.000000	7.38	5.02	0.00	6
ELON	2011-11-22	0.366731	2.726790e+5	7.200	5.110	8.160	5.110	5.110	5.930	5.110	7.200	0.260	0.000000	7.38	5.11	0.00	7
ELON	2011-11-21	0.372349	2.685650e+5	7.200	5.490	8.160	5.490	5.490	5.930	5.490	7.200	0.430	0.000000	7.39	5.49	0.00	8
ELON	2011-11-18	0.369314	2.707720e+5	7.200	5.530	8.160	5.530	5.530	5.930	5.530	7.200	0.400	0.000000	7.38	5.53	0.00	9
ELON	2011-11-17	0.367699	2.719610e+5	7.200	5.530	8.350	5.530	5.530	7.130	5.530	7.200	0.300	0.000000	7.38	5.53	0.00	10
ELON	2011-11-16	0.371263	2.693510e+5	7.200	5.530	8.490	5.530	5.530	7.130	5.530	7.200	0.250	0.000000	7.39	5.53	0.00	11
ELON	2011-11-15	0.377645	2.647990e+5	7.200	5.530	8.680	5.530	5.530	7.130	5.530	7.200	0.430	0.000000	7.39	5.53	0.00	12
ELON	2011-11-14	0.374889	2.667450e+5	7.200	5.530	8.680	5.530	5.530	7.130	5.530	7.200	0.290	0.000000	7.39	5.53	0.00	13
ELON	2011-11-11	0.379357	2.636040e+5	7.200	5.530	8.680	5.530	5.530	7.130	5.530	7.200	0.360	0.000000	7.39	5.53	0.00	14
ELON	2011-11-10	0.380376	2.628980e+5	7.200	5.540	8.680	5.540	5.540	7.200	5.540	7.200	0.190	0.000000	7.39	5.54	0.00	15
ELON	2011-11-09	0.390396	2.561500e+5	7.360	5.680	8.680	5.680	5.680	7.200	5.680	7.360	0.190	0.000000	7.56	5.68	0.00	16
ELON	2011-11-08	0.400943	2.494120e+5	7.360	5.810	8.680	5.810	5.810	7.200	5.810	7.360	0.380	0.000000	7.56	5.81	0.00	17
ELON	2011-11-07	0.402045	2.487280e+5	7.360	5.810	8.680	5.810	5.810	7.200	5.810	7.360	0.300	0.000000	7.56	5.81	0.00	18
ELON	2011-11-04	0.407416	2.454490e+5	7.360	6.530	8.680	6.530	6.550	7.200	6.530	7.360	1.420	0.000000	7.56	6.53	0.00	19
ELON	2011-11-03	0.354122	2.823890e+5	7.360	6.530	8.870	6.530	6.530	7.200	6.530	7.360	0.450	0.000000	7.54	6.53	0.00	20
ELON	2011-11-02	0.349076	2.864710e+5	7.360	6.530	9.210	6.530	6.530	7.200	6.530	7.360	0.340	0.000000	7.53	6.53	0.00	21
ELON	2011-11-01	0.349553	2.860790e+5	7.390	6.530	9.450	6.530	6.530	7.200	6.530	7.390	0.260	0.000000	7.56	6.53	0.00	22
ELON	2011-10-31	0.354267	2.822730e+5	7.390	6.530	9.450	6.530	6.530	7.200	6.530	7.390	0.220	0.000000	7.57	6.53	0.00	23
ELON	2011-10-28	0.361333	2.767530e+5	7.390	6.530	9.450	6.530	6.530	7.200	6.530	7.390	0.350	0.000000	7.57	6.53	0.00	24
ELON	2011-10-27	0.361930	2.762970e+5	7.390	6.530	9.450	6.530	6.530	7.190	6.530	7.390	0.520	0.000000	7.57	6.53	0.00	25
ELON	2011-10-26	0.353610	2.827970e+5	7.390	6.530	9.450	6.530	6.530	7.360	6.530	7.390	0.390	0.000000	7.57	6.53	0.00	26
ELON	2011-10-25	0.351695	2.843370e+5	7.840	6.530	9.450	6.530	6.530	7.360	6.530	7.840	0.330	0.000000	8.02	6.53	0.00	27
ELON	2011-10-24	0.352837	2.834170e+5	7.840	6.530	9.450	6.530	6.530	7.360	6.530	7.840	0.280	0.000000	8.02	6.53	0.00	28
ELON	2011-10-21	0.356671	2.803710e+5	7.840	6.530	9.450	6.530	6.530	7.360	6.530	7.840	0.160	0.000000	8.02	6.53	0.00	29
ELON	2011-10-20	0.367022	2.724640e+5	7.840	6.740	9.450	6.740	6.750	7.360	6.740	7.840	0.380	0.000000	8.02	6.74	0.00	30
ELON	2011-10-19	0.366339	2.729720e+5	7.840	6.740	9.450	6.740	6.750	7.360	6.740	7.840	0.520	0.000000	8.02	6.74	0.00	31
ELON	2011-10-18	0.358251	2.791340e+5	7.840	6.740	9.450	6.740	6.750	7.390	6.740	7.840	0.370	0.000000	8.02	6.74	0.00	32
ELON	2011-10-17	0.357633	2.796160e+5	7.840	6.740	9.450	6.740	6.740	7.390	6.740	7.840	0.250	0.000000	8.02	6.74	0.00	33
ELON	2011-10-14	0.363298	2.752560e+5	7.840	6.740	9.450	6.740	6.740	7.390	6.740	7.840	0.260	0.000000	8.02	6.74	0.00	34
ELON	2011-10-13	0.368734	2.711980e+5	7.840	6.740	9.450	6.740	6.740	7.390	6.740	7.840	0.260	0.000000	8.02	6.74	0.00	35
