#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
EMR	2011-12-01	1.590580	6.287010e+4	52.250	47.060	52.250	40.690	47.060	52.250	47.060	52.250	0.900	0.000000	53.05	47.06	0.00	1
EMR	2011-11-30	1.626930	6.146560e+4	52.130	47.060	52.130	40.690	47.060	51.390	47.060	52.130	3.190	0.000000	52.94	47.06	0.00	2
EMR	2011-11-29	1.544660	6.473920e+4	52.130	47.060	52.130	40.690	47.060	51.390	47.060	52.130	0.920	0.000000	52.90	47.06	0.00	3
EMR	2011-11-28	1.577540	6.339000e+4	52.130	47.060	52.130	40.690	47.060	51.390	47.060	52.130	2.420	0.000000	52.92	47.06	0.00	4
EMR	2011-11-25	1.533200	6.522320e+4	52.130	47.060	52.130	40.690	47.060	51.390	47.060	52.130	0.940	0.000000	52.90	47.06	0.00	5
EMR	2011-11-23	1.564420	6.392160e+4	52.130	47.150	52.130	40.690	48.310	51.390	47.150	52.130	1.250	0.000000	52.91	47.15	0.00	6
EMR	2011-11-22	1.580970	6.325250e+4	52.130	46.520	52.130	40.690	48.900	52.130	46.520	52.130	0.920	0.000000	52.92	46.52	0.00	7
EMR	2011-11-21	1.615750	6.189060e+4	52.130	46.520	52.130	40.690	49.560	52.130	46.520	52.130	1.750	0.000000	52.94	46.52	0.00	8
EMR	2011-11-18	1.608690	6.216250e+4	52.130	46.520	52.130	40.690	49.560	52.130	46.520	52.130	0.850	0.000000	52.93	46.52	0.00	9
EMR	2011-11-17	1.648620	6.065680e+4	52.130	46.480	52.130	40.690	50.110	52.130	46.480	52.130	1.460	0.000000	52.95	46.48	0.00	10
EMR	2011-11-16	1.658550	6.029380e+4	52.130	46.480	52.130	40.690	49.790	52.130	46.480	52.130	1.170	0.000000	52.96	46.48	0.00	11
EMR	2011-11-15	1.684260	5.937330e+4	52.130	46.480	52.130	40.690	48.310	52.130	46.480	52.130	1.420	0.000000	52.97	46.48	0.00	12
EMR	2011-11-14	1.698170	5.888700e+4	52.130	45.920	52.130	40.690	48.120	52.130	45.920	52.130	1.010	0.000000	52.98	45.92	0.00	13
EMR	2011-11-11	1.734390	5.765730e+4	52.130	45.920	52.130	40.690	48.120	52.130	45.920	52.130	1.390	0.000000	53.00	45.92	0.00	14
EMR	2011-11-10	1.752510	5.706090e+4	52.130	45.920	52.130	40.690	48.120	52.130	45.920	52.130	0.950	0.000000	53.01	45.92	0.00	15
EMR	2011-11-09	1.794750	5.571810e+4	52.130	45.920	52.130	40.690	47.150	52.130	45.920	52.130	2.400	0.000000	53.03	45.92	0.00	16
EMR	2011-11-08	1.762890	5.672490e+4	51.820	45.660	51.820	40.690	46.520	51.820	45.660	51.820	1.590	0.000000	52.70	45.66	0.00	17
EMR	2011-11-07	1.771990	5.643360e+4	51.820	45.390	51.820	40.690	46.520	51.820	45.390	51.820	1.420	0.000000	52.71	45.39	0.00	18
EMR	2011-11-04	1.790520	5.584970e+4	51.820	44.010	51.820	40.690	46.520	51.820	44.010	51.820	1.330	0.000000	52.72	44.01	0.00	19
EMR	2011-11-03	1.814760	5.510380e+4	50.140	44.010	50.140	40.690	46.480	50.140	44.010	50.140	2.180	0.000000	51.05	44.01	0.00	20
