#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
EOG	2011-12-01	3.945460	2.534560e+4	104.010	90.870	104.010	68.410	90.870	103.740	90.870	104.010	3.300	0.000000	105.98	90.87	0.00	1
EOG	2011-11-30	3.979430	2.512920e+4	104.010	85.880	104.010	68.410	90.870	102.360	85.880	104.010	6.180	0.000000	106.00	85.88	0.00	2
EOG	2011-11-29	3.863610	2.588250e+4	104.010	85.880	104.010	68.410	90.870	103.770	85.880	104.010	3.330	0.000000	105.94	85.88	0.00	3
EOG	2011-11-28	3.891700	2.569570e+4	104.010	85.880	104.010	68.410	90.870	104.010	85.880	104.010	5.920	0.000000	105.96	85.88	0.00	4
EOG	2011-11-25	3.784940	2.642050e+4	104.010	85.880	104.010	68.410	91.610	104.010	85.880	104.010	2.070	0.000000	105.90	85.88	0.00	5
EOG	2011-11-23	3.875200	2.580510e+4	104.010	85.880	104.010	68.410	94.980	104.010	85.880	104.010	3.590	0.000000	105.95	85.88	0.00	6
EOG	2011-11-22	3.890210	2.570550e+4	104.010	85.880	104.010	68.410	96.010	104.010	85.880	104.010	2.670	0.000000	105.95	85.88	0.00	7
EOG	2011-11-21	3.954440	2.528810e+4	104.010	85.880	104.010	68.410	97.020	104.010	85.880	104.010	3.790	0.000000	105.99	85.88	0.00	8
EOG	2011-11-18	3.963090	2.523280e+4	104.010	85.880	104.010	68.410	97.020	104.010	85.880	104.010	3.830	0.000000	105.99	85.88	0.00	9
EOG	2011-11-17	3.970100	2.518830e+4	104.010	85.880	104.010	68.410	98.230	104.010	85.880	104.010	5.140	0.000000	106.00	85.88	0.00	10
EOG	2011-11-16	3.908520	2.558510e+4	104.010	85.880	104.010	68.410	96.040	104.010	85.880	104.010	2.870	0.000000	105.96	85.88	0.00	11
EOG	2011-11-15	3.963180	2.523230e+4	104.010	85.880	104.010	68.410	85.880	104.010	85.880	104.010	1.920	0.000000	105.99	85.88	0.00	12
EOG	2011-11-14	4.070720	2.456570e+4	104.010	81.410	104.010	68.410	85.880	104.010	81.410	104.010	3.170	0.000000	106.05	81.41	0.00	13
EOG	2011-11-11	4.118120	2.428290e+4	101.910	81.410	101.910	68.410	85.880	101.910	81.410	101.910	4.010	0.000000	103.97	81.41	0.00	14
EOG	2011-11-10	4.123810	2.424940e+4	101.910	80.220	101.910	68.410	85.880	101.910	80.220	101.910	2.540	0.000000	103.97	80.22	0.00	15
EOG	2011-11-09	4.207170	2.376890e+4	101.910	80.220	101.910	68.410	85.880	101.910	80.220	101.910	3.910	0.000000	104.01	80.22	0.00	16
EOG	2011-11-08	4.222810	2.368090e+4	101.680	80.140	101.680	68.410	85.880	101.680	80.140	101.680	2.790	0.000000	103.79	80.14	0.00	17
EOG	2011-11-07	4.298220	2.326540e+4	101.680	79.410	101.680	68.410	85.880	101.680	79.410	101.680	2.670	0.000000	103.83	79.41	0.00	18
EOG	2011-11-04	4.383920	2.281060e+4	100.030	74.900	100.030	68.410	85.880	100.030	74.900	100.030	4.240	0.000000	102.22	74.90	0.00	19
