#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ERF-UN	2011-12-01	0.700356	1.427840e+5	29.290	25.370	29.290	24.210	25.370	26.920	25.370	29.290	0.930	0.000000	29.64	25.37	0.00	1
ERF-UN	2011-11-30	0.688270	1.452920e+5	29.290	25.370	29.290	24.210	25.370	27.320	25.370	29.290	0.770	0.000000	29.63	25.37	0.00	2
ERF-UN	2011-11-29	0.683968	1.462060e+5	29.290	25.370	29.290	24.210	25.370	27.540	25.370	29.290	0.460	0.000000	29.63	25.37	0.00	3
ERF-UN	2011-11-28	0.695756	1.437290e+5	29.290	25.370	29.290	24.210	25.370	27.660	25.370	29.290	0.830	0.000000	29.64	25.37	0.00	4
ERF-UN	2011-11-25	0.688691	1.452030e+5	29.290	25.670	29.290	24.210	25.670	27.660	25.670	29.290	0.530	0.000000	29.63	25.67	0.00	5
ERF-UN	2011-11-24	0.697043	1.434630e+5	29.290	25.670	29.290	24.210	25.670	27.660	25.670	29.290	0.540	0.000000	29.64	25.67	0.00	6
ERF-UN	2011-11-23	0.705308	1.417820e+5	29.290	26.030	29.290	24.210	26.030	28.330	26.030	29.290	0.570	0.000000	29.64	26.03	0.00	7
ERF-UN	2011-11-22	0.712430	1.403650e+5	29.290	26.390	29.290	24.210	26.390	28.930	26.390	29.290	0.750	0.000000	29.65	26.39	0.00	8
ERF-UN	2011-11-21	0.710452	1.407550e+5	29.290	26.650	29.290	24.210	26.650	29.110	26.650	29.290	0.770	0.000000	29.65	26.65	0.00	9
ERF-UN	2011-11-18	0.707318	1.413790e+5	29.290	26.920	29.290	24.210	26.920	29.290	26.920	29.290	0.480	0.000000	29.64	26.92	0.00	10
ERF-UN	2011-11-17	0.719282	1.390280e+5	29.290	27.170	29.290	24.210	27.320	29.290	27.170	29.290	0.860	0.000000	29.65	27.17	0.00	11
ERF-UN	2011-11-16	0.711876	1.404740e+5	29.290	27.170	29.290	24.210	27.320	29.290	27.170	29.290	0.650	0.000000	29.65	27.17	0.00	12
ERF-UN	2011-11-15	0.715133	1.398340e+5	29.290	27.170	29.290	24.210	27.320	29.290	27.170	29.290	0.390	0.000000	29.65	27.17	0.00	13
ERF-UN	2011-11-14	0.732245	1.365660e+5	29.290	26.620	29.290	24.210	27.320	29.290	26.620	29.290	0.420	0.000000	29.66	26.62	0.00	14
ERF-UN	2011-11-11	0.748679	1.335690e+5	29.290	26.620	29.290	24.210	27.530	29.290	26.620	29.290	0.620	0.000000	29.66	26.62	0.00	15
ERF-UN	2011-11-10	0.755451	1.323710e+5	29.290	26.620	29.290	24.210	27.720	29.290	26.620	29.290	1.270	0.000000	29.67	26.62	0.00	16
ERF-UN	2011-11-09	0.728370	1.372930e+5	29.290	26.620	29.290	24.210	27.720	29.290	26.620	29.290	0.660	0.000000	29.65	26.62	0.00	17
ERF-UN	2011-11-08	0.731968	1.366180e+5	29.290	26.280	29.290	24.210	27.500	29.290	26.280	29.290	0.400	0.000000	29.66	26.28	0.00	18
ERF-UN	2011-11-07	0.749440	1.334330e+5	29.290	24.940	29.290	24.210	27.500	29.290	24.940	29.290	0.370	0.000000	29.66	24.94	0.00	19
ERF-UN	2011-11-04	0.769411	1.299700e+5	28.860	24.940	28.880	24.210	27.500	28.860	24.940	28.860	0.580	0.000000	29.24	24.94	0.00	20
ERF-UN	2011-11-03	0.779380	1.283070e+5	28.520	24.940	28.880	24.210	27.170	28.520	24.940	28.520	0.520	0.000000	28.91	24.94	0.00	21
ERF-UN	2011-11-02	0.793031	1.260980e+5	28.360	24.530	29.100	24.210	27.170	28.360	24.530	28.360	0.520	0.000000	28.76	24.53	0.00	22
ERF-UN	2011-11-01	0.807401	1.238540e+5	28.360	24.210	29.100	24.210	27.170	28.360	24.210	28.360	1.210	0.000000	28.76	24.21	0.00	23
ERF-UN	2011-10-31	0.786212	1.271920e+5	28.360	24.210	29.100	24.210	26.620	28.360	24.210	28.360	0.640	0.000000	28.75	24.21	0.00	24
ERF-UN	2011-10-28	0.793907	1.259590e+5	28.020	24.210	29.100	24.210	26.620	28.020	24.210	28.020	0.750	0.000000	28.42	24.21	0.00	25
ERF-UN	2011-10-27	0.796218	1.255940e+5	28.020	24.210	29.100	24.210	26.620	28.020	24.210	28.020	0.690	0.000000	28.42	24.21	0.00	26
ERF-UN	2011-10-26	0.801809	1.247180e+5	28.020	24.210	29.100	24.210	26.620	28.020	24.210	28.020	0.690	0.000000	28.42	24.21	0.00	27
