#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
EWZ	2011-12-01	1.981820	5.045870e+4	63.240	54.300	64.510	50.890	54.300	60.430	54.300	63.240	1.640	0.000000	64.23	54.30	0.00	1
EWZ	2011-11-30	1.999810	5.000480e+4	63.240	54.300	64.510	50.890	54.300	61.350	54.300	63.240	3.570	0.000000	64.24	54.30	0.00	2
EWZ	2011-11-29	1.917170	5.216030e+4	63.240	54.300	64.510	50.890	54.300	61.350	54.300	63.240	1.450	0.000000	64.20	54.30	0.00	3
EWZ	2011-11-28	1.941760	5.149980e+4	64.510	54.300	64.510	50.890	54.300	61.760	54.300	64.510	2.220	0.000000	65.48	54.30	0.00	4
EWZ	2011-11-25	1.927110	5.189110e+4	64.510	54.990	64.510	50.890	54.990	61.760	54.990	64.510	1.170	0.000000	65.47	54.99	0.00	5
EWZ	2011-11-23	1.966960	5.083990e+4	64.510	57.150	64.510	50.890	57.150	61.760	57.150	64.510	2.450	0.000000	65.49	57.15	0.00	6
EWZ	2011-11-22	1.941540	5.150560e+4	64.510	57.780	64.510	50.890	57.780	63.240	57.780	64.510	1.490	0.000000	65.48	57.78	0.00	7
EWZ	2011-11-21	1.965300	5.088280e+4	64.510	58.670	64.510	50.890	59.050	63.240	58.670	64.510	2.390	0.000000	65.49	58.67	0.00	8
EWZ	2011-11-18	1.942950	5.146820e+4	64.510	57.550	65.910	50.890	59.190	63.240	57.550	64.510	1.120	0.000000	65.48	57.55	0.00	9
EWZ	2011-11-17	1.986260	5.034580e+4	64.510	56.290	65.910	50.890	59.990	63.240	56.290	64.510	2.320	0.000000	65.50	56.29	0.00	10
EWZ	2011-11-16	1.968700	5.079500e+4	64.510	56.290	65.910	50.890	59.990	63.240	56.290	64.510	1.330	0.000000	65.49	56.29	0.00	11
EWZ	2011-11-15	2.002310	4.994230e+4	64.510	56.290	65.910	50.890	59.990	63.240	56.290	64.510	1.430	0.000000	65.51	56.29	0.00	12
EWZ	2011-11-14	2.032430	4.920210e+4	64.510	56.290	65.910	50.890	59.990	63.240	56.290	64.510	1.160	0.000000	65.53	56.29	0.00	13
EWZ	2011-11-11	2.078350	4.811510e+4	64.510	56.290	65.910	50.890	59.990	64.510	56.290	64.510	1.830	0.000000	65.55	56.29	0.00	14
EWZ	2011-11-10	2.091420	4.781430e+4	64.510	56.290	65.910	50.890	59.990	64.510	56.290	64.510	1.580	0.000000	65.56	56.29	0.00	15
EWZ	2011-11-09	2.118340	4.720680e+4	64.510	56.290	65.910	50.890	59.640	64.510	56.290	64.510	3.600	0.000000	65.57	56.29	0.00	16
EWZ	2011-11-08	2.040360	4.901100e+4	64.510	56.290	65.910	50.890	58.670	64.510	56.290	64.510	1.290	0.000000	65.53	56.29	0.00	17
EWZ	2011-11-07	2.079850	4.808040e+4	64.510	56.150	65.910	50.890	58.670	64.510	56.150	64.510	0.850	0.000000	65.55	56.15	0.00	18
EWZ	2011-11-04	2.144580	4.662920e+4	64.510	54.040	65.910	50.890	57.550	64.510	54.040	64.510	1.510	0.000000	65.58	54.04	0.00	19
EWZ	2011-11-03	2.177980	4.591420e+4	64.510	54.040	65.910	50.890	56.290	64.510	54.040	64.510	1.080	0.000000	65.60	54.04	0.00	20
EWZ	2011-11-02	2.235770	4.472740e+4	64.510	52.190	65.910	50.890	56.290	64.510	52.190	64.510	1.820	0.000000	65.63	52.19	0.00	21
EWZ	2011-11-01	2.257650	4.429390e+4	64.510	50.970	65.910	50.890	56.290	64.510	50.970	64.510	3.490	0.000000	65.64	50.97	0.00	22
EWZ	2011-10-31	2.192790	4.560410e+4	64.510	50.890	65.910	50.890	56.290	64.510	50.890	64.510	2.180	0.000000	65.61	50.89	0.00	23
EWZ	2011-10-28	2.193460	4.559010e+4	63.140	50.890	65.910	50.890	56.290	63.140	50.890	63.140	1.910	0.000000	64.24	50.89	0.00	24
EWZ	2011-10-27	2.208380	4.528210e+4	59.860	50.890	65.910	50.890	56.290	59.860	50.890	59.860	4.490	0.000000	60.96	50.89	0.00	25
EWZ	2011-10-26	2.088290	4.788600e+4	59.860	50.890	65.910	50.890	56.290	59.860	50.890	59.860	1.580	0.000000	60.90	50.89	0.00	26
EWZ	2011-10-25	2.115050	4.728030e+4	59.860	50.890	65.910	50.890	56.290	59.860	50.890	59.860	1.810	0.000000	60.92	50.89	0.00	27
EWZ	2011-10-24	2.131100	4.692410e+4	58.790	50.890	65.910	50.890	56.150	58.790	50.890	58.790	2.520	0.000000	59.86	50.89	0.00	28
EWZ	2011-10-21	2.110630	4.737910e+4	58.790	50.890	65.910	50.890	54.040	58.790	50.890	58.790	1.660	0.000000	59.85	50.89	0.00	29
