#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
FCR	2011-12-01	0.249604	4.006350e+5	17.040	16.440	17.370	15.900	16.440	17.040	16.440	17.040	0.280	0.000000	17.16	16.44	0.00	1
FCR	2011-11-30	0.248004	4.032200e+5	17.010	16.440	17.370	15.900	16.440	17.010	16.440	17.010	0.180	0.000000	17.13	16.44	0.00	2
FCR	2011-11-29	0.251583	3.974830e+5	16.870	16.230	17.370	15.900	16.440	16.820	16.230	16.870	0.240	0.000000	17.00	16.23	0.00	3
FCR	2011-11-28	0.252193	3.965220e+5	16.870	16.230	17.370	15.900	16.440	16.780	16.230	16.870	0.220	0.000000	17.00	16.23	0.00	4
FCR	2011-11-25	0.253887	3.938760e+5	16.870	16.230	17.370	15.900	16.440	16.780	16.230	16.870	0.270	0.000000	17.00	16.23	0.00	5
FCR	2011-11-24	0.253039	3.951960e+5	16.870	16.230	17.370	15.900	16.470	16.780	16.230	16.870	0.370	0.000000	17.00	16.23	0.00	6
FCR	2011-11-23	0.246883	4.050500e+5	16.870	16.230	17.370	15.900	16.470	16.780	16.230	16.870	0.090	0.000000	16.99	16.23	0.00	7
FCR	2011-11-22	0.255140	3.919420e+5	16.870	16.230	17.370	15.900	16.470	16.830	16.230	16.870	0.120	0.000000	17.00	16.23	0.00	8
FCR	2011-11-21	0.262253	3.813120e+5	16.870	16.230	17.370	15.900	16.470	16.830	16.230	16.870	0.140	0.000000	17.00	16.23	0.00	9
FCR	2011-11-18	0.268687	3.721800e+5	16.870	16.230	17.370	15.900	16.470	16.830	16.230	16.870	0.310	0.000000	17.00	16.23	0.00	10
FCR	2011-11-17	0.266513	3.752170e+5	16.870	16.230	17.370	15.900	16.470	16.870	16.230	16.870	0.220	0.000000	17.00	16.23	0.00	11
FCR	2011-11-16	0.268961	3.718020e+5	16.870	16.230	17.370	15.900	16.460	16.870	16.230	16.870	0.290	0.000000	17.00	16.23	0.00	12
FCR	2011-11-15	0.267853	3.733390e+5	16.870	16.230	17.370	15.900	16.230	16.870	16.230	16.870	0.150	0.000000	17.00	16.23	0.00	13
FCR	2011-11-14	0.274056	3.648890e+5	16.870	16.230	17.370	15.900	16.230	16.870	16.230	16.870	0.380	0.000000	17.01	16.23	0.00	14
FCR	2011-11-11	0.268480	3.724670e+5	16.870	16.230	17.370	15.900	16.230	16.870	16.230	16.870	0.160	0.000000	17.00	16.23	0.00	15
FCR	2011-11-10	0.274190	3.647110e+5	16.870	16.230	17.370	15.900	16.230	16.870	16.230	16.870	0.200	0.000000	17.01	16.23	0.00	16
FCR	2011-11-09	0.278094	3.595900e+5	16.870	16.230	17.370	15.770	16.230	16.870	16.230	16.870	0.280	0.000000	17.01	16.23	0.00	17
FCR	2011-11-08	0.277994	3.597200e+5	16.870	16.130	17.370	15.530	16.230	16.870	16.130	16.870	0.230	0.000000	17.01	16.13	0.00	18
