#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
FFDF	2011-12-01	0.095484	1.047300e+6	14.780	13.730	14.780	13.650	14.450	14.780	13.730	14.780	0.000	0.000000	14.83	13.73	0.00	1
FFDF	2011-11-30	0.100509	9.949320e+5	14.650	13.730	14.650	13.650	14.240	14.650	13.730	14.650	0.180	0.000000	14.70	13.73	0.00	2
FFDF	2011-11-29	0.096326	1.038140e+6	14.650	13.730	14.650	13.650	14.240	14.650	13.730	14.650	0.020	0.000000	14.70	13.73	0.00	3
FFDF	2011-11-28	0.100343	9.965840e+5	14.650	13.730	14.650	13.650	14.240	14.650	13.730	14.650	0.040	0.000000	14.70	13.73	0.00	4
FFDF	2011-11-25	0.103519	9.660090e+5	14.650	13.730	14.650	13.650	14.240	14.650	13.730	14.650	0.000	0.000000	14.70	13.73	0.00	5
FFDF	2011-11-23	0.108967	9.177080e+5	14.650	13.730	15.000	13.650	14.240	14.650	13.730	14.650	0.050	0.000000	14.70	13.73	0.00	6
FFDF	2011-11-22	0.112071	8.922940e+5	14.650	13.730	15.000	13.650	14.240	14.650	13.730	14.650	0.000	0.000000	14.71	13.73	0.00	7
FFDF	2011-11-21	0.117969	8.476800e+5	14.650	13.730	15.000	13.650	13.730	14.650	13.730	14.650	0.000	0.000000	14.71	13.73	0.00	8
FFDF	2011-11-18	0.124178	8.052960e+5	14.600	13.730	15.500	13.650	13.730	14.450	13.730	14.600	0.200	0.000000	14.66	13.73	0.00	9
FFDF	2011-11-17	0.120187	8.320340e+5	14.600	13.730	15.500	13.650	13.730	14.450	13.730	14.600	0.000	0.000000	14.66	13.73	0.00	10
FFDF	2011-11-16	0.126513	7.904330e+5	14.600	13.730	15.500	13.650	13.730	14.250	13.730	14.600	0.270	0.000000	14.66	13.73	0.00	11
FFDF	2011-11-15	0.118961	8.406110e+5	14.600	13.730	15.500	13.650	13.730	14.500	13.730	14.600	0.000	0.000000	14.66	13.73	0.00	12
FFDF	2011-11-14	0.125222	7.985810e+5	14.600	13.730	15.500	13.650	13.730	14.500	13.730	14.600	0.000	0.000000	14.66	13.73	0.00	13
FFDF	2011-11-11	0.131813	7.586520e+5	14.600	13.730	15.500	13.650	13.730	14.500	13.730	14.600	0.000	0.000000	14.67	13.73	0.00	14
FFDF	2011-11-10	0.138750	7.207190e+5	14.600	13.730	15.500	13.650	13.730	14.500	13.730	14.600	0.010	0.000000	14.67	13.73	0.00	15
FFDF	2011-11-09	0.145527	6.871590e+5	14.600	13.730	15.500	13.650	13.730	14.600	13.730	14.600	0.000	0.000000	14.67	13.73	0.00	16
