#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
FRZNF	2011-12-01	0.000065	1.529290e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	1
FRZNF	2011-11-30	0.000069	1.452820e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	2
FRZNF	2011-11-29	0.000072	1.380180e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	3
FRZNF	2011-11-28	0.000076	1.311170e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	4
FRZNF	2011-11-25	0.000080	1.245610e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	5
FRZNF	2011-11-23	0.000085	1.183330e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	6
FRZNF	2011-11-22	0.000089	1.124170e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	7
FRZNF	2011-11-21	0.000094	1.067960e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	8
FRZNF	2011-11-18	0.000099	1.014560e+9	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	9
FRZNF	2011-11-17	0.000104	9.638310e+8	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	10
FRZNF	2011-11-16	0.000109	9.156400e+8	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	11
FRZNF	2011-11-15	0.000115	8.698580e+8	27.220	27.220	27.220	27.220	27.220	27.220	27.220	27.220	0.000	0.000000	27.22	27.22	0.00	12
