#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
FTS	2011-12-01	0.656995	1.522080e+5	34.060	31.770	34.060	31.740	31.770	33.510	31.770	34.060	0.770	0.000000	34.39	31.77	0.00	1
FTS	2011-11-30	0.651047	1.535990e+5	34.060	31.770	34.060	31.740	31.770	33.800	31.770	34.060	0.500	0.000000	34.39	31.77	0.00	2
FTS	2011-11-29	0.658997	1.517460e+5	34.060	31.770	34.060	31.740	31.770	33.800	31.770	34.060	0.950	0.000000	34.39	31.77	0.00	3
FTS	2011-11-28	0.643681	1.553560e+5	34.060	31.770	34.060	31.740	31.770	33.800	31.770	34.060	0.970	0.000000	34.38	31.77	0.00	4
FTS	2011-11-25	0.626507	1.596150e+5	34.060	31.770	34.060	31.740	31.770	33.800	31.770	34.060	0.670	0.000000	34.37	31.77	0.00	5
FTS	2011-11-24	0.624217	1.602010e+5	34.060	31.850	34.060	31.740	31.850	33.800	31.850	34.060	0.670	0.000000	34.37	31.85	0.00	6
FTS	2011-11-23	0.621808	1.608210e+5	34.060	32.500	34.060	31.740	32.500	33.800	32.500	34.060	0.800	0.000000	34.37	32.50	0.00	7
FTS	2011-11-22	0.612429	1.632840e+5	34.060	32.680	34.060	31.740	32.680	33.800	32.680	34.060	0.530	0.000000	34.37	32.68	0.00	8
FTS	2011-11-21	0.616768	1.621360e+5	34.060	32.790	34.060	31.740	32.790	33.800	32.790	34.060	0.410	0.000000	34.37	32.79	0.00	9
FTS	2011-11-18	0.627650	1.593240e+5	34.060	32.790	34.060	31.740	32.790	33.800	32.790	34.060	0.640	0.000000	34.37	32.79	0.00	10
FTS	2011-11-17	0.627000	1.594900e+5	34.060	32.790	34.060	31.740	32.790	34.060	32.790	34.060	0.800	0.000000	34.37	32.79	0.00	11
FTS	2011-11-16	0.617895	1.618400e+5	34.060	32.790	34.060	31.200	32.790	34.060	32.790	34.060	0.830	0.000000	34.37	32.79	0.00	12
FTS	2011-11-15	0.606731	1.648180e+5	34.060	32.790	34.060	30.880	32.790	34.060	32.790	34.060	0.490	0.000000	34.36	32.79	0.00	13
FTS	2011-11-14	0.612875	1.631650e+5	34.060	32.790	34.060	30.840	32.790	34.060	32.790	34.060	0.300	0.000000	34.37	32.79	0.00	14
FTS	2011-11-11	0.629342	1.588960e+5	34.060	32.790	34.060	30.840	32.790	34.060	32.790	34.060	0.670	0.000000	34.37	32.79	0.00	15
FTS	2011-11-10	0.627202	1.594380e+5	34.060	32.790	34.060	30.840	32.790	34.060	32.790	34.060	0.880	0.000000	34.37	32.79	0.00	16
FTS	2011-11-09	0.613897	1.628940e+5	34.060	32.960	34.060	30.780	33.400	34.060	32.960	34.060	0.990	0.000000	34.37	32.96	0.00	17
FTS	2011-11-08	0.594102	1.683210e+5	34.060	32.930	34.060	30.480	33.400	34.060	32.930	34.060	0.380	0.000000	34.36	32.93	0.00	18
FTS	2011-11-07	0.605371	1.651880e+5	34.060	31.970	34.060	30.480	33.390	34.060	31.970	34.060	0.490	0.000000	34.36	31.97	0.00	19
FTS	2011-11-04	0.611443	1.635480e+5	34.060	31.970	34.060	30.480	33.390	34.060	31.970	34.060	0.930	0.000000	34.37	31.97	0.00	20
FTS	2011-11-03	0.594677	1.681590e+5	34.010	31.970	34.010	30.480	33.390	34.010	31.970	34.010	0.460	0.000000	34.31	31.97	0.00	21
FTS	2011-11-02	0.601765	1.661780e+5	34.010	31.740	34.010	30.480	33.310	34.010	31.740	34.010	0.450	0.000000	34.31	31.74	0.00	22
FTS	2011-11-01	0.609753	1.640010e+5	34.010	31.740	34.010	30.480	33.310	34.010	31.740	34.010	0.810	0.000000	34.31	31.74	0.00	23
FTS	2011-10-31	0.599214	1.668850e+5	34.010	31.740	34.010	30.480	33.300	34.010	31.740	34.010	0.720	0.000000	34.31	31.74	0.00	24
FTS	2011-10-28	0.592856	1.686750e+5	34.010	31.740	34.010	30.250	32.960	34.010	31.740	34.010	0.570	0.000000	34.31	31.74	0.00	25
FTS	2011-10-27	0.594059	1.683330e+5	33.780	31.740	33.780	29.770	32.960	33.780	31.740	33.780	0.430	0.000000	34.08	31.74	0.00	26
FTS	2011-10-26	0.602694	1.659220e+5	33.540	31.740	33.540	29.110	32.960	33.540	31.740	33.540	0.550	0.000000	33.84	31.74	0.00	27
FTS	2011-10-25	0.605467	1.651620e+5	33.470	31.740	33.470	29.110	32.930	33.470	31.740	33.470	0.540	0.000000	33.77	31.74	0.00	28
FTS	2011-10-24	0.608913	1.642270e+5	33.470	31.740	33.470	29.110	31.970	33.470	31.740	33.470	0.500	0.000000	33.77	31.74	0.00	29
FTS	2011-10-21	0.614645	1.626950e+5	33.470	31.740	33.470	29.110	31.970	33.470	31.740	33.470	0.340	0.000000	33.78	31.74	0.00	30
FTS	2011-10-20	0.629100	1.589570e+5	33.470	31.740	33.470	29.110	31.970	33.470	31.740	33.470	0.550	0.000000	33.78	31.74	0.00	31
FTS	2011-10-19	0.633263	1.579120e+5	33.470	31.740	33.470	29.110	31.740	33.470	31.740	33.470	0.490	0.000000	33.79	31.74	0.00	32
FTS	2011-10-18	0.640804	1.560540e+5	33.440	31.740	33.440	29.110	31.740	33.370	31.740	33.440	0.400	0.000000	33.76	31.74	0.00	33
FTS	2011-10-17	0.653478	1.530270e+5	33.440	31.740	33.440	29.110	31.740	33.370	31.740	33.440	0.400	0.000000	33.77	31.74	0.00	34
FTS	2011-10-14	0.666818	1.499660e+5	33.440	31.740	33.440	29.110	31.740	33.370	31.740	33.440	0.520	0.000000	33.77	31.74	0.00	35
FTS	2011-10-13	0.674546	1.482480e+5	33.440	31.740	33.440	29.110	31.740	33.370	31.740	33.440	0.600	0.000000	33.78	31.74	0.00	36
FTS	2011-10-12	0.678469	1.473910e+5	33.440	31.740	33.440	29.110	31.740	33.440	31.740	33.440	0.580	0.000000	33.78	31.74	0.00	37
FTS	2011-10-11	0.683652	1.462730e+5	33.440	31.740	33.440	29.110	31.740	33.440	31.740	33.440	0.990	0.000000	33.78	31.74	0.00	38
FTS	2011-10-07	0.667528	1.498060e+5	33.440	31.740	33.440	29.110	31.740	33.440	31.740	33.440	0.440	0.000000	33.77	31.74	0.00	39
FTS	2011-10-06	0.679503	1.471660e+5	33.440	31.740	33.440	29.110	31.740	33.440	31.740	33.440	0.480	0.000000	33.78	31.74	0.00	40
FTS	2011-10-05	0.690004	1.449270e+5	33.440	31.740	33.440	29.110	31.740	33.440	31.740	33.440	0.630	0.000000	33.78	31.74	0.00	41
FTS	2011-10-04	0.693162	1.442660e+5	33.440	31.790	33.440	29.110	31.790	33.440	31.790	33.440	1.110	0.000000	33.79	31.79	0.00	42
FTS	2011-10-03	0.671223	1.489820e+5	33.440	31.790	33.440	29.110	31.790	33.440	31.790	33.440	0.600	0.000000	33.78	31.79	0.00	43
FTS	2011-09-30	0.674971	1.481540e+5	33.440	31.790	33.440	29.110	31.790	33.440	31.790	33.440	0.460	0.000000	33.78	31.79	0.00	44
FTS	2011-09-29	0.686286	1.457120e+5	33.440	31.790	33.440	29.110	31.790	33.440	31.790	33.440	0.590	0.000000	33.78	31.79	0.00	45
FTS	2011-09-28	0.691353	1.446440e+5	33.440	31.740	33.440	29.110	31.790	33.440	31.740	33.440	0.800	0.000000	33.79	31.74	0.00	46
FTS	2011-09-27	0.685635	1.458500e+5	32.900	31.200	32.900	29.110	31.790	32.900	31.200	32.900	1.130	0.000000	33.24	31.20	0.00	47
FTS	2011-09-26	0.662247	1.510010e+5	32.900	30.880	32.900	29.110	31.790	32.900	30.880	32.900	1.140	0.000000	33.23	30.88	0.00	48
FTS	2011-09-23	0.637102	1.569610e+5	32.900	30.840	32.900	29.110	31.910	32.900	30.840	32.900	0.570	0.000000	33.22	30.84	0.00	49
FTS	2011-09-22	0.640634	1.560950e+5	32.900	30.840	32.900	29.110	32.060	32.900	30.840	32.900	0.800	0.000000	33.22	30.84	0.00	50
FTS	2011-09-21	0.632247	1.581660e+5	32.900	30.840	32.900	29.110	32.060	32.900	30.840	32.900	0.550	0.000000	33.22	30.84	0.00	51
FTS	2011-09-20	0.636575	1.570910e+5	32.900	30.780	32.900	29.110	32.060	32.900	30.780	32.900	0.460	0.000000	33.22	30.78	0.00	52
FTS	2011-09-19	0.645869	1.548300e+5	32.900	30.480	32.900	29.110	32.040	32.900	30.480	32.900	0.700	0.000000	33.22	30.48	0.00	53
