#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
FXY	2011-12-01	0.622630	1.606090e+5	128.060	125.990	130.090	125.770	126.340	128.060	125.990	128.060	0.400	0.000000	128.37	125.99	0.00	1
FXY	2011-11-30	0.634347	1.576420e+5	128.060	125.770	130.090	125.770	126.340	128.060	125.770	128.060	0.790	0.000000	128.38	125.77	0.00	2
FXY	2011-11-29	0.626155	1.597050e+5	128.060	125.770	130.090	125.770	126.340	128.060	125.770	128.060	0.380	0.000000	128.37	125.77	0.00	3
FXY	2011-11-28	0.639110	1.564680e+5	130.090	125.770	130.090	125.770	126.760	128.060	125.770	130.090	0.860	0.000000	130.41	125.77	0.00	4
FXY	2011-11-25	0.627485	1.593660e+5	130.090	125.770	130.090	125.770	126.860	128.060	125.770	130.090	0.690	0.000000	130.40	125.77	0.00	5
FXY	2011-11-23	0.624194	1.602070e+5	130.090	125.770	130.090	125.770	126.600	128.060	125.770	130.090	0.990	0.000000	130.40	125.77	0.00	6
FXY	2011-11-22	0.604941	1.653050e+5	130.090	125.770	130.090	125.770	126.600	128.060	125.770	130.090	0.240	0.000000	130.39	125.77	0.00	7
FXY	2011-11-21	0.624149	1.602180e+5	130.090	125.770	130.090	125.770	126.250	128.060	125.770	130.090	0.280	0.000000	130.40	125.77	0.00	8
FXY	2011-11-18	0.642262	1.557000e+5	130.090	125.770	130.090	125.770	125.990	128.030	125.770	130.090	0.480	0.000000	130.41	125.77	0.00	9
FXY	2011-11-17	0.650802	1.536570e+5	130.090	125.770	130.090	125.770	125.990	127.930	125.770	130.090	0.150	0.000000	130.41	125.77	0.00	10
FXY	2011-11-16	0.677160	1.476760e+5	130.090	125.770	130.090	125.770	125.990	127.810	125.770	130.090	0.300	0.000000	130.43	125.77	0.00	11
FXY	2011-11-15	0.697011	1.434700e+5	130.090	125.770	130.090	125.770	125.770	127.810	125.770	130.090	0.320	0.000000	130.44	125.77	0.00	12
FXY	2011-11-14	0.716853	1.394990e+5	130.090	125.770	130.090	125.770	125.770	127.720	125.770	130.090	0.320	0.000000	130.45	125.77	0.00	13
FXY	2011-11-11	0.737740	1.355490e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.990	0.000000	130.46	125.77	0.00	14
FXY	2011-11-10	0.724463	1.380330e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.500	0.000000	130.45	125.77	0.00	15
FXY	2011-11-09	0.736277	1.358180e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.310	0.000000	130.46	125.77	0.00	16
FXY	2011-11-08	0.758713	1.318020e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.730	0.000000	130.47	125.77	0.00	17
FXY	2011-11-07	0.760224	1.315400e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.350	0.000000	130.47	125.77	0.00	18
FXY	2011-11-04	0.781815	1.279080e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.330	0.000000	130.48	125.77	0.00	19
FXY	2011-11-03	0.805595	1.241320e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.270	0.000000	130.49	125.77	0.00	20
FXY	2011-11-02	0.833784	1.199350e+5	130.090	125.770	130.090	125.770	125.770	130.090	125.770	130.090	0.590	0.000000	130.51	125.77	0.00	21
