#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
GE	2011-12-01	0.457346	2.186530e+5	16.670	14.700	17.370	14.690	14.700	15.950	14.700	16.670	0.270	0.000000	16.90	14.70	0.00	1
GE	2011-11-30	0.467206	2.140380e+5	16.670	14.700	17.370	14.690	14.700	16.200	14.700	16.670	0.990	0.000000	16.90	14.70	0.00	2
GE	2011-11-29	0.439691	2.274320e+5	16.710	14.700	17.370	14.690	14.700	16.200	14.700	16.710	0.350	0.000000	16.93	14.70	0.00	3
GE	2011-11-28	0.444412	2.250170e+5	17.250	14.700	17.370	14.690	14.700	16.300	14.700	17.250	0.570	0.000000	17.47	14.70	0.00	4
GE	2011-11-25	0.437802	2.284140e+5	17.370	14.730	17.370	14.690	14.730	16.300	14.730	17.370	0.320	0.000000	17.59	14.73	0.00	5
GE	2011-11-23	0.444002	2.252240e+5	17.370	14.990	17.370	14.690	14.990	16.300	14.990	17.370	0.270	0.000000	17.59	14.99	0.00	6
GE	2011-11-22	0.453160	2.206730e+5	17.370	15.240	17.370	14.690	15.240	16.480	15.240	17.370	0.310	0.000000	17.60	15.24	0.00	7
GE	2011-11-21	0.460694	2.170640e+5	17.370	15.640	17.370	14.690	15.640	16.480	15.640	17.370	0.450	0.000000	17.60	15.64	0.00	8
GE	2011-11-18	0.461257	2.167990e+5	17.370	15.640	17.370	14.690	15.640	16.480	15.640	17.370	0.230	0.000000	17.60	15.64	0.00	9
GE	2011-11-17	0.473429	2.112250e+5	17.370	15.850	17.370	14.690	15.850	16.670	15.850	17.370	0.550	0.000000	17.61	15.85	0.00	10
GE	2011-11-16	0.469399	2.130390e+5	17.370	15.850	17.370	14.690	15.850	16.670	15.850	17.370	0.330	0.000000	17.60	15.85	0.00	11
GE	2011-11-15	0.476735	2.097600e+5	17.370	15.850	17.370	14.690	15.850	16.670	15.850	17.370	0.290	0.000000	17.61	15.85	0.00	12
GE	2011-11-14	0.486564	2.055230e+5	17.370	15.850	17.370	14.690	15.850	16.710	15.850	17.370	0.280	0.000000	17.61	15.85	0.00	13
GE	2011-11-11	0.497435	2.010310e+5	17.370	15.850	17.370	14.690	15.850	17.250	15.850	17.370	0.410	0.000000	17.62	15.85	0.00	14
GE	2011-11-10	0.502037	1.991880e+5	17.370	15.850	17.370	14.690	15.850	17.370	15.850	17.370	0.340	0.000000	17.62	15.85	0.00	15
GE	2011-11-09	0.510566	1.958610e+5	17.370	16.020	17.370	14.690	16.020	17.370	16.020	17.370	0.730	0.000000	17.63	16.02	0.00	16
GE	2011-11-08	0.499016	2.003940e+5	17.370	16.020	17.370	14.690	16.020	17.370	16.020	17.370	0.230	0.000000	17.62	16.02	0.00	17
GE	2011-11-07	0.513175	1.948650e+5	17.370	16.020	17.370	14.690	16.020	17.370	16.020	17.370	0.320	0.000000	17.63	16.02	0.00	18
GE	2011-11-04	0.523342	1.910800e+5	17.370	15.500	17.370	14.690	16.020	17.370	15.500	17.370	0.440	0.000000	17.63	15.50	0.00	19
GE	2011-11-03	0.527729	1.894910e+5	17.370	15.500	17.370	14.690	16.020	17.370	15.500	17.370	0.440	0.000000	17.63	15.50	0.00	20
GE	2011-11-02	0.532346	1.878480e+5	17.370	15.270	17.370	14.690	16.020	17.370	15.270	17.370	0.500	0.000000	17.64	15.27	0.00	21
GE	2011-11-01	0.534048	1.872490e+5	17.370	14.860	17.370	14.690	16.220	17.370	14.860	17.370	0.740	0.000000	17.64	14.86	0.00	22
GE	2011-10-31	0.523209	1.911280e+5	17.370	14.690	17.370	14.690	16.220	17.370	14.690	17.370	0.550	0.000000	17.63	14.69	0.00	23
GE	2011-10-28	0.521799	1.916450e+5	17.370	14.690	17.370	14.690	16.220	17.370	14.690	17.370	0.260	0.000000	17.63	14.69	0.00	24
GE	2011-10-27	0.535578	1.867140e+5	16.710	14.690	16.710	14.690	16.220	16.710	14.690	16.710	1.150	0.000000	16.98	14.69	0.00	25
GE	2011-10-26	0.503240	1.987120e+5	16.710	14.690	16.710	14.690	16.220	16.710	14.690	16.710	0.290	0.000000	16.96	14.69	0.00	26
GE	2011-10-25	0.514463	1.943780e+5	16.710	14.690	16.710	14.690	16.140	16.710	14.690	16.710	0.440	0.000000	16.97	14.69	0.00	27
