#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
GIM	2011-12-01	0.192613	5.191770e+5	10.130	9.150	10.530	9.150	9.150	9.570	9.150	10.130	0.220	0.000000	10.23	9.15	0.00	1
GIM	2011-11-30	0.191171	5.230910e+5	10.130	9.150	10.620	9.150	9.150	9.720	9.150	10.130	0.390	0.000000	10.23	9.15	0.00	2
GIM	2011-11-29	0.180706	5.533840e+5	10.180	9.190	10.620	9.160	9.190	9.820	9.190	10.180	0.130	0.000000	10.27	9.19	0.00	3
GIM	2011-11-28	0.183375	5.453300e+5	10.180	9.250	10.650	9.160	9.250	9.820	9.250	10.180	0.140	0.000000	10.27	9.25	0.00	4
GIM	2011-11-25	0.185658	5.386240e+5	10.180	9.280	10.760	9.160	9.280	9.820	9.280	10.180	0.160	0.000000	10.27	9.28	0.00	5
GIM	2011-11-23	0.187009	5.347350e+5	10.180	9.300	10.760	9.160	9.300	9.870	9.300	10.180	0.120	0.000000	10.27	9.30	0.00	6
GIM	2011-11-22	0.190535	5.248370e+5	10.180	9.300	10.760	9.160	9.300	10.100	9.300	10.180	0.120	0.000000	10.28	9.30	0.00	7
GIM	2011-11-21	0.194248	5.148070e+5	10.180	9.390	10.850	9.160	9.390	10.110	9.390	10.180	0.160	0.000000	10.28	9.39	0.00	8
GIM	2011-11-18	0.196050	5.100730e+5	10.180	9.430	11.170	9.160	9.430	10.130	9.430	10.180	0.110	0.000000	10.28	9.43	0.00	9
GIM	2011-11-17	0.200579	4.985560e+5	10.180	9.570	11.300	9.160	9.570	10.130	9.570	10.180	0.170	0.000000	10.28	9.57	0.00	10
GIM	2011-11-16	0.202189	4.945880e+5	10.180	9.630	11.330	9.160	9.720	10.130	9.630	10.180	0.170	0.000000	10.28	9.63	0.00	11
GIM	2011-11-15	0.203883	4.904780e+5	10.180	9.630	11.330	9.160	9.770	10.130	9.630	10.180	0.110	0.000000	10.28	9.63	0.00	12
GIM	2011-11-14	0.208824	4.788720e+5	10.180	9.630	11.330	9.160	9.770	10.180	9.630	10.180	0.120	0.000000	10.28	9.63	0.00	13
GIM	2011-11-11	0.213499	4.683860e+5	10.180	9.630	11.330	9.160	9.800	10.180	9.630	10.180	0.150	0.000000	10.29	9.63	0.00	14
GIM	2011-11-10	0.216841	4.611670e+5	10.180	9.630	11.330	9.160	9.870	10.180	9.630	10.180	0.220	0.000000	10.29	9.63	0.00	15
GIM	2011-11-09	0.216675	4.615210e+5	10.180	9.630	11.330	9.160	9.880	10.180	9.630	10.180	0.290	0.000000	10.29	9.63	0.00	16
GIM	2011-11-08	0.212815	4.698910e+5	10.180	9.630	11.330	9.160	9.740	10.180	9.630	10.180	0.090	0.000000	10.29	9.63	0.00	17
GIM	2011-11-07	0.219279	4.560390e+5	10.180	9.630	11.330	9.160	9.740	10.180	9.630	10.180	0.210	0.000000	10.29	9.63	0.00	18
GIM	2011-11-04	0.219768	4.550260e+5	10.180	9.310	11.330	9.160	9.710	10.180	9.310	10.180	0.290	0.000000	10.29	9.31	0.00	19
GIM	2011-11-03	0.216071	4.628100e+5	10.180	9.310	11.330	9.160	9.630	10.180	9.310	10.180	0.190	0.000000	10.29	9.31	0.00	20
