#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
GIS	2011-12-01	0.620839	1.610720e+5	39.950	37.960	39.950	37.190	37.960	39.950	37.960	39.950	0.260	0.000000	40.26	37.96	0.00	1
GIS	2011-11-30	0.639831	1.562910e+5	39.600	37.960	39.920	36.970	37.960	39.600	37.960	39.600	0.890	0.000000	39.92	37.96	0.00	2
GIS	2011-11-29	0.626664	1.595750e+5	39.600	37.960	39.920	36.970	37.960	39.600	37.960	39.600	0.790	0.000000	39.91	37.96	0.00	3
GIS	2011-11-28	0.618068	1.617950e+5	39.600	37.960	39.920	36.970	37.960	39.600	37.960	39.600	0.670	0.000000	39.91	37.96	0.00	4
GIS	2011-11-25	0.615334	1.625130e+5	39.600	37.960	39.920	36.970	37.960	39.600	37.960	39.600	0.430	0.000000	39.91	37.96	0.00	5
GIS	2011-11-23	0.625089	1.599770e+5	39.600	38.310	39.920	36.970	38.370	39.600	38.310	39.600	0.570	0.000000	39.91	38.31	0.00	6
GIS	2011-11-22	0.627988	1.592390e+5	39.600	38.310	39.920	36.890	38.370	39.600	38.310	39.600	0.460	0.000000	39.91	38.31	0.00	7
GIS	2011-11-21	0.636830	1.570280e+5	39.600	38.310	39.920	36.890	38.550	39.600	38.310	39.600	0.450	0.000000	39.92	38.31	0.00	8
GIS	2011-11-18	0.646663	1.546400e+5	39.790	38.310	39.920	36.890	38.620	39.600	38.310	39.790	0.480	0.000000	40.11	38.31	0.00	9
GIS	2011-11-17	0.655434	1.525710e+5	39.790	38.310	39.920	36.890	38.670	39.600	38.310	39.790	0.640	0.000000	40.12	38.31	0.00	10
GIS	2011-11-16	0.656247	1.523820e+5	39.790	38.310	39.920	36.890	38.590	39.600	38.310	39.790	0.730	0.000000	40.12	38.31	0.00	11
GIS	2011-11-15	0.652365	1.532880e+5	39.790	38.310	39.920	36.890	38.310	39.560	38.310	39.790	0.420	0.000000	40.12	38.31	0.00	12
GIS	2011-11-14	0.664595	1.504680e+5	39.790	38.310	39.920	36.680	38.310	39.560	38.310	39.790	0.370	0.000000	40.12	38.31	0.00	13
GIS	2011-11-11	0.680100	1.470370e+5	39.790	38.310	39.920	36.590	38.310	39.500	38.310	39.790	0.520	0.000000	40.13	38.31	0.00	14
GIS	2011-11-10	0.688526	1.452380e+5	39.790	38.310	39.920	36.590	38.310	39.500	38.310	39.790	0.520	0.000000	40.13	38.31	0.00	15
GIS	2011-11-09	0.697396	1.433910e+5	39.790	38.310	39.920	36.590	38.310	39.500	38.310	39.790	0.780	0.000000	40.14	38.31	0.00	16
GIS	2011-11-08	0.693048	1.442900e+5	39.920	38.310	39.920	36.210	38.310	39.360	38.310	39.920	0.510	0.000000	40.27	38.31	0.00	17
GIS	2011-11-07	0.702682	1.423120e+5	39.920	38.310	39.920	35.810	38.310	39.290	38.310	39.920	0.880	0.000000	40.27	38.31	0.00	18
GIS	2011-11-04	0.693350	1.442270e+5	39.920	38.310	39.920	35.810	38.310	39.790	38.310	39.920	0.570	0.000000	40.27	38.31	0.00	19
GIS	2011-11-03	0.699842	1.428890e+5	39.920	38.170	39.920	35.810	38.310	39.790	38.170	39.920	1.100	0.000000	40.27	38.17	0.00	20
GIS	2011-11-02	0.678781	1.473230e+5	39.920	37.940	39.920	35.810	38.310	39.790	37.940	39.920	0.360	0.000000	40.26	37.94	0.00	21
GIS	2011-11-01	0.695559	1.437690e+5	39.920	37.940	39.920	35.810	38.530	39.790	37.940	39.920	0.540	0.000000	40.27	37.94	0.00	22
GIS	2011-10-31	0.703746	1.420970e+5	39.920	37.940	39.920	35.810	38.820	39.790	37.940	39.920	0.670	0.000000	40.27	37.94	0.00	23
GIS	2011-10-28	0.705523	1.417390e+5	39.920	37.940	39.920	35.780	38.820	39.790	37.940	39.920	0.620	0.000000	40.27	37.94	0.00	24
GIS	2011-10-27	0.710024	1.408400e+5	39.920	37.940	39.920	34.950	38.820	39.790	37.940	39.920	0.780	0.000000	40.27	37.94	0.00	25
GIS	2011-10-26	0.706341	1.415750e+5	39.920	37.940	39.920	34.950	38.820	39.790	37.940	39.920	0.470	0.000000	40.27	37.94	0.00	26
GIS	2011-10-25	0.718780	1.391250e+5	39.920	37.940	39.920	34.950	39.100	39.920	37.940	39.920	0.540	0.000000	40.28	37.94	0.00	27
GIS	2011-10-24	0.728189	1.373270e+5	39.920	37.940	39.920	34.950	39.310	39.920	37.940	39.920	0.830	0.000000	40.28	37.94	0.00	28
GIS	2011-10-21	0.722831	1.383450e+5	39.920	37.940	39.920	34.950	38.750	39.920	37.940	39.920	0.640	0.000000	40.28	37.94	0.00	29
GIS	2011-10-20	0.727190	1.375160e+5	39.920	37.940	39.920	34.950	38.170	39.920	37.940	39.920	0.610	0.000000	40.28	37.94	0.00	30
GIS	2011-10-19	0.733358	1.363590e+5	39.920	37.940	39.920	34.950	37.940	39.920	37.940	39.920	0.610	0.000000	40.29	37.94	0.00	31
GIS	2011-10-18	0.739851	1.351620e+5	39.920	37.490	39.920	34.950	37.940	39.920	37.490	39.920	0.900	0.000000	40.29	37.49	0.00	32
GIS	2011-10-17	0.731422	1.367200e+5	39.920	37.490	39.920	34.950	37.940	39.920	37.490	39.920	0.440	0.000000	40.29	37.49	0.00	33
GIS	2011-10-14	0.746760	1.339120e+5	39.920	37.490	39.920	34.950	37.940	39.920	37.490	39.920	0.570	0.000000	40.29	37.49	0.00	34
GIS	2011-10-13	0.756063	1.322640e+5	39.920	37.490	39.920	34.950	37.940	39.920	37.490	39.920	0.750	0.000000	40.30	37.49	0.00	35
GIS	2011-10-12	0.756382	1.322080e+5	39.920	37.190	39.920	34.950	37.940	39.920	37.190	39.920	0.570	0.000000	40.30	37.19	0.00	36
GIS	2011-10-11	0.766192	1.305160e+5	39.500	36.970	39.500	34.950	37.940	39.450	36.970	39.500	0.940	0.000000	39.88	36.97	0.00	37
GIS	2011-10-10	0.757044	1.320930e+5	39.500	36.970	39.500	34.950	37.940	39.480	36.970	39.500	0.590	0.000000	39.88	36.97	0.00	38
GIS	2011-10-07	0.765836	1.305760e+5	39.500	36.970	39.500	34.950	37.940	39.480	36.970	39.500	0.910	0.000000	39.88	36.97	0.00	39
GIS	2011-10-06	0.758248	1.318830e+5	39.500	36.970	39.500	34.950	37.940	39.500	36.970	39.500	0.430	0.000000	39.88	36.97	0.00	40
GIS	2011-10-05	0.775524	1.289450e+5	39.500	36.970	39.500	34.950	37.960	39.500	36.970	39.500	0.510	0.000000	39.89	36.97	0.00	41
GIS	2011-10-04	0.789499	1.266630e+5	39.500	36.890	39.500	34.950	37.490	39.500	36.890	39.500	0.710	0.000000	39.89	36.89	0.00	42
GIS	2011-10-03	0.793683	1.259950e+5	39.500	36.890	39.500	34.950	37.490	39.500	36.890	39.500	0.660	0.000000	39.90	36.89	0.00	43
GIS	2011-09-30	0.800719	1.248880e+5	39.500	36.890	39.500	34.950	37.490	39.500	36.890	39.500	0.700	0.000000	39.90	36.89	0.00	44
GIS	2011-09-29	0.806020	1.240660e+5	39.500	36.890	39.500	34.950	37.490	39.500	36.890	39.500	0.550	0.000000	39.90	36.89	0.00	45
GIS	2011-09-28	0.819495	1.220260e+5	39.500	36.890	39.500	34.950	37.190	39.500	36.890	39.500	1.020	0.000000	39.91	36.89	0.00	46
GIS	2011-09-27	0.808942	1.236180e+5	39.500	36.890	39.500	34.950	36.970	39.500	36.890	39.500	0.550	0.000000	39.90	36.89	0.00	47
GIS	2011-09-26	0.822571	1.215700e+5	39.500	36.680	39.500	34.950	36.970	39.500	36.680	39.500	0.730	0.000000	39.91	36.68	0.00	48
GIS	2011-09-23	0.827443	1.208540e+5	39.500	36.590	39.500	34.950	36.970	39.500	36.590	39.500	0.940	0.000000	39.91	36.59	0.00	49
GIS	2011-09-22	0.821519	1.217260e+5	38.440	36.590	38.440	34.950	36.970	38.440	36.590	38.440	2.040	0.000000	38.85	36.59	0.00	50
GIS	2011-09-21	0.757388	1.320330e+5	37.910	36.590	37.910	34.950	36.970	37.900	36.590	37.910	2.070	0.000000	38.29	36.59	0.00	51
GIS	2011-09-20	0.688303	1.452850e+5	37.910	36.210	37.910	34.950	36.890	37.900	36.210	37.910	0.760	0.000000	38.25	36.21	0.00	52
GIS	2011-09-19	0.684530	1.460860e+5	37.910	35.810	37.910	34.950	36.890	37.900	35.810	37.910	0.750	0.000000	38.25	35.81	0.00	53
