#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
GPS	2011-12-01	0.589345	1.696800e+5	20.330	17.620	20.330	15.930	17.620	19.480	17.620	20.330	0.430	0.000000	20.62	17.62	0.00	1
GPS	2011-11-30	0.597732	1.672990e+5	20.330	17.620	20.330	15.930	17.620	20.150	17.620	20.330	0.790	0.000000	20.63	17.62	0.00	2
GPS	2011-11-29	0.587612	1.701800e+5	20.330	17.620	20.330	15.930	17.620	20.170	17.620	20.330	0.480	0.000000	20.62	17.62	0.00	3
GPS	2011-11-28	0.593276	1.685560e+5	20.330	17.620	20.330	15.930	17.620	20.330	17.620	20.330	0.620	0.000000	20.63	17.62	0.00	4
GPS	2011-11-25	0.591870	1.689560e+5	20.330	17.800	20.330	15.930	17.800	20.330	17.800	20.330	0.330	0.000000	20.63	17.80	0.00	5
GPS	2011-11-23	0.605652	1.651110e+5	20.330	18.130	20.330	15.930	18.130	20.330	18.130	20.330	0.330	0.000000	20.63	18.13	0.00	6
GPS	2011-11-22	0.620160	1.612490e+5	20.330	18.490	20.330	15.690	18.490	20.330	18.490	20.330	0.450	0.000000	20.64	18.49	0.00	7
GPS	2011-11-21	0.629116	1.589530e+5	20.330	18.570	20.330	15.600	18.760	20.330	18.570	20.330	0.700	0.000000	20.64	18.57	0.00	8
GPS	2011-11-18	0.625385	1.599010e+5	20.330	18.570	20.330	15.600	19.250	20.330	18.570	20.330	1.090	0.000000	20.64	18.57	0.00	9
GPS	2011-11-17	0.600932	1.664080e+5	20.330	18.260	20.330	15.600	19.460	20.330	18.260	20.330	0.690	0.000000	20.63	18.26	0.00	10
GPS	2011-11-16	0.596244	1.677170e+5	20.330	18.020	20.330	15.600	18.950	20.330	18.020	20.330	0.670	0.000000	20.63	18.02	0.00	11
GPS	2011-11-15	0.592362	1.688160e+5	20.330	17.830	20.330	15.600	18.570	20.330	17.830	20.330	0.310	0.000000	20.63	17.83	0.00	12
GPS	2011-11-14	0.607223	1.646840e+5	20.330	17.250	20.330	15.600	18.570	20.330	17.250	20.330	0.340	0.000000	20.63	17.25	0.00	13
GPS	2011-11-11	0.621288	1.609560e+5	19.990	17.250	19.990	15.600	18.570	19.990	17.250	19.990	0.730	0.000000	20.30	17.25	0.00	14
GPS	2011-11-10	0.615566	1.624520e+5	19.990	17.250	19.990	15.600	18.570	19.990	17.250	19.990	0.420	0.000000	20.30	17.25	0.00	15
GPS	2011-11-09	0.625859	1.597800e+5	19.990	17.250	19.990	15.600	18.570	19.990	17.250	19.990	0.590	0.000000	20.30	17.25	0.00	16
GPS	2011-11-08	0.627746	1.593000e+5	19.900	17.250	19.900	15.600	18.570	19.900	17.250	19.900	0.570	0.000000	20.21	17.25	0.00	17
GPS	2011-11-07	0.630786	1.585320e+5	19.710	17.250	19.710	15.600	18.570	19.710	17.250	19.710	0.690	0.000000	20.03	17.25	0.00	18
GPS	2011-11-04	0.627669	1.593200e+5	19.710	17.250	19.710	15.520	18.570	19.710	17.250	19.710	0.520	0.000000	20.02	17.25	0.00	19
GPS	2011-11-03	0.633336	1.578940e+5	19.430	17.250	19.430	15.520	18.260	19.430	17.250	19.430	0.880	0.000000	19.75	17.25	0.00	20
GPS	2011-11-02	0.620354	1.611980e+5	19.430	16.920	19.430	15.520	18.020	19.430	16.920	19.430	0.810	0.000000	19.74	16.92	0.00	21
GPS	2011-11-01	0.610372	1.638340e+5	19.430	16.730	19.430	15.520	17.830	19.430	16.730	19.430	0.690	0.000000	19.74	16.73	0.00	22
GPS	2011-10-31	0.606181	1.649670e+5	19.430	15.930	19.430	15.520	17.250	19.430	15.930	19.430	0.430	0.000000	19.73	15.93	0.00	23
GPS	2011-10-28	0.615454	1.624820e+5	19.430	15.930	19.430	15.520	17.250	19.430	15.930	19.430	0.460	0.000000	19.74	15.93	0.00	24
GPS	2011-10-27	0.623636	1.603500e+5	18.990	15.930	18.990	15.520	17.250	18.990	15.930	18.990	0.990	0.000000	19.30	15.93	0.00	25
GPS	2011-10-26	0.604353	1.654660e+5	18.990	15.930	18.990	15.520	17.250	18.990	15.930	18.990	0.710	0.000000	19.29	15.93	0.00	26
GPS	2011-10-25	0.598793	1.670030e+5	18.990	15.930	18.990	15.520	17.250	18.990	15.930	18.990	0.410	0.000000	19.29	15.93	0.00	27
GPS	2011-10-24	0.608729	1.642770e+5	18.710	15.930	18.710	15.520	17.250	18.710	15.930	18.710	0.490	0.000000	19.01	15.93	0.00	28
GPS	2011-10-21	0.614978	1.626070e+5	18.260	15.930	18.260	15.520	17.250	18.260	15.930	18.260	0.470	0.000000	18.57	15.93	0.00	29
GPS	2011-10-20	0.622609	1.606140e+5	18.020	15.930	19.210	15.520	17.250	18.020	15.930	18.020	0.550	0.000000	18.33	15.93	0.00	30
GPS	2011-10-19	0.626430	1.596350e+5	17.940	15.930	19.210	15.520	16.920	17.940	15.930	17.940	0.440	0.000000	18.25	15.93	0.00	31
GPS	2011-10-18	0.636242	1.571730e+5	17.940	15.930	19.330	15.520	16.730	17.940	15.930	17.940	0.950	0.000000	18.26	15.93	0.00	32
GPS	2011-10-17	0.619729	1.613610e+5	17.940	15.930	19.330	15.520	15.930	17.940	15.930	17.940	0.690	0.000000	18.25	15.93	0.00	33
GPS	2011-10-14	0.616030	1.623300e+5	17.940	15.930	19.520	15.520	15.930	17.940	15.930	17.940	0.710	0.000000	18.25	15.93	0.00	34
GPS	2011-10-13	0.611085	1.636430e+5	17.940	15.930	19.520	15.520	15.930	17.940	15.930	17.940	0.400	0.000000	18.25	15.93	0.00	35
GPS	2011-10-12	0.622194	1.607220e+5	17.940	15.930	19.580	15.520	15.930	17.940	15.930	17.940	0.620	0.000000	18.25	15.93	0.00	36
GPS	2011-10-11	0.622310	1.606920e+5	17.940	15.930	19.580	15.520	15.930	17.940	15.930	17.940	0.500	0.000000	18.25	15.93	0.00	37
GPS	2011-10-10	0.628747	1.590460e+5	17.300	15.930	19.660	15.520	15.930	17.300	15.930	17.300	0.650	0.000000	17.61	15.93	0.00	38
GPS	2011-10-07	0.627629	1.593300e+5	17.260	15.930	19.660	15.520	15.930	17.260	15.930	17.260	0.580	0.000000	17.57	15.93	0.00	39
GPS	2011-10-06	0.630135	1.586960e+5	17.230	15.930	19.660	15.520	15.930	17.230	15.930	17.230	0.850	0.000000	17.55	15.93	0.00	40
GPS	2011-10-05	0.618564	1.616650e+5	17.230	15.930	19.660	15.520	15.930	17.230	15.930	17.230	0.470	0.000000	17.54	15.93	0.00	41
GPS	2011-10-04	0.626383	1.596470e+5	17.230	15.690	19.660	15.520	15.930	17.230	15.690	17.230	1.040	0.000000	17.54	15.69	0.00	42
GPS	2011-10-03	0.604613	1.653950e+5	17.230	15.600	19.660	15.520	16.000	17.230	15.600	17.230	0.480	0.000000	17.53	15.60	0.00	43
GPS	2011-09-30	0.611172	1.636200e+5	17.230	15.600	19.660	15.520	16.000	17.230	15.600	17.230	0.640	0.000000	17.54	15.60	0.00	44
GPS	2011-09-29	0.609655	1.640270e+5	17.230	15.600	19.660	15.520	16.000	17.230	15.600	17.230	0.950	0.000000	17.53	15.60	0.00	45
GPS	2011-09-28	0.591742	1.689930e+5	17.230	15.600	19.660	15.520	16.000	17.230	15.600	17.230	0.660	0.000000	17.53	15.60	0.00	46
GPS	2011-09-27	0.588149	1.700250e+5	17.210	15.600	19.660	15.520	16.000	17.210	15.600	17.210	0.490	0.000000	17.50	15.60	0.00	47
GPS	2011-09-26	0.593315	1.685450e+5	17.180	15.600	19.660	15.520	16.000	17.180	15.600	17.180	0.950	0.000000	17.48	15.60	0.00	48
