#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
GRZ	2011-12-02	0.166497	6.006110e+5	3.050	2.730	3.050	2.020	2.730	2.910	2.730	3.050	0.110	0.000000	3.13	2.73	0.00	1
GRZ	2011-12-01	0.169471	5.900720e+5	3.050	2.730	3.050	2.020	2.730	3.050	2.730	3.050	0.100	0.000000	3.13	2.73	0.00	2
GRZ	2011-11-30	0.173127	5.776100e+5	3.050	2.690	3.050	2.020	2.730	3.050	2.690	3.050	0.070	0.000000	3.14	2.69	0.00	3
GRZ	2011-11-29	0.178555	5.600520e+5	3.050	2.690	3.050	2.020	2.730	3.050	2.690	3.050	0.120	0.000000	3.14	2.69	0.00	4
GRZ	2011-11-28	0.181637	5.505500e+5	3.050	2.690	3.050	2.020	2.730	3.050	2.690	3.050	0.140	0.000000	3.14	2.69	0.00	5
GRZ	2011-11-25	0.183828	5.439870e+5	3.050	2.690	3.100	2.020	2.730	3.050	2.690	3.050	0.090	0.000000	3.14	2.69	0.00	6
GRZ	2011-11-23	0.188766	5.297550e+5	3.050	2.540	3.100	2.020	2.730	3.050	2.540	3.050	0.150	0.000000	3.14	2.54	0.00	7
GRZ	2011-11-22	0.190807	5.240910e+5	3.050	2.430	3.100	2.020	2.730	3.050	2.430	3.050	0.100	0.000000	3.15	2.43	0.00	8
GRZ	2011-11-21	0.195586	5.112840e+5	3.050	2.430	3.100	2.020	2.730	3.050	2.430	3.050	0.150	0.000000	3.15	2.43	0.00	9
GRZ	2011-11-18	0.197985	5.050880e+5	3.050	2.020	3.100	2.020	2.730	3.050	2.020	3.050	0.200	0.000000	3.15	2.02	0.00	10
GRZ	2011-11-17	0.197879	5.053590e+5	3.050	2.020	3.140	2.020	2.820	3.050	2.020	3.050	0.320	0.000000	3.15	2.02	0.00	11
GRZ	2011-11-16	0.191452	5.223250e+5	3.050	2.020	3.140	2.020	2.770	3.050	2.020	3.050	0.250	0.000000	3.15	2.02	0.00	12
GRZ	2011-11-15	0.188370	5.308690e+5	3.050	2.020	3.140	2.020	2.690	3.050	2.020	3.050	0.330	0.000000	3.14	2.02	0.00	13
GRZ	2011-11-14	0.180916	5.527420e+5	3.050	2.020	3.140	2.020	2.690	3.050	2.020	3.050	0.200	0.000000	3.14	2.02	0.00	14
GRZ	2011-11-11	0.179912	5.558280e+5	3.050	2.020	3.140	2.020	2.690	3.050	2.020	3.050	0.130	0.000000	3.14	2.02	0.00	15
GRZ	2011-11-10	0.182539	5.478290e+5	3.050	2.020	3.140	2.020	2.690	3.050	2.020	3.050	0.140	0.000000	3.14	2.02	0.00	16
GRZ	2011-11-09	0.184778	5.411910e+5	3.050	2.020	3.140	2.020	2.540	3.050	2.020	3.050	0.300	0.000000	3.14	2.02	0.00	17
GRZ	2011-11-08	0.178713	5.595560e+5	2.890	2.020	3.140	2.020	2.430	2.890	2.020	2.890	0.210	0.000000	2.98	2.02	0.00	18
GRZ	2011-11-07	0.177067	5.647590e+5	2.890	2.020	3.140	2.020	2.430	2.890	2.020	2.890	0.140	0.000000	2.98	2.02	0.00	19
GRZ	2011-11-04	0.179017	5.586050e+5	2.890	2.020	3.140	2.020	2.020	2.890	2.020	2.890	0.200	0.000000	2.98	2.02	0.00	20
GRZ	2011-11-03	0.177913	5.620720e+5	2.770	2.020	3.140	2.020	2.020	2.770	2.020	2.770	0.220	0.000000	2.86	2.02	0.00	21
GRZ	2011-11-02	0.175698	5.691580e+5	2.770	2.020	3.140	2.020	2.020	2.770	2.020	2.770	0.190	0.000000	2.86	2.02	0.00	22
GRZ	2011-11-01	0.174945	5.716070e+5	2.770	2.020	3.140	2.020	2.020	2.770	2.020	2.770	0.150	0.000000	2.86	2.02	0.00	23
GRZ	2011-10-31	0.176258	5.673500e+5	2.750	2.020	3.140	2.020	2.020	2.750	2.020	2.750	0.130	0.000000	2.84	2.02	0.00	24
GRZ	2011-10-28	0.178693	5.596200e+5	2.740	2.020	3.140	2.020	2.020	2.740	2.020	2.740	0.180	0.000000	2.83	2.02	0.00	25
GRZ	2011-10-27	0.178624	5.598350e+5	2.540	2.020	3.140	2.020	2.020	2.540	2.020	2.540	0.220	0.000000	2.63	2.02	0.00	26
GRZ	2011-10-26	0.176446	5.667450e+5	2.480	2.020	3.140	2.020	2.020	2.480	2.020	2.480	0.150	0.000000	2.57	2.02	0.00	27
GRZ	2011-10-25	0.177838	5.623090e+5	2.480	2.020	3.140	2.020	2.020	2.480	2.020	2.480	0.120	0.000000	2.57	2.02	0.00	28
GRZ	2011-10-24	0.180882	5.528460e+5	2.480	2.020	3.140	2.020	2.020	2.480	2.020	2.480	0.530	0.000000	2.57	2.02	0.00	29
GRZ	2011-10-21	0.162508	6.153550e+5	2.500	2.230	3.140	2.100	2.400	2.480	2.230	2.500	0.410	0.000000	2.58	2.23	0.00	30
GRZ	2011-10-20	0.149482	6.689780e+5	2.500	2.230	3.140	2.100	2.340	2.480	2.230	2.500	0.100	0.000000	2.57	2.23	0.00	31
GRZ	2011-10-19	0.152086	6.575220e+5	2.550	2.230	3.140	2.100	2.250	2.480	2.230	2.550	0.060	0.000000	2.63	2.23	0.00	32
GRZ	2011-10-18	0.156933	6.372150e+5	2.740	2.230	3.140	2.100	2.230	2.480	2.230	2.740	0.070	0.000000	2.82	2.23	0.00	33
GRZ	2011-10-17	0.161508	6.191640e+5	2.840	2.230	3.140	2.100	2.230	2.480	2.230	2.840	0.130	0.000000	2.92	2.23	0.00	34
GRZ	2011-10-14	0.163167	6.128710e+5	2.850	2.230	3.140	2.100	2.230	2.480	2.230	2.850	0.080	0.000000	2.93	2.23	0.00	35
GRZ	2011-10-13	0.167544	5.968590e+5	2.860	2.230	3.140	2.100	2.230	2.480	2.230	2.860	0.140	0.000000	2.94	2.23	0.00	36
GRZ	2011-10-12	0.168993	5.917390e+5	2.880	2.230	3.140	2.100	2.230	2.440	2.230	2.880	0.140	0.000000	2.96	2.23	0.00	37
GRZ	2011-10-11	0.170519	5.864440e+5	2.920	2.230	3.140	2.100	2.230	2.460	2.230	2.920	0.090	0.000000	3.01	2.23	0.00	38
GRZ	2011-10-10	0.174757	5.722220e+5	2.970	2.230	3.140	2.100	2.230	2.460	2.230	2.970	0.180	0.000000	3.06	2.23	0.00	39
GRZ	2011-10-07	0.174481	5.731270e+5	2.980	2.230	3.140	2.100	2.230	2.500	2.230	2.980	0.200	0.000000	3.07	2.23	0.00	40
GRZ	2011-10-06	0.173138	5.775730e+5	3.100	2.230	3.140	2.100	2.230	2.500	2.230	3.100	0.130	0.000000	3.19	2.23	0.00	41
GRZ	2011-10-05	0.175409	5.700970e+5	3.100	2.230	3.140	2.100	2.230	2.550	2.230	3.100	0.210	0.000000	3.19	2.23	0.00	42
GRZ	2011-10-04	0.173588	5.760770e+5	3.100	2.280	3.140	2.100	2.280	2.740	2.280	3.100	0.080	0.000000	3.19	2.28	0.00	43
GRZ	2011-10-03	0.178514	5.601810e+5	3.100	2.330	3.140	2.100	2.330	2.840	2.330	3.100	0.150	0.000000	3.19	2.33	0.00	44
GRZ	2011-09-30	0.180014	5.555110e+5	3.100	2.330	3.140	2.100	2.330	2.850	2.330	3.100	0.130	0.000000	3.19	2.33	0.00	45
GRZ	2011-09-29	0.182647	5.475050e+5	3.140	2.330	3.140	2.100	2.330	2.860	2.330	3.140	0.160	0.000000	3.23	2.33	0.00	46
GRZ	2011-09-28	0.183839	5.439550e+5	3.140	2.330	3.140	2.100	2.330	2.880	2.330	3.140	0.190	0.000000	3.23	2.33	0.00	47
GRZ	2011-09-27	0.183514	5.449160e+5	3.140	2.330	3.140	2.100	2.330	2.920	2.330	3.140	0.130	0.000000	3.23	2.33	0.00	48
GRZ	2011-09-26	0.186331	5.366790e+5	3.140	2.500	3.140	2.100	2.500	2.970	2.500	3.140	0.220	0.000000	3.23	2.50	0.00	49
GRZ	2011-09-23	0.184559	5.418320e+5	3.140	2.500	3.140	2.100	2.500	2.980	2.500	3.140	0.150	0.000000	3.23	2.50	0.00	50
GRZ	2011-09-22	0.186378	5.365450e+5	3.140	2.550	3.140	2.100	2.550	3.100	2.550	3.140	0.310	0.000000	3.23	2.55	0.00	51
GRZ	2011-09-21	0.179871	5.559530e+5	3.140	2.650	3.140	2.100	2.740	3.100	2.650	3.140	0.240	0.000000	3.23	2.65	0.00	52
GRZ	2011-09-20	0.176707	5.659090e+5	3.140	2.640	3.140	2.100	2.840	3.100	2.640	3.140	0.210	0.000000	3.23	2.64	0.00	53
GRZ	2011-09-19	0.174954	5.715770e+5	3.140	2.530	3.140	2.100	2.850	3.100	2.530	3.140	0.160	0.000000	3.23	2.53	0.00	54
