#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HBNC	2011-12-01	0.407024	2.456860e+5	25.750	24.350	26.680	24.350	24.350	25.750	24.350	25.750	0.740	0.000000	25.95	24.35	0.00	1
HBNC	2011-11-30	0.389499	2.567400e+5	25.750	24.350	26.680	24.350	24.350	25.750	24.350	25.750	0.000	0.000000	25.94	24.35	0.00	2
HBNC	2011-11-29	0.409999	2.439030e+5	25.750	24.350	26.680	24.350	24.350	25.750	24.350	25.750	1.000	0.000000	25.95	24.35	0.00	3
HBNC	2011-11-28	0.378946	2.638900e+5	25.370	24.350	26.750	24.350	24.350	25.000	24.350	25.370	0.870	0.000000	25.56	24.35	0.00	4
HBNC	2011-11-25	0.353101	2.832050e+5	25.370	24.350	26.760	24.350	24.350	25.000	24.350	25.370	0.000	0.000000	25.55	24.35	0.00	5
HBNC	2011-11-23	0.371685	2.690450e+5	25.370	24.350	26.760	24.350	24.350	25.000	24.350	25.370	0.120	0.000000	25.56	24.35	0.00	6
HBNC	2011-11-22	0.384932	2.597860e+5	25.370	24.350	26.800	24.350	24.350	25.000	24.350	25.370	0.000	0.000000	25.56	24.35	0.00	7
HBNC	2011-11-21	0.405192	2.467970e+5	25.370	24.350	27.400	24.350	24.350	24.770	24.350	25.370	0.500	0.000000	25.57	24.35	0.00	8
HBNC	2011-11-18	0.400202	2.498740e+5	25.370	24.350	27.400	24.350	24.350	24.770	24.350	25.370	0.310	0.000000	25.57	24.35	0.00	9
HBNC	2011-11-17	0.404949	2.469450e+5	25.370	24.350	27.400	24.350	24.350	24.770	24.350	25.370	0.000	0.000000	25.57	24.35	0.00	10
HBNC	2011-11-16	0.426262	2.345970e+5	25.950	24.400	27.400	24.400	24.400	24.770	24.400	25.950	0.420	0.000000	26.16	24.40	0.00	11
HBNC	2011-11-15	0.426592	2.344160e+5	25.950	24.400	27.400	24.400	24.400	24.990	24.400	25.950	0.000	0.000000	26.16	24.40	0.00	12
HBNC	2011-11-14	0.449044	2.226950e+5	25.950	24.400	27.400	24.400	24.400	25.370	24.400	25.950	0.290	0.000000	26.17	24.40	0.00	13
HBNC	2011-11-11	0.457415	2.186200e+5	25.950	24.400	27.400	24.400	24.400	25.370	24.400	25.950	0.280	0.000000	26.18	24.40	0.00	14
HBNC	2011-11-10	0.466752	2.142460e+5	25.950	24.400	27.650	24.400	24.400	25.370	24.400	25.950	0.100	0.000000	26.18	24.40	0.00	15
HBNC	2011-11-09	0.486055	2.057380e+5	25.950	24.400	27.650	24.400	24.400	25.370	24.400	25.950	0.250	0.000000	26.19	24.40	0.00	16
HBNC	2011-11-08	0.498479	2.006100e+5	25.990	24.400	27.650	24.400	24.400	25.370	24.400	25.990	0.000	0.000000	26.24	24.40	0.00	17
HBNC	2011-11-07	0.524715	1.905800e+5	25.990	24.470	27.650	24.470	24.470	25.370	24.470	25.990	0.430	0.000000	26.25	24.47	0.00	18
HBNC	2011-11-04	0.529700	1.887860e+5	25.990	24.560	27.650	24.560	24.560	25.370	24.560	25.990	0.160	0.000000	26.25	24.56	0.00	19
HBNC	2011-11-03	0.549158	1.820970e+5	25.990	24.580	27.650	24.580	24.620	25.370	24.580	25.990	0.190	0.000000	26.26	24.58	0.00	20
HBNC	2011-11-02	0.568061	1.760380e+5	25.990	24.580	28.350	24.580	24.620	25.950	24.580	25.990	0.240	0.000000	26.27	24.58	0.00	21
HBNC	2011-11-01	0.585327	1.708450e+5	25.990	24.580	28.350	24.580	24.620	25.950	24.580	25.990	1.010	0.000000	26.28	24.58	0.00	22
HBNC	2011-10-31	0.562976	1.776270e+5	25.990	24.580	28.350	24.580	24.620	25.950	24.580	25.990	0.750	0.000000	26.27	24.58	0.00	23
HBNC	2011-10-28	0.553133	1.807880e+5	26.500	24.580	28.350	24.580	24.620	25.950	24.580	26.500	0.840	0.000000	26.78	24.58	0.00	24
HBNC	2011-10-27	0.538034	1.858620e+5	26.500	24.580	28.350	24.580	24.580	25.950	24.580	26.500	0.700	0.000000	26.77	24.58	0.00	25
HBNC	2011-10-26	0.529510	1.888540e+5	26.500	24.580	28.350	24.580	24.580	25.950	24.580	26.500	0.670	0.000000	26.76	24.58	0.00	26
HBNC	2011-10-25	0.522116	1.915280e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	0.740	0.000000	26.76	24.58	0.00	27
HBNC	2011-10-24	0.510648	1.958300e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	0.210	0.000000	26.76	24.58	0.00	28
HBNC	2011-10-21	0.526472	1.899440e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	0.080	0.000000	26.76	24.58	0.00	29
HBNC	2011-10-20	0.549970	1.818280e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	1.050	0.000000	26.77	24.58	0.00	30
HBNC	2011-10-19	0.523653	1.909660e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	0.650	0.000000	26.76	24.58	0.00	31
HBNC	2011-10-18	0.517003	1.934230e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	0.950	0.000000	26.76	24.58	0.00	32
HBNC	2011-10-17	0.494213	2.023420e+5	26.500	24.580	28.350	24.580	24.580	25.990	24.580	26.500	0.440	0.000000	26.75	24.58	0.00	33
HBNC	2011-10-14	0.497067	2.011800e+5	26.680	24.580	28.350	24.580	24.580	26.500	24.580	26.680	1.160	0.000000	26.93	24.58	0.00	34
HBNC	2011-10-13	0.462176	2.163680e+5	26.680	25.110	28.350	25.110	25.110	26.500	25.110	26.680	0.890	0.000000	26.91	25.11	0.00	35
HBNC	2011-10-12	0.439659	2.274490e+5	26.680	25.110	28.350	25.110	25.110	26.500	25.110	26.680	1.740	0.000000	26.90	25.11	0.00	36
HBNC	2011-10-11	0.371220	2.693820e+5	26.680	25.110	28.350	25.110	25.110	26.500	25.110	26.680	0.890	0.000000	26.87	25.11	0.00	37
HBNC	2011-10-10	0.343915	2.907690e+5	26.680	25.110	28.350	25.110	25.110	26.500	25.110	26.680	0.000	0.000000	26.85	25.11	0.00	38
HBNC	2011-10-07	0.362016	2.762310e+5	26.750	25.110	28.350	25.110	25.110	26.500	25.110	26.750	0.000	0.000000	26.93	25.11	0.00	39
HBNC	2011-10-06	0.381070	2.624190e+5	26.760	25.110	28.350	25.110	25.110	26.500	25.110	26.760	0.000	0.000000	26.95	25.11	0.00	40
HBNC	2011-10-05	0.401126	2.492980e+5	26.760	25.110	28.350	25.110	25.110	26.500	25.110	26.760	0.000	0.000000	26.96	25.11	0.00	41
HBNC	2011-10-04	0.422238	2.368330e+5	26.800	25.110	28.350	25.110	25.110	26.500	25.110	26.800	0.000	0.000000	27.01	25.11	0.00	42
HBNC	2011-10-03	0.444461	2.249920e+5	27.400	26.000	28.350	25.970	26.000	26.500	26.000	27.400	1.470	0.000000	27.62	26.00	0.00	43
HBNC	2011-09-30	0.390485	2.560920e+5	27.400	26.000	28.350	25.970	26.000	26.680	26.000	27.400	0.500	0.000000	27.60	26.00	0.00	44
HBNC	2011-09-29	0.384721	2.599290e+5	27.400	26.000	28.350	25.970	26.000	26.680	26.000	27.400	0.000	0.000000	27.59	26.00	0.00	45
HBNC	2011-09-28	0.404970	2.469320e+5	27.400	26.000	28.350	25.970	26.000	26.680	26.000	27.400	0.000	0.000000	27.60	26.00	0.00	46
HBNC	2011-09-27	0.426284	2.345860e+5	27.400	26.000	28.350	25.970	26.000	26.680	26.000	27.400	0.000	0.000000	27.61	26.00	0.00	47
HBNC	2011-09-26	0.448720	2.228560e+5	27.400	26.030	28.350	25.970	26.030	26.680	26.030	27.400	0.030	0.000000	27.62	26.03	0.00	48
HBNC	2011-09-23	0.470758	2.124240e+5	27.400	26.030	28.350	25.970	26.030	26.750	26.030	27.400	0.000	0.000000	27.64	26.03	0.00	49
HBNC	2011-09-22	0.495534	2.018020e+5	27.650	26.070	28.350	25.970	26.070	26.760	26.070	27.650	0.070	0.000000	27.90	26.07	0.00	50
HBNC	2011-09-21	0.517931	1.930760e+5	27.650	26.260	28.350	25.970	26.260	26.760	26.260	27.650	0.210	0.000000	27.91	26.26	0.00	51
HBNC	2011-09-20	0.534138	1.872180e+5	27.650	26.260	28.350	25.970	26.260	26.800	26.260	27.650	0.250	0.000000	27.92	26.26	0.00	52
HBNC	2011-09-19	0.549092	1.821190e+5	27.650	26.260	28.350	25.970	26.260	27.400	26.260	27.650	0.230	0.000000	27.92	26.26	0.00	53
