#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HCBK	2011-12-01	0.246798	4.051890e+5	5.910	5.090	6.290	5.090	5.090	5.630	5.090	5.910	0.260	0.000000	6.03	5.09	0.00	1
HCBK	2011-11-30	0.246103	4.063330e+5	5.910	5.090	6.290	5.090	5.090	5.680	5.090	5.910	0.450	0.000000	6.03	5.09	0.00	2
HCBK	2011-11-29	0.235372	4.248600e+5	6.250	5.090	6.290	5.090	5.090	5.680	5.090	6.250	0.110	0.000000	6.37	5.09	0.00	3
HCBK	2011-11-28	0.241970	4.132740e+5	6.290	5.090	6.290	5.090	5.090	5.750	5.090	6.290	0.210	0.000000	6.41	5.09	0.00	4
HCBK	2011-11-25	0.243653	4.104200e+5	6.290	5.090	6.290	5.090	5.090	5.750	5.090	6.290	0.160	0.000000	6.41	5.09	0.00	5
HCBK	2011-11-23	0.248056	4.031350e+5	6.290	5.280	6.290	5.280	5.280	5.750	5.280	6.290	0.190	0.000000	6.41	5.28	0.00	6
HCBK	2011-11-22	0.251111	3.982300e+5	6.290	5.350	6.290	5.310	5.350	5.910	5.350	6.290	0.190	0.000000	6.42	5.35	0.00	7
HCBK	2011-11-21	0.254328	3.931930e+5	6.290	5.480	6.290	5.310	5.480	5.910	5.480	6.290	0.220	0.000000	6.42	5.48	0.00	8
HCBK	2011-11-18	0.256135	3.904200e+5	6.290	5.510	6.290	5.310	5.510	5.910	5.510	6.290	0.150	0.000000	6.42	5.51	0.00	9
HCBK	2011-11-17	0.261721	3.820870e+5	6.290	5.600	6.290	5.310	5.600	5.910	5.600	6.290	0.230	0.000000	6.42	5.60	0.00	10
HCBK	2011-11-16	0.263390	3.796650e+5	6.290	5.600	6.290	5.310	5.600	5.910	5.600	6.290	0.170	0.000000	6.42	5.60	0.00	11
