#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HCG	2011-12-01	1.193470	8.378900e+4	49.500	45.470	49.500	40.980	45.470	49.500	45.470	49.500	1.460	0.000000	50.10	45.47	0.00	1
HCG	2011-11-30	1.179450	8.478560e+4	48.980	44.690	48.980	40.980	45.470	48.980	44.690	48.980	2.770	0.000000	49.57	44.69	0.00	2
HCG	2011-11-29	1.095730	9.126320e+4	48.980	44.690	48.980	40.980	45.470	48.980	44.690	48.980	1.220	0.000000	49.53	44.69	0.00	3
HCG	2011-11-28	1.089190	9.181120e+4	48.980	44.690	48.980	40.980	45.470	48.980	44.690	48.980	1.240	0.000000	49.52	44.69	0.00	4
HCG	2011-11-25	1.081250	9.248510e+4	48.980	44.690	48.980	40.980	45.470	48.980	44.690	48.980	1.030	0.000000	49.52	44.69	0.00	5
HCG	2011-11-24	1.083950	9.225500e+4	48.980	44.690	48.980	40.980	45.630	48.980	44.690	48.980	0.370	0.000000	49.52	44.69	0.00	6
HCG	2011-11-23	1.121530	8.916400e+4	48.980	44.690	48.980	40.980	46.560	48.980	44.690	48.980	1.220	0.000000	49.54	44.69	0.00	7
HCG	2011-11-22	1.116350	8.957800e+4	48.980	44.600	48.980	40.980	47.600	48.980	44.600	48.980	1.360	0.000000	49.54	44.60	0.00	8
HCG	2011-11-21	1.103520	9.061890e+4	48.980	44.600	48.980	40.980	46.940	48.980	44.600	48.980	1.620	0.000000	49.53	44.60	0.00	9
HCG	2011-11-18	1.076340	9.290750e+4	48.980	44.060	49.090	40.980	46.860	48.980	44.060	48.980	0.360	0.000000	49.52	44.06	0.00	10
HCG	2011-11-17	1.114040	8.976330e+4	48.980	44.060	49.420	40.980	46.860	48.980	44.060	48.980	0.520	0.000000	49.54	44.06	0.00	11
HCG	2011-11-16	1.145310	8.731290e+4	48.860	44.060	49.750	40.980	44.690	48.860	44.060	48.860	0.700	0.000000	49.43	44.06	0.00	12
HCG	2011-11-15	1.168740	8.556200e+4	48.630	44.060	49.750	40.980	44.690	48.630	44.060	48.630	0.420	0.000000	49.21	44.06	0.00	13
HCG	2011-11-14	1.208150	8.277110e+4	48.630	44.060	49.750	40.980	44.690	48.630	44.060	48.630	0.590	0.000000	49.23	44.06	0.00	14
HCG	2011-11-11	1.240690	8.060060e+4	48.050	44.060	49.750	40.980	44.690	48.050	44.060	48.050	0.750	0.000000	48.67	44.06	0.00	15
HCG	2011-11-10	1.266510	7.895710e+4	48.050	44.060	49.750	40.980	44.690	48.050	44.060	48.050	0.380	0.000000	48.68	44.06	0.00	16
HCG	2011-11-09	1.313170	7.615160e+4	48.050	44.060	49.750	40.980	44.690	48.050	44.060	48.050	0.730	0.000000	48.71	44.06	0.00	17
HCG	2011-11-08	1.343860	7.441240e+4	47.140	44.060	49.750	40.980	44.600	47.140	44.060	47.140	1.330	0.000000	47.81	44.06	0.00	18
HCG	2011-11-07	1.344590	7.437200e+4	47.140	43.700	49.750	40.980	44.600	47.140	43.700	47.140	0.270	0.000000	47.81	43.70	0.00	19
HCG	2011-11-04	1.401150	7.137000e+4	47.140	43.000	49.750	40.980	44.060	47.140	43.000	47.140	1.170	0.000000	47.84	43.00	0.00	20
HCG	2011-11-03	1.413320	7.075560e+4	46.150	42.200	49.750	40.980	44.060	46.150	42.200	46.150	2.690	0.000000	46.86	42.20	0.00	21
HCG	2011-11-02	1.346120	7.428750e+4	46.150	40.980	49.750	40.980	44.060	46.150	40.980	46.150	0.740	0.000000	46.82	40.98	0.00	22
HCG	2011-11-01	1.378020	7.256770e+4	46.150	40.980	49.900	40.980	44.060	46.150	40.980	46.150	1.860	0.000000	46.84	40.98	0.00	23
HCG	2011-10-31	1.352660	7.392870e+4	46.150	40.980	49.900	40.980	44.060	46.150	40.980	46.150	1.170	0.000000	46.83	40.98	0.00	24
HCG	2011-10-28	1.362270	7.340690e+4	46.150	40.980	49.900	40.980	44.060	46.150	40.980	46.150	1.500	0.000000	46.83	40.98	0.00	25
HCG	2011-10-27	1.355020	7.379960e+4	45.780	40.980	49.900	40.980	44.060	45.500	40.980	45.780	2.020	0.000000	46.46	40.98	0.00	26
HCG	2011-10-26	1.320020	7.575640e+4	45.780	40.980	49.900	40.980	44.060	45.780	40.980	45.780	0.910	0.000000	46.44	40.98	0.00	27
HCG	2011-10-25	1.341600	7.453780e+4	45.780	40.980	49.900	40.980	44.060	45.780	40.980	45.780	0.840	0.000000	46.45	40.98	0.00	28
HCG	2011-10-24	1.368000	7.309940e+4	45.780	40.980	50.450	40.980	43.700	45.780	40.980	45.780	0.840	0.000000	46.46	40.98	0.00	29
HCG	2011-10-21	1.395790	7.164400e+4	45.780	40.980	50.450	40.980	43.000	45.780	40.980	45.780	1.440	0.000000	46.48	40.98	0.00	30
HCG	2011-10-20	1.393460	7.176360e+4	45.780	40.980	50.520	40.980	42.200	45.780	40.980	45.780	0.900	0.000000	46.48	40.98	0.00	31
HCG	2011-10-19	1.419440	7.045050e+4	45.780	40.980	51.510	40.980	40.980	45.780	40.980	45.780	0.990	0.000000	46.49	40.98	0.00	32
HCG	2011-10-18	1.442040	6.934630e+4	45.820	40.980	51.550	40.980	40.980	45.780	40.980	45.820	1.250	0.000000	46.54	40.98	0.00	33
HCG	2011-10-17	1.452140	6.886370e+4	46.420	40.980	51.550	40.980	40.980	45.780	40.980	46.420	0.880	0.000000	47.15	40.98	0.00	34
HCG	2011-10-14	1.482260	6.746470e+4	47.350	40.980	51.820	40.980	40.980	45.780	40.980	47.350	0.500	0.000000	48.09	40.98	0.00	35
HCG	2011-10-13	1.533960	6.519090e+4	47.350	40.980	52.100	40.980	40.980	45.780	40.980	47.350	1.620	0.000000	48.12	40.98	0.00	36
HCG	2011-10-12	1.529430	6.538400e+4	47.350	40.980	52.310	40.980	40.980	45.000	40.980	47.350	1.740	0.000000	48.11	40.98	0.00	37
HCG	2011-10-11	1.518340	6.586120e+4	47.350	40.980	52.310	40.980	40.980	44.970	40.980	47.350	1.500	0.000000	48.11	40.98	0.00	38
HCG	2011-10-07	1.519310	6.581940e+4	47.350	40.980	52.310	40.980	40.980	44.970	40.980	47.350	2.200	0.000000	48.11	40.98	0.00	39
