#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HD	2011-12-02	0.947958	1.054900e+5	39.340	36.390	39.340	31.590	36.470	39.340	36.390	39.340	1.120	0.000000	39.81	36.39	0.00	1
HD	2011-12-01	0.938903	1.065070e+5	39.220	35.990	39.220	31.590	36.470	39.220	35.990	39.220	0.770	0.000000	39.69	35.99	0.00	2
HD	2011-11-30	0.947793	1.055080e+5	38.960	35.540	38.960	31.590	36.470	38.960	35.540	38.960	1.200	0.000000	39.43	35.54	0.00	3
HD	2011-11-29	0.934519	1.070070e+5	38.250	35.540	38.250	31.590	36.470	38.250	35.540	38.250	1.840	0.000000	38.72	35.54	0.00	4
HD	2011-11-28	0.886862	1.127570e+5	38.250	35.540	38.250	31.590	36.470	38.250	35.540	38.250	1.250	0.000000	38.69	35.54	0.00	5
HD	2011-11-25	0.867749	1.152410e+5	38.250	35.540	38.250	31.590	36.520	38.250	35.540	38.250	0.540	0.000000	38.68	35.54	0.00	6
HD	2011-11-23	0.884999	1.129940e+5	38.250	35.540	38.250	31.590	37.060	38.250	35.540	38.250	0.630	0.000000	38.69	35.54	0.00	7
HD	2011-11-22	0.898420	1.113060e+5	38.250	35.540	38.250	31.590	37.060	38.250	35.540	38.250	0.690	0.000000	38.70	35.54	0.00	8
HD	2011-11-21	0.909390	1.099640e+5	38.250	35.540	38.250	31.590	37.160	38.250	35.540	38.250	1.190	0.000000	38.70	35.54	0.00	9
HD	2011-11-18	0.894621	1.117790e+5	38.250	35.540	38.250	31.590	36.390	38.250	35.540	38.250	0.660	0.000000	38.70	35.54	0.00	10
HD	2011-11-17	0.906969	1.102570e+5	38.250	35.540	38.250	31.590	36.390	38.250	35.540	38.250	0.850	0.000000	38.70	35.54	0.00	11
HD	2011-11-16	0.909968	1.098940e+5	38.250	35.400	38.250	31.590	35.990	38.250	35.400	38.250	1.170	0.000000	38.70	35.40	0.00	12
HD	2011-11-15	0.896282	1.115720e+5	38.250	35.400	38.250	31.590	35.540	38.250	35.400	38.250	0.890	0.000000	38.70	35.40	0.00	13
HD	2011-11-14	0.896612	1.115310e+5	38.060	34.650	38.060	31.590	35.540	38.060	34.650	38.060	0.590	0.000000	38.51	34.65	0.00	14
HD	2011-11-11	0.912750	1.095590e+5	37.940	34.650	37.940	31.590	35.540	37.940	34.650	37.940	1.180	0.000000	38.40	34.65	0.00	15
HD	2011-11-10	0.898684	1.112740e+5	37.940	34.410	37.940	31.590	35.540	37.940	34.410	37.940	0.490	0.000000	38.39	34.41	0.00	16
HD	2011-11-09	0.920194	1.086730e+5	37.940	34.410	37.940	31.590	35.540	37.940	34.410	37.940	0.910	0.000000	38.40	34.41	0.00	17
HD	2011-11-08	0.920730	1.086090e+5	37.340	34.410	37.340	31.590	35.540	37.340	34.410	37.340	0.720	0.000000	37.80	34.41	0.00	18
HD	2011-11-07	0.931295	1.073770e+5	37.220	34.410	37.220	31.590	35.540	37.220	34.410	37.220	1.030	0.000000	37.69	34.41	0.00	19
HD	2011-11-04	0.926100	1.079800e+5	37.220	33.920	37.220	31.590	35.540	37.220	33.920	37.220	0.600	0.000000	37.68	33.92	0.00	20
HD	2011-11-03	0.943263	1.060150e+5	37.220	33.380	37.220	31.590	35.540	37.220	33.380	37.220	0.810	0.000000	37.69	33.38	0.00	21
HD	2011-11-02	0.950277	1.052320e+5	37.220	32.830	37.220	31.590	35.400	37.220	32.830	37.220	0.660	0.000000	37.70	32.83	0.00	22
HD	2011-11-01	0.965555	1.035670e+5	37.220	32.470	37.220	31.460	35.400	37.220	32.470	37.220	1.400	0.000000	37.70	32.47	0.00	23
HD	2011-10-31	0.942689	1.060800e+5	37.220	31.590	37.220	30.580	34.650	37.220	31.590	37.220	0.440	0.000000	37.69	31.59	0.00	24
HD	2011-10-28	0.969146	1.031840e+5	37.220	31.590	37.220	30.050	34.650	37.220	31.590	37.220	1.190	0.000000	37.70	31.59	0.00	25
HD	2011-10-27	0.957522	1.044360e+5	36.860	31.590	36.860	28.510	34.410	36.860	31.590	36.860	1.100	0.000000	37.34	31.59	0.00	26
HD	2011-10-26	0.950024	1.052610e+5	36.860	31.590	36.860	28.510	34.410	36.860	31.590	36.860	1.010	0.000000	37.34	31.59	0.00	27
HD	2011-10-25	0.946867	1.056110e+5	36.860	31.590	36.860	28.510	34.410	36.860	31.590	36.860	0.780	0.000000	37.33	31.59	0.00	28
HD	2011-10-24	0.955649	1.046410e+5	36.860	31.590	36.860	28.510	34.410	36.860	31.590	36.860	0.790	0.000000	37.34	31.59	0.00	29
HD	2011-10-21	0.964368	1.036950e+5	35.950	31.590	35.950	28.510	33.920	35.950	31.590	35.950	1.130	0.000000	36.43	31.59	0.00	30
HD	2011-10-20	0.955650	1.046410e+5	35.950	31.590	35.950	28.510	33.380	35.950	31.590	35.950	0.690	0.000000	36.43	31.59	0.00	31
HD	2011-10-19	0.969632	1.031320e+5	35.950	31.590	35.950	28.510	32.830	35.950	31.590	35.950	0.730	0.000000	36.43	31.59	0.00	32
HD	2011-10-18	0.982244	1.018080e+5	35.050	31.590	35.050	28.510	32.470	35.050	31.590	35.050	1.770	0.000000	35.54	31.59	0.00	33
HD	2011-10-17	0.940783	1.062940e+5	35.050	31.590	35.050	28.510	31.590	35.050	31.590	35.050	0.890	0.000000	35.52	31.59	0.00	34
HD	2011-10-14	0.943456	1.059930e+5	34.810	31.590	35.150	28.510	31.590	34.720	31.590	34.810	0.670	0.000000	35.28	31.59	0.00	35
HD	2011-10-13	0.957849	1.044010e+5	34.810	31.590	35.630	28.510	31.590	34.720	31.590	34.810	0.670	0.000000	35.29	31.59	0.00	36
HD	2011-10-12	0.972998	1.027750e+5	34.810	31.590	36.390	28.510	31.590	34.710	31.590	34.810	0.380	0.000000	35.30	31.59	0.00	37
HD	2011-10-11	1.004210	9.958090e+4	34.810	31.590	36.650	28.510	31.590	34.660	31.590	34.810	0.590	0.000000	35.31	31.59	0.00	38
HD	2011-10-10	1.026010	9.746500e+4	34.810	31.590	36.650	28.510	31.590	34.000	31.590	34.810	0.740	0.000000	35.32	31.59	0.00	39
HD	2011-10-07	1.041060	9.605570e+4	34.810	31.590	36.720	28.510	31.590	34.000	31.590	34.810	0.960	0.000000	35.33	31.59	0.00	40
HD	2011-10-06	1.045330	9.566370e+4	34.810	31.590	36.720	28.510	31.590	34.000	31.590	34.810	1.000	0.000000	35.33	31.59	0.00	41
HD	2011-10-05	1.047710	9.544580e+4	34.810	31.590	36.720	28.510	31.590	34.000	31.590	34.810	1.290	0.000000	35.33	31.59	0.00	42
HD	2011-10-04	1.034960	9.662180e+4	34.810	31.590	36.720	28.510	31.590	34.810	31.590	34.810	1.520	0.000000	35.33	31.59	0.00	43
HD	2011-10-03	1.009430	9.906540e+4	34.810	31.870	36.720	28.510	32.870	34.810	31.870	34.810	1.420	0.000000	35.31	31.87	0.00	44
HD	2011-09-30	0.987826	1.012320e+5	34.810	31.870	36.720	28.510	33.050	34.810	31.870	34.810	0.950	0.000000	35.30	31.87	0.00	45
HD	2011-09-29	0.989817	1.010290e+5	34.810	31.870	36.720	28.510	33.050	34.810	31.870	34.810	1.430	0.000000	35.30	31.87	0.00	46
HD	2011-09-28	0.966649	1.034500e+5	34.810	31.870	36.720	28.510	33.050	34.810	31.870	34.810	0.730	0.000000	35.29	31.87	0.00	47
HD	2011-09-27	0.979104	1.021340e+5	34.810	31.870	36.720	28.510	32.660	34.810	31.870	34.810	0.970	0.000000	35.30	31.87	0.00	48
HD	2011-09-26	0.979584	1.020840e+5	34.810	31.870	36.720	28.510	32.350	34.810	31.870	34.810	1.020	0.000000	35.30	31.87	0.00	49
HD	2011-09-23	0.977456	1.023060e+5	34.810	31.870	37.050	28.510	31.870	34.810	31.870	34.810	0.950	0.000000	35.30	31.87	0.00	50
HD	2011-09-22	0.978901	1.021550e+5	34.810	31.870	37.050	28.510	31.870	34.810	31.870	34.810	1.260	0.000000	35.30	31.87	0.00	51
HD	2011-09-21	0.964107	1.037230e+5	34.810	31.870	37.050	28.510	31.870	34.810	31.870	34.810	1.240	0.000000	35.29	31.87	0.00	52
HD	2011-09-20	0.949586	1.053090e+5	34.610	31.870	37.050	28.510	31.870	34.610	31.870	34.610	1.120	0.000000	35.08	31.87	0.00	53
HD	2011-09-19	0.940617	1.063130e+5	34.610	31.870	37.050	28.510	31.870	34.610	31.870	34.610	0.780	0.000000	35.08	31.87	0.00	54
