#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HGIC	2011-12-01	0.448809	2.228120e+5	59.110	58.890	59.440	25.150	58.890	59.110	58.890	59.110	0.320	0.000000	59.33	58.89	0.00	1
HGIC	2011-11-30	0.455589	2.194960e+5	59.110	58.890	59.440	25.150	58.890	59.110	58.890	59.110	0.210	0.000000	59.34	58.89	0.00	2
HGIC	2011-11-29	0.468514	2.134410e+5	59.110	58.760	59.440	25.150	58.900	59.110	58.760	59.110	0.070	0.000000	59.34	58.76	0.00	3
HGIC	2011-11-28	0.489489	2.042950e+5	59.360	58.760	59.440	25.150	58.900	59.110	58.760	59.360	0.130	0.000000	59.60	58.76	0.00	4
HGIC	2011-11-25	0.508409	1.966920e+5	59.440	58.760	59.440	25.150	58.920	59.110	58.760	59.440	0.070	0.000000	59.69	58.76	0.00	5
HGIC	2011-11-23	0.531483	1.881530e+5	59.440	58.760	59.440	25.150	58.970	59.110	58.760	59.440	0.080	0.000000	59.71	58.76	0.00	6
HGIC	2011-11-22	0.555246	1.801000e+5	59.440	58.760	59.440	25.150	58.970	59.110	58.760	59.440	0.120	0.000000	59.72	58.76	0.00	7
HGIC	2011-11-21	0.578153	1.729640e+5	59.440	58.760	59.440	25.150	58.970	59.110	58.760	59.440	0.140	0.000000	59.73	58.76	0.00	8
HGIC	2011-11-18	0.601214	1.663300e+5	59.440	58.760	59.440	25.150	58.970	59.110	58.760	59.440	0.210	0.000000	59.74	58.76	0.00	9
HGIC	2011-11-17	0.621804	1.608220e+5	59.440	58.760	59.440	25.150	58.970	59.080	58.760	59.440	0.070	0.000000	59.75	58.76	0.00	10
HGIC	2011-11-16	0.650847	1.536460e+5	59.440	58.760	59.440	25.150	58.970	59.080	58.760	59.440	0.070	0.000000	59.77	58.76	0.00	11
HGIC	2011-11-15	0.681418	1.467530e+5	59.440	58.760	59.440	25.150	58.950	59.060	58.760	59.440	0.110	0.000000	59.78	58.76	0.00	12
HGIC	2011-11-14	0.711492	1.405500e+5	59.440	58.760	59.440	25.150	58.760	59.060	58.760	59.440	0.120	0.000000	59.80	58.76	0.00	13
HGIC	2011-11-11	0.742623	1.346580e+5	59.440	58.760	59.440	25.150	58.760	59.360	58.760	59.440	0.070	0.000000	59.81	58.76	0.00	14
HGIC	2011-11-10	0.778025	1.285310e+5	59.440	58.760	59.440	25.150	58.760	59.440	58.760	59.440	0.190	0.000000	59.83	58.76	0.00	15
HGIC	2011-11-09	0.808973	1.236130e+5	59.440	58.720	59.440	25.150	58.760	59.440	58.720	59.440	0.180	0.000000	59.84	58.72	0.00	16
HGIC	2011-11-08	0.842077	1.187540e+5	59.440	58.720	59.440	25.150	58.760	59.440	58.720	59.440	0.100	0.000000	59.86	58.72	0.00	17
HGIC	2011-11-07	0.881134	1.134900e+5	59.440	58.720	59.440	25.150	58.760	59.440	58.720	59.440	0.180	0.000000	59.88	58.72	0.00	18
HGIC	2011-11-04	0.918036	1.089280e+5	59.440	58.630	59.440	25.150	58.760	59.440	58.630	59.440	0.120	0.000000	59.90	58.63	0.00	19
HGIC	2011-11-03	0.960037	1.041630e+5	59.440	58.630	59.440	25.150	58.760	59.440	58.630	59.440	0.260	0.000000	59.92	58.63	0.00	20
HGIC	2011-11-02	0.996882	1.003130e+5	59.440	58.630	59.440	25.150	58.760	59.440	58.630	59.440	0.270	0.000000	59.94	58.63	0.00	21
