#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HL	2011-12-02	0.350279	2.854870e+5	6.880	5.300	7.230	5.160	5.300	6.230	5.300	6.880	0.440	0.000000	7.06	5.30	0.00	1
HL	2011-12-01	0.345556	2.893880e+5	6.880	5.300	7.450	5.160	5.300	6.370	5.300	6.880	0.220	0.000000	7.05	5.30	0.00	2
HL	2011-11-30	0.352165	2.839580e+5	6.880	5.300	7.560	5.160	5.300	6.570	5.300	6.880	0.600	0.000000	7.06	5.30	0.00	3
HL	2011-11-29	0.339121	2.948800e+5	6.880	5.300	7.650	5.160	5.300	6.570	5.300	6.880	0.160	0.000000	7.05	5.30	0.00	4
HL	2011-11-28	0.348548	2.869040e+5	6.880	5.300	7.770	5.160	5.300	6.700	5.300	6.880	0.400	0.000000	7.05	5.30	0.00	5
HL	2011-11-25	0.345840	2.891510e+5	6.880	5.370	7.970	5.160	5.370	6.700	5.370	6.880	0.220	0.000000	7.05	5.37	0.00	6
HL	2011-11-23	0.352463	2.837170e+5	6.880	5.670	7.970	5.160	5.670	6.700	5.670	6.880	0.380	0.000000	7.06	5.67	0.00	7
HL	2011-11-22	0.351014	2.848890e+5	6.880	5.670	7.970	5.160	5.670	6.880	5.670	6.880	0.290	0.000000	7.06	5.67	0.00	8
HL	2011-11-21	0.354225	2.823060e+5	6.880	5.690	7.970	5.160	5.970	6.880	5.690	6.880	0.460	0.000000	7.06	5.69	0.00	9
HL	2011-11-18	0.348658	2.868140e+5	6.880	5.530	7.970	5.160	6.020	6.880	5.530	6.880	0.230	0.000000	7.05	5.53	0.00	10
HL	2011-11-17	0.354903	2.817670e+5	6.880	5.350	7.970	5.160	6.320	6.880	5.350	6.880	0.440	0.000000	7.06	5.35	0.00	11
HL	2011-11-16	0.350425	2.853680e+5	6.880	5.310	7.970	5.160	6.160	6.880	5.310	6.880	0.230	0.000000	7.06	5.31	0.00	12
HL	2011-11-15	0.356763	2.802980e+5	6.880	5.310	7.970	5.160	6.060	6.880	5.310	6.880	0.230	0.000000	7.06	5.31	0.00	13
HL	2011-11-14	0.363434	2.751530e+5	6.880	5.310	7.970	5.160	6.060	6.880	5.310	6.880	0.240	0.000000	7.06	5.31	0.00	14
HL	2011-11-11	0.369931	2.703210e+5	6.880	5.310	7.970	5.160	6.060	6.880	5.310	6.880	0.390	0.000000	7.06	5.31	0.00	15
HL	2011-11-10	0.368875	2.710950e+5	6.880	5.310	7.970	5.160	6.060	6.880	5.310	6.880	0.350	0.000000	7.06	5.31	0.00	16
HL	2011-11-09	0.369868	2.703670e+5	6.880	5.310	7.970	5.160	5.860	6.880	5.310	6.880	0.540	0.000000	7.06	5.31	0.00	17
HL	2011-11-08	0.360914	2.770740e+5	6.740	5.310	7.970	5.160	5.690	6.740	5.310	6.740	0.260	0.000000	6.92	5.31	0.00	18
HL	2011-11-07	0.366225	2.730560e+5	6.580	5.310	7.970	5.160	5.690	6.580	5.310	6.580	0.300	0.000000	6.76	5.31	0.00	19
HL	2011-11-04	0.369711	2.704820e+5	6.580	5.310	7.970	5.160	5.530	6.580	5.310	6.580	0.270	0.000000	6.76	5.31	0.00	20
