#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HMIN	2011-12-01	1.870380	5.346500e+4	35.290	28.960	37.110	25.000	28.960	33.220	28.960	35.290	1.560	0.000000	36.23	28.96	0.00	1
HMIN	2011-11-30	1.886720	5.300210e+4	35.290	28.960	37.110	25.000	28.960	33.420	28.960	35.290	2.060	0.000000	36.23	28.96	0.00	2
HMIN	2011-11-29	1.877600	5.325950e+4	35.290	28.960	37.110	25.000	28.960	33.420	28.960	35.290	1.230	0.000000	36.23	28.96	0.00	3
HMIN	2011-11-28	1.911680	5.230990e+4	35.290	28.960	37.110	25.000	28.960	35.290	28.960	35.290	2.080	0.000000	36.25	28.96	0.00	4
HMIN	2011-11-25	1.902820	5.255350e+4	35.290	28.980	37.110	25.000	28.980	35.290	28.980	35.290	0.820	0.000000	36.24	28.98	0.00	5
HMIN	2011-11-23	1.959810	5.102520e+4	35.290	29.340	37.110	25.000	29.340	35.290	29.340	35.290	1.060	0.000000	36.27	29.34	0.00	6
HMIN	2011-11-22	2.007170	4.982130e+4	35.290	29.340	37.110	25.000	29.340	35.290	29.340	35.290	1.380	0.000000	36.29	29.34	0.00	7
HMIN	2011-11-21	2.040180	4.901520e+4	35.290	31.030	37.110	25.000	31.030	35.290	31.030	35.290	2.310	0.000000	36.31	31.03	0.00	8
HMIN	2011-11-18	2.025980	4.935880e+4	35.290	31.040	37.110	25.000	31.230	35.290	31.040	35.290	2.500	0.000000	36.30	31.04	0.00	9
HMIN	2011-11-17	2.001030	4.997420e+4	35.290	29.920	38.240	25.000	31.230	35.290	29.920	35.290	1.680	0.000000	36.29	29.92	0.00	10
HMIN	2011-11-16	2.017930	4.955570e+4	35.290	29.920	38.240	25.000	31.230	35.290	29.920	35.290	1.180	0.000000	36.30	29.92	0.00	11
HMIN	2011-11-15	2.062030	4.849590e+4	35.290	29.920	38.240	25.000	31.230	35.290	29.920	35.290	0.730	0.000000	36.32	29.92	0.00	12
HMIN	2011-11-14	2.132140	4.690130e+4	35.290	29.000	38.240	25.000	31.230	35.290	29.000	35.290	2.800	0.000000	36.36	29.00	0.00	13
HMIN	2011-11-11	2.096990	4.768750e+4	35.070	29.000	38.240	25.000	31.230	35.070	29.000	35.070	3.550	0.000000	36.12	29.00	0.00	14
HMIN	2011-11-10	2.020510	4.949240e+4	35.070	29.000	38.240	25.000	31.230	35.070	29.000	35.070	1.670	0.000000	36.08	29.00	0.00	15
HMIN	2011-11-09	2.038960	4.904460e+4	35.070	29.000	38.240	25.000	32.000	35.070	29.000	35.070	2.500	0.000000	36.09	29.00	0.00	16
HMIN	2011-11-08	2.014700	4.963530e+4	35.070	29.000	38.240	25.000	31.040	35.070	29.000	35.070	1.260	0.000000	36.08	29.00	0.00	17
HMIN	2011-11-07	2.054420	4.867560e+4	35.070	28.580	38.240	25.000	31.040	35.070	28.580	35.070	1.800	0.000000	36.10	28.58	0.00	18
HMIN	2011-11-04	2.067810	4.836040e+4	35.070	26.510	38.240	25.000	31.040	35.070	26.510	35.070	0.970	0.000000	36.10	26.51	0.00	19
