#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HR-UN	2011-12-01	0.437597	2.285210e+5	23.300	21.570	23.300	19.820	22.180	23.300	21.570	23.300	0.400	0.000000	23.52	21.57	0.00	1
HR-UN	2011-11-30	0.439576	2.274920e+5	22.920	21.570	22.920	19.820	22.180	22.920	21.570	22.920	0.830	0.000000	23.14	21.57	0.00	2
HR-UN	2011-11-29	0.419027	2.386480e+5	22.920	21.570	22.920	19.820	21.800	22.920	21.570	22.920	0.820	0.000000	23.13	21.57	0.00	3
HR-UN	2011-11-28	0.397923	2.513050e+5	22.500	21.570	22.500	19.820	21.800	22.500	21.570	22.500	0.740	0.000000	22.70	21.57	0.00	4
HR-UN	2011-11-25	0.379919	2.632140e+5	22.500	21.500	22.500	19.820	21.800	22.500	21.500	22.500	0.330	0.000000	22.69	21.50	0.00	5
HR-UN	2011-11-24	0.382547	2.614060e+5	22.500	21.250	22.500	19.820	21.570	22.500	21.250	22.500	0.240	0.000000	22.69	21.25	0.00	6
HR-UN	2011-11-23	0.390049	2.563780e+5	22.500	21.250	22.500	19.820	21.570	22.500	21.250	22.500	0.350	0.000000	22.70	21.25	0.00	7
HR-UN	2011-11-22	0.392157	2.550000e+5	22.480	21.250	22.480	19.820	21.570	22.480	21.250	22.480	0.360	0.000000	22.68	21.25	0.00	8
HR-UN	2011-11-21	0.393849	2.539040e+5	22.480	21.160	22.480	19.820	21.570	22.480	21.160	22.480	0.400	0.000000	22.68	21.16	0.00	9
HR-UN	2011-11-18	0.393526	2.541130e+5	22.330	20.990	22.330	19.820	21.570	22.330	20.990	22.330	0.390	0.000000	22.53	20.99	0.00	10
HR-UN	2011-11-17	0.393711	2.539930e+5	22.330	20.450	22.330	19.820	21.570	22.330	20.450	22.330	0.550	0.000000	22.53	20.45	0.00	11
HR-UN	2011-11-16	0.385486	2.594130e+5	22.330	20.320	22.330	19.820	21.570	22.330	20.320	22.330	0.440	0.000000	22.52	20.32	0.00	12
HR-UN	2011-11-15	0.382616	2.613580e+5	22.330	20.320	22.330	19.820	21.570	22.330	20.320	22.330	0.150	0.000000	22.52	20.32	0.00	13
HR-UN	2011-11-14	0.394859	2.532550e+5	22.330	20.190	22.330	19.820	21.570	22.330	20.190	22.330	0.100	0.000000	22.53	20.19	0.00	14
HR-UN	2011-11-11	0.410378	2.436780e+5	22.330	20.190	22.330	19.820	21.500	22.330	20.190	22.330	0.410	0.000000	22.54	20.19	0.00	15
HR-UN	2011-11-10	0.410398	2.436660e+5	22.330	20.190	22.330	19.820	21.250	22.330	20.190	22.330	0.330	0.000000	22.54	20.19	0.00	16
HR-UN	2011-11-09	0.414630	2.411790e+5	22.330	20.190	22.330	19.820	21.250	22.330	20.190	22.330	0.750	0.000000	22.54	20.19	0.00	17
HR-UN	2011-11-08	0.396979	2.519030e+5	22.100	19.950	22.260	19.820	21.250	22.100	19.950	22.100	0.260	0.000000	22.30	19.95	0.00	18
