#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
HSE	2011-12-01	0.707047	1.414330e+5	25.800	23.000	26.000	21.490	23.000	25.400	23.000	25.800	0.700	0.000000	26.15	23.00	0.00	1
HSE	2011-11-30	0.707418	1.413590e+5	25.800	23.000	26.000	21.490	23.000	25.070	23.000	25.800	1.590	0.000000	26.15	23.00	0.00	2
HSE	2011-11-29	0.660966	1.512940e+5	25.800	23.000	26.000	21.490	23.000	25.070	23.000	25.800	0.400	0.000000	26.13	23.00	0.00	3
HSE	2011-11-28	0.674701	1.482140e+5	25.800	23.000	26.000	21.490	23.000	25.070	23.000	25.800	0.950	0.000000	26.14	23.00	0.00	4
HSE	2011-11-25	0.660212	1.514670e+5	25.800	23.160	26.000	21.490	23.160	25.070	23.160	25.800	0.620	0.000000	26.13	23.16	0.00	5
HSE	2011-11-24	0.662328	1.509830e+5	26.000	23.610	26.000	21.490	23.610	25.070	23.610	26.000	0.690	0.000000	26.33	23.61	0.00	6
HSE	2011-11-23	0.660872	1.513150e+5	26.000	24.390	26.000	21.490	24.390	25.070	24.390	26.000	0.950	0.000000	26.33	24.39	0.00	7
HSE	2011-11-22	0.645654	1.548820e+5	26.000	24.390	26.000	21.490	24.390	25.340	24.390	26.000	0.310	0.000000	26.32	24.39	0.00	8
HSE	2011-11-21	0.663320	1.507570e+5	26.000	24.530	26.000	21.490	24.530	25.400	24.530	26.000	0.780	0.000000	26.33	24.53	0.00	9
HSE	2011-11-18	0.657179	1.521660e+5	26.000	24.530	26.000	21.490	24.530	25.450	24.530	26.000	0.330	0.000000	26.33	24.53	0.00	10
HSE	2011-11-17	0.674399	1.482800e+5	26.000	24.530	26.000	21.490	24.530	25.800	24.530	26.000	1.080	0.000000	26.34	24.53	0.00	11
HSE	2011-11-16	0.653052	1.531270e+5	26.000	24.530	26.000	21.490	24.530	25.800	24.530	26.000	0.990	0.000000	26.33	24.53	0.00	12
HSE	2011-11-15	0.635318	1.574020e+5	26.000	24.530	26.000	21.490	24.530	25.800	24.530	26.000	0.390	0.000000	26.32	24.53	0.00	13
HSE	2011-11-14	0.648229	1.542660e+5	26.000	24.530	26.000	21.490	24.530	25.800	24.530	26.000	0.490	0.000000	26.32	24.53	0.00	14
HSE	2011-11-11	0.656557	1.523100e+5	26.000	24.410	26.000	21.490	24.530	25.800	24.410	26.000	0.580	0.000000	26.33	24.41	0.00	15
HSE	2011-11-10	0.660586	1.513810e+5	26.000	24.030	26.000	21.490	24.750	26.000	24.030	26.000	0.680	0.000000	26.33	24.03	0.00	16
HSE	2011-11-09	0.659564	1.516150e+5	26.000	23.880	26.000	21.490	25.110	26.000	23.880	26.000	0.660	0.000000	26.33	23.88	0.00	17
HSE	2011-11-08	0.659542	1.516200e+5	26.000	23.350	26.000	21.490	25.110	26.000	23.350	26.000	0.370	0.000000	26.33	23.35	0.00	18
HSE	2011-11-07	0.674781	1.481960e+5	26.000	22.320	26.000	21.490	25.110	26.000	22.320	26.000	0.570	0.000000	26.34	22.32	0.00	19
HSE	2011-11-04	0.680295	1.469950e+5	26.000	22.320	26.000	21.490	25.030	26.000	22.320	26.000	0.520	0.000000	26.34	22.32	0.00	20
HSE	2011-11-03	0.688732	1.451940e+5	26.000	22.320	26.000	21.490	24.840	26.000	22.320	26.000	0.780	0.000000	26.34	22.32	0.00	21
HSE	2011-11-02	0.683928	1.462140e+5	26.000	21.850	26.170	21.490	24.710	26.000	21.850	26.000	0.670	0.000000	26.34	21.85	0.00	22
HSE	2011-11-01	0.684661	1.460580e+5	26.000	21.490	26.170	21.490	24.710	26.000	21.490	26.000	1.070	0.000000	26.34	21.49	0.00	23
HSE	2011-10-31	0.664380	1.505160e+5	26.000	21.490	26.170	21.490	24.630	26.000	21.490	26.000	0.570	0.000000	26.33	21.49	0.00	24
HSE	2011-10-28	0.669348	1.493990e+5	26.000	21.490	26.170	21.490	24.410	26.000	21.490	26.000	0.530	0.000000	26.33	21.49	0.00	25
HSE	2011-10-27	0.676682	1.477800e+5	25.450	21.490	26.170	21.490	24.030	25.450	21.490	25.450	0.890	0.000000	25.79	21.49	0.00	26
HSE	2011-10-26	0.665455	1.502730e+5	25.450	21.490	26.170	21.490	23.880	25.450	21.490	25.450	0.560	0.000000	25.78	21.49	0.00	27
HSE	2011-10-25	0.671005	1.490300e+5	25.450	21.490	26.170	21.490	23.350	25.450	21.490	25.450	0.500	0.000000	25.79	21.49	0.00	28
HSE	2011-10-24	0.680005	1.470580e+5	25.030	21.490	26.170	21.490	22.320	25.030	21.490	25.030	0.480	0.000000	25.37	21.49	0.00	29
HSE	2011-10-21	0.690532	1.448160e+5	24.890	21.490	26.290	21.490	22.320	24.890	21.490	24.890	0.600	0.000000	25.24	21.49	0.00	30
HSE	2011-10-20	0.695297	1.438240e+5	24.890	21.490	26.290	21.490	22.320	24.890	21.490	24.890	0.530	0.000000	25.24	21.49	0.00	31
HSE	2011-10-19	0.703996	1.420460e+5	24.890	21.490	26.750	21.490	21.850	24.890	21.490	24.890	0.550	0.000000	25.24	21.49	0.00	32
HSE	2011-10-18	0.712102	1.404290e+5	24.630	21.490	26.900	21.490	21.490	24.630	21.490	24.630	0.680	0.000000	24.99	21.49	0.00	33
HSE	2011-10-17	0.713791	1.400970e+5	24.410	21.490	26.900	21.490	21.490	24.410	21.490	24.410	0.550	0.000000	24.77	21.49	0.00	34
HSE	2011-10-14	0.722412	1.384250e+5	24.250	21.490	26.900	21.490	21.490	24.030	21.490	24.250	0.380	0.000000	24.61	21.49	0.00	35
HSE	2011-10-13	0.740433	1.350560e+5	24.250	21.490	26.900	21.490	21.490	23.880	21.490	24.250	0.410	0.000000	24.62	21.49	0.00	36
HSE	2011-10-12	0.757825	1.319570e+5	24.250	21.490	26.980	21.490	21.490	23.350	21.490	24.250	0.790	0.000000	24.63	21.49	0.00	37
HSE	2011-10-11	0.756131	1.322520e+5	24.250	21.490	26.980	21.490	21.490	23.320	21.490	24.250	1.130	0.000000	24.63	21.49	0.00	38
HSE	2011-10-07	0.736454	1.357860e+5	24.250	21.490	26.980	21.490	21.490	23.320	21.490	24.250	0.680	0.000000	24.62	21.49	0.00	39
HSE	2011-10-06	0.739425	1.352400e+5	24.250	21.490	26.980	21.490	21.490	23.320	21.490	24.250	0.690	0.000000	24.62	21.49	0.00	40
HSE	2011-10-05	0.742026	1.347660e+5	24.250	21.490	26.980	21.490	21.490	23.320	21.490	24.250	1.100	0.000000	24.62	21.49	0.00	41
HSE	2011-10-04	0.723186	1.382770e+5	24.250	21.490	26.980	21.490	21.490	23.540	21.490	24.250	1.310	0.000000	24.61	21.49	0.00	42
HSE	2011-10-03	0.692301	1.444460e+5	24.250	21.940	26.980	21.940	21.940	23.540	21.940	24.250	1.200	0.000000	24.60	21.94	0.00	43
HSE	2011-09-30	0.665580	1.502450e+5	24.250	21.940	26.980	21.940	21.940	24.090	21.940	24.250	0.930	0.000000	24.58	21.94	0.00	44
HSE	2011-09-29	0.651663	1.534540e+5	24.380	21.940	26.980	21.940	21.940	24.250	21.940	24.380	0.690	0.000000	24.71	21.94	0.00	45
HSE	2011-09-28	0.649645	1.539300e+5	24.380	21.940	26.980	21.940	21.940	24.250	21.940	24.380	0.540	0.000000	24.70	21.94	0.00	46
HSE	2011-09-27	0.655416	1.525750e+5	24.380	21.940	26.980	21.940	21.940	24.250	21.940	24.380	0.790	0.000000	24.71	21.94	0.00	47
HSE	2011-09-26	0.648332	1.542420e+5	24.380	21.940	26.980	21.940	21.940	24.250	21.940	24.380	0.820	0.000000	24.70	21.94	0.00	48
HSE	2011-09-23	0.639297	1.564220e+5	24.380	21.940	26.980	21.940	21.940	24.250	21.940	24.380	0.670	0.000000	24.70	21.94	0.00	49
HSE	2011-09-22	0.637681	1.568180e+5	24.600	22.930	26.980	22.930	22.930	24.250	22.930	24.600	1.570	0.000000	24.92	22.93	0.00	50
HSE	2011-09-21	0.588612	1.698910e+5	24.930	23.000	26.980	23.000	23.000	24.250	23.000	24.930	0.770	0.000000	25.22	23.00	0.00	51
HSE	2011-09-20	0.579065	1.726920e+5	24.930	23.000	26.980	23.000	23.000	24.250	23.000	24.930	0.290	0.000000	25.22	23.00	0.00	52
HSE	2011-09-19	0.594279	1.682710e+5	24.930	23.000	26.980	23.000	23.000	24.250	23.000	24.930	0.740	0.000000	25.23	23.00	0.00	53
