#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
IAG	2011-12-01	0.952024	1.050390e+5	28.310	25.930	33.160	25.930	25.930	27.350	25.930	28.310	1.210	0.000000	28.79	25.93	0.00	1
IAG	2011-11-30	0.938447	1.065590e+5	28.760	25.930	33.160	25.930	25.930	28.270	25.930	28.760	1.250	0.000000	29.23	25.93	0.00	2
IAG	2011-11-29	0.922049	1.084540e+5	32.280	26.800	33.160	26.800	26.850	28.310	26.800	32.280	0.930	0.000000	32.74	26.80	0.00	3
IAG	2011-11-28	0.921631	1.085030e+5	32.430	26.800	33.160	26.800	26.850	28.310	26.800	32.430	0.730	0.000000	32.89	26.80	0.00	4
IAG	2011-11-25	0.931717	1.073290e+5	33.160	26.800	33.340	26.800	26.850	28.310	26.800	33.160	0.610	0.000000	33.63	26.80	0.00	5
IAG	2011-11-24	0.948649	1.054130e+5	33.160	26.800	34.090	26.800	26.850	28.310	26.800	33.160	0.370	0.000000	33.63	26.80	0.00	6
IAG	2011-11-23	0.979104	1.021340e+5	33.160	26.800	34.230	26.800	26.850	28.310	26.800	33.160	0.580	0.000000	33.65	26.80	0.00	7
IAG	2011-11-22	1.000110	9.998900e+4	33.160	26.800	34.600	26.800	26.850	28.310	26.800	33.160	0.460	0.000000	33.66	26.80	0.00	8
IAG	2011-11-21	1.028540	9.722550e+4	33.160	26.800	34.620	26.800	26.850	28.310	26.800	33.160	0.380	0.000000	33.67	26.80	0.00	9
IAG	2011-11-18	1.062670	9.410260e+4	33.160	26.800	35.910	26.800	26.910	28.310	26.800	33.160	1.080	0.000000	33.69	26.80	0.00	10
IAG	2011-11-17	1.061760	9.418340e+4	33.160	26.800	36.070	26.800	26.800	28.310	26.800	33.160	1.340	0.000000	33.69	26.80	0.00	11
IAG	2011-11-16	1.047110	9.550060e+4	33.160	26.800	36.070	26.800	26.800	28.760	26.800	33.160	0.910	0.000000	33.68	26.80	0.00	12
IAG	2011-11-15	1.054330	9.484690e+4	33.160	26.800	36.070	26.800	26.800	32.280	26.800	33.160	0.550	0.000000	33.69	26.80	0.00	13
