#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
IBM	2011-12-02	3.892670	2.568930e+4	189.450	177.060	190.530	168.620	177.060	189.450	177.060	189.450	1.880	0.000000	191.40	177.06	0.00	1
IBM	2011-12-01	3.998600	2.500870e+4	188.750	177.060	190.530	167.240	177.060	188.000	177.060	188.750	3.220	0.000000	190.75	177.06	0.00	2
IBM	2011-11-30	4.039580	2.475500e+4	188.750	177.060	190.530	163.430	177.060	188.750	177.060	188.750	7.410	0.000000	190.77	177.06	0.00	3
IBM	2011-11-29	3.862190	2.589200e+4	188.750	177.060	190.530	162.420	177.060	188.750	177.060	188.750	2.470	0.000000	190.68	177.06	0.00	4
IBM	2011-11-28	3.935470	2.541000e+4	188.750	177.060	190.530	161.370	177.060	188.750	177.060	188.750	5.870	0.000000	190.72	177.06	0.00	5
IBM	2011-11-25	3.833650	2.608480e+4	188.750	177.950	190.530	161.370	177.950	188.750	177.950	188.750	2.500	0.000000	190.67	177.95	0.00	6
IBM	2011-11-23	3.903840	2.561580e+4	188.750	181.310	190.530	161.370	181.310	188.750	181.310	188.750	3.970	0.000000	190.70	181.31	0.00	7
IBM	2011-11-22	3.900360	2.563870e+4	188.750	180.360	190.530	161.370	181.480	188.750	180.360	188.750	2.690	0.000000	190.70	180.36	0.00	8
IBM	2011-11-21	3.964060	2.522670e+4	188.750	180.360	190.530	161.370	182.240	188.750	180.360	188.750	5.240	0.000000	190.73	180.36	0.00	9
IBM	2011-11-18	3.896910	2.566140e+4	188.750	180.360	190.530	161.370	182.240	188.750	180.360	188.750	2.310	0.000000	190.70	180.36	0.00	10
IBM	2011-11-17	3.980430	2.512290e+4	188.750	177.250	190.530	161.370	182.240	188.750	177.250	188.750	5.440	0.000000	190.74	177.25	0.00	11
IBM	2011-11-16	3.903610	2.561730e+4	188.750	177.250	190.530	161.370	182.240	188.750	177.250	188.750	3.600	0.000000	190.70	177.25	0.00	12
IBM	2011-11-15	3.919590	2.551290e+4	187.450	177.250	190.530	161.370	181.350	187.380	177.250	187.450	4.330	0.000000	189.41	177.25	0.00	13
IBM	2011-11-14	3.897990	2.565430e+4	187.450	177.250	190.530	161.370	181.350	187.380	177.250	187.450	2.990	0.000000	189.40	177.25	0.00	14
IBM	2011-11-11	3.945780	2.534360e+4	190.530	177.250	190.530	161.370	181.350	187.450	177.250	190.530	4.480	0.000000	192.50	177.25	0.00	15
IBM	2011-11-10	3.917660	2.552540e+4	190.530	177.250	190.530	161.370	181.350	187.450	177.250	190.530	2.900	0.000000	192.49	177.25	0.00	16
IBM	2011-11-09	3.971220	2.518120e+4	190.530	177.250	190.530	161.370	181.350	187.450	177.250	190.530	6.090	0.000000	192.52	177.25	0.00	17
IBM	2011-11-08	3.859710	2.590870e+4	190.530	177.250	190.530	158.980	180.360	187.450	177.250	190.530	2.370	0.000000	192.46	177.25	0.00	18
