#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ICB	2011-12-02	0.302862	3.301830e+5	17.720	17.100	17.720	16.350	17.100	17.650	17.100	17.720	0.200	0.000000	17.87	17.10	0.00	1
ICB	2011-12-01	0.308276	3.243850e+5	17.720	17.100	17.720	16.350	17.100	17.650	17.100	17.720	0.270	0.000000	17.87	17.10	0.00	2
ICB	2011-11-30	0.310290	3.222790e+5	17.720	17.100	17.720	16.350	17.100	17.650	17.100	17.720	0.290	0.000000	17.88	17.10	0.00	3
ICB	2011-11-29	0.311358	3.211730e+5	17.720	17.100	17.720	16.350	17.100	17.650	17.100	17.720	0.270	0.000000	17.88	17.10	0.00	4
ICB	2011-11-28	0.313535	3.189440e+5	17.720	17.100	17.720	16.350	17.100	17.720	17.100	17.720	0.560	0.000000	17.88	17.10	0.00	5
ICB	2011-11-25	0.300563	3.327090e+5	17.720	17.100	17.720	16.350	17.100	17.720	17.100	17.720	0.250	0.000000	17.87	17.10	0.00	6
ICB	2011-11-23	0.303224	3.297890e+5	17.720	17.100	17.720	16.350	17.100	17.720	17.100	17.720	0.240	0.000000	17.87	17.10	0.00	7
ICB	2011-11-22	0.306552	3.262090e+5	17.720	17.100	17.720	16.350	17.100	17.720	17.100	17.720	0.510	0.000000	17.87	17.10	0.00	8
ICB	2011-11-21	0.295844	3.380160e+5	17.720	17.100	17.720	16.350	17.100	17.720	17.100	17.720	0.220	0.000000	17.87	17.10	0.00	9
ICB	2011-11-18	0.299836	3.335160e+5	17.720	17.200	17.720	16.350	17.310	17.720	17.200	17.720	0.400	0.000000	17.87	17.20	0.00	10
ICB	2011-11-17	0.294564	3.394850e+5	17.720	17.200	17.720	16.350	17.310	17.720	17.200	17.720	0.220	0.000000	17.87	17.20	0.00	11
ICB	2011-11-16	0.298489	3.350210e+5	17.720	17.200	17.720	16.350	17.340	17.720	17.200	17.720	0.310	0.000000	17.87	17.20	0.00	12
ICB	2011-11-15	0.297883	3.357030e+5	17.720	17.200	17.720	16.350	17.310	17.720	17.200	17.720	0.310	0.000000	17.87	17.20	0.00	13
ICB	2011-11-14	0.297245	3.364230e+5	17.720	17.200	17.720	16.350	17.310	17.720	17.200	17.720	0.450	0.000000	17.87	17.20	0.00	14
ICB	2011-11-11	0.289205	3.457750e+5	17.670	17.030	17.670	16.350	17.310	17.670	17.030	17.670	0.200	0.000000	17.81	17.03	0.00	15
ICB	2011-11-10	0.293900	3.402520e+5	17.570	16.820	17.570	16.350	17.310	17.570	16.820	17.570	0.340	0.000000	17.72	16.82	0.00	16
ICB	2011-11-09	0.291474	3.430840e+5	17.570	16.820	17.570	16.350	17.300	17.570	16.820	17.570	0.410	0.000000	17.72	16.82	0.00	17
ICB	2011-11-08	0.285236	3.505870e+5	17.510	16.800	17.510	16.350	17.200	17.510	16.800	17.510	0.190	0.000000	17.65	16.80	0.00	18
ICB	2011-11-07	0.290248	3.445330e+5	17.490	16.660	17.500	16.350	17.200	17.490	16.660	17.490	0.220	0.000000	17.64	16.66	0.00	19
ICB	2011-11-04	0.293945	3.401990e+5	17.480	16.590	17.500	16.350	17.200	17.480	16.590	17.480	0.200	0.000000	17.63	16.59	0.00	20
