#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
IGM	2011-12-01	0.778427	1.284640e+5	43.460	41.710	44.540	41.710	41.710	43.310	41.710	43.460	1.240	0.000000	43.85	41.71	0.00	1
IGM	2011-11-30	0.754134	1.326020e+5	43.460	41.710	44.540	41.710	41.710	42.600	41.710	43.460	0.770	0.000000	43.84	41.71	0.00	2
IGM	2011-11-29	0.753299	1.327490e+5	43.460	41.710	44.540	41.710	41.710	42.700	41.710	43.460	1.320	0.000000	43.84	41.71	0.00	3
IGM	2011-11-28	0.723472	1.382220e+5	43.460	41.890	44.540	41.890	41.890	42.700	41.890	43.460	1.000	0.000000	43.82	41.89	0.00	4
IGM	2011-11-25	0.708918	1.410600e+5	43.460	41.890	44.540	41.890	41.890	42.760	41.890	43.460	0.560	0.000000	43.81	41.89	0.00	5
IGM	2011-11-24	0.716756	1.395180e+5	43.460	42.000	44.540	42.000	42.000	42.790	42.000	43.460	0.790	0.000000	43.82	42.00	0.00	6
IGM	2011-11-23	0.712901	1.402720e+5	43.460	42.100	44.540	42.030	42.100	42.900	42.100	43.460	0.580	0.000000	43.82	42.10	0.00	7
IGM	2011-11-22	0.719896	1.389090e+5	43.460	42.100	44.540	42.030	42.100	43.200	42.100	43.460	0.640	0.000000	43.82	42.10	0.00	8
IGM	2011-11-21	0.724101	1.381020e+5	43.460	42.250	44.540	42.030	42.250	43.200	42.250	43.460	0.550	0.000000	43.82	42.25	0.00	9
IGM	2011-11-18	0.733264	1.363770e+5	43.460	42.250	44.540	42.030	42.250	43.200	42.250	43.460	0.700	0.000000	43.83	42.25	0.00	10
IGM	2011-11-17	0.735015	1.360520e+5	43.460	42.220	44.540	42.030	42.310	43.460	42.220	43.460	0.880	0.000000	43.83	42.22	0.00	11
IGM	2011-11-16	0.727384	1.374790e+5	43.460	42.030	44.540	42.030	42.660	43.460	42.030	43.460	0.590	0.000000	43.82	42.03	0.00	12
IGM	2011-11-15	0.734615	1.361260e+5	43.460	42.030	44.540	42.030	42.660	43.460	42.030	43.460	0.460	0.000000	43.83	42.03	0.00	13
IGM	2011-11-14	0.749068	1.334990e+5	43.460	42.030	44.540	42.030	42.760	43.460	42.030	43.460	0.540	0.000000	43.83	42.03	0.00	14
IGM	2011-11-11	0.760072	1.315670e+5	43.460	42.030	44.540	42.030	42.790	43.460	42.030	43.460	0.990	0.000000	43.84	42.03	0.00	15
IGM	2011-11-10	0.747970	1.336950e+5	43.460	42.030	44.540	42.030	42.900	43.460	42.030	43.460	0.780	0.000000	43.83	42.03	0.00	16
IGM	2011-11-09	0.746284	1.339970e+5	44.180	42.030	44.540	41.530	42.500	43.460	42.030	44.180	0.660	0.000000	44.55	42.03	0.00	17
IGM	2011-11-08	0.750826	1.331870e+5	44.180	42.030	44.540	41.300	42.500	43.460	42.030	44.180	0.420	0.000000	44.56	42.03	0.00	18
IGM	2011-11-07	0.768238	1.301680e+5	44.180	42.030	44.540	41.300	42.430	43.460	42.030	44.180	0.290	0.000000	44.56	42.03	0.00	19
IGM	2011-11-04	0.793408	1.260390e+5	44.180	42.030	44.540	41.300	42.410	43.460	42.030	44.180	0.890	0.000000	44.58	42.03	0.00	20
IGM	2011-11-03	0.788324	1.268510e+5	44.180	42.030	44.540	41.300	42.220	43.240	42.030	44.180	0.670	0.000000	44.57	42.03	0.00	21
IGM	2011-11-02	0.794552	1.258570e+5	44.180	42.030	44.540	41.300	42.030	43.240	42.030	44.180	0.620	0.000000	44.58	42.03	0.00	22
IGM	2011-11-01	0.803739	1.244190e+5	44.180	42.030	44.540	41.300	42.030	43.240	42.030	44.180	0.930	0.000000	44.58	42.03	0.00	23
IGM	2011-10-31	0.797093	1.254560e+5	44.540	42.030	44.540	41.300	42.030	43.240	42.030	44.540	0.720	0.000000	44.94	42.03	0.00	24
IGM	2011-10-28	0.801151	1.248200e+5	44.540	42.030	44.540	41.300	42.030	43.200	42.030	44.540	0.420	0.000000	44.94	42.03	0.00	25
IGM	2011-10-27	0.821212	1.217710e+5	44.540	42.030	44.540	41.300	42.030	43.260	42.030	44.540	0.970	0.000000	44.95	42.03	0.00	26
IGM	2011-10-26	0.813381	1.229440e+5	44.540	42.030	44.540	41.300	42.030	44.180	42.030	44.540	0.330	0.000000	44.95	42.03	0.00	27
IGM	2011-10-25	0.838822	1.192150e+5	44.540	42.030	46.060	41.300	42.030	44.180	42.030	44.540	0.480	0.000000	44.96	42.03	0.00	28
