#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
INN-UN	2011-12-01	0.172528	5.796160e+5	4.540	4.030	4.540	3.460	4.090	4.540	4.030	4.540	0.120	0.000000	4.63	4.03	0.00	1
INN-UN	2011-11-30	0.175293	5.704750e+5	4.540	4.030	4.540	3.460	4.090	4.540	4.030	4.540	0.090	0.000000	4.63	4.03	0.00	2
INN-UN	2011-11-29	0.179782	5.562300e+5	4.540	3.910	4.540	3.460	4.090	4.540	3.910	4.540	0.180	0.000000	4.63	3.91	0.00	3
INN-UN	2011-11-28	0.179770	5.562660e+5	4.540	3.910	4.540	3.460	4.090	4.540	3.910	4.540	0.110	0.000000	4.63	3.91	0.00	4
INN-UN	2011-11-25	0.183442	5.451300e+5	4.540	3.910	4.540	3.460	4.150	4.540	3.910	4.540	0.110	0.000000	4.63	3.91	0.00	5
INN-UN	2011-11-24	0.187308	5.338810e+5	4.540	3.910	4.620	3.460	4.040	4.540	3.910	4.540	0.090	0.000000	4.63	3.91	0.00	6
INN-UN	2011-11-23	0.192429	5.196720e+5	4.540	3.910	4.620	3.460	4.040	4.540	3.910	4.540	0.170	0.000000	4.64	3.91	0.00	7
INN-UN	2011-11-22	0.193610	5.165030e+5	4.540	3.910	4.620	3.460	4.040	4.540	3.910	4.540	0.220	0.000000	4.64	3.91	0.00	8
INN-UN	2011-11-21	0.192221	5.202350e+5	4.540	3.910	4.620	3.460	4.040	4.540	3.910	4.540	0.330	0.000000	4.64	3.91	0.00	9
INN-UN	2011-11-18	0.184969	5.406310e+5	4.510	3.910	4.620	3.460	4.040	4.510	3.910	4.510	0.150	0.000000	4.60	3.91	0.00	10
INN-UN	2011-11-17	0.186810	5.353040e+5	4.510	3.910	4.620	3.460	4.030	4.510	3.910	4.510	0.200	0.000000	4.60	3.91	0.00	11
INN-UN	2011-11-16	0.186115	5.373010e+5	4.510	3.910	4.620	3.460	4.030	4.510	3.910	4.510	0.220	0.000000	4.60	3.91	0.00	12
INN-UN	2011-11-15	0.184332	5.424990e+5	4.380	3.910	4.620	3.460	3.910	4.380	3.910	4.380	0.180	0.000000	4.47	3.91	0.00	13
INN-UN	2011-11-14	0.184560	5.418290e+5	4.300	3.910	4.620	3.460	3.910	4.280	3.910	4.300	0.290	0.000000	4.39	3.91	0.00	14
INN-UN	2011-11-11	0.179011	5.586260e+5	4.300	3.910	4.620	3.460	3.910	4.280	3.910	4.300	0.250	0.000000	4.39	3.91	0.00	15
INN-UN	2011-11-10	0.175274	5.705340e+5	4.300	3.910	4.680	3.460	3.910	4.290	3.910	4.300	0.130	0.000000	4.39	3.91	0.00	16
INN-UN	2011-11-09	0.177657	5.628820e+5	4.300	3.910	4.750	3.460	3.910	4.290	3.910	4.300	0.230	0.000000	4.39	3.91	0.00	17
INN-UN	2011-11-08	0.174902	5.717480e+5	4.300	3.650	4.810	3.460	3.910	4.290	3.650	4.300	0.170	0.000000	4.39	3.65	0.00	18
INN-UN	2011-11-07	0.175160	5.709060e+5	4.300	3.460	4.840	3.460	3.910	4.300	3.460	4.300	0.060	0.000000	4.39	3.46	0.00	19
INN-UN	2011-11-04	0.181221	5.518110e+5	4.300	3.460	5.010	3.460	3.910	4.300	3.460	4.300	0.180	0.000000	4.39	3.46	0.00	20
INN-UN	2011-11-03	0.181286	5.516160e+5	4.300	3.460	5.010	3.460	3.910	4.300	3.460	4.300	0.060	0.000000	4.39	3.46	0.00	21
INN-UN	2011-11-02	0.187669	5.328530e+5	4.300	3.460	5.010	3.460	3.910	4.300	3.460	4.300	0.170	0.000000	4.39	3.46	0.00	22
INN-UN	2011-11-01	0.188599	5.302250e+5	4.300	3.460	5.010	3.460	4.120	4.300	3.460	4.300	0.260	0.000000	4.39	3.46	0.00	23
INN-UN	2011-10-31	0.184841	5.410050e+5	4.320	3.460	5.010	3.460	3.970	4.300	3.460	4.320	0.200	0.000000	4.41	3.46	0.00	24
INN-UN	2011-10-28	0.184043	5.433500e+5	4.320	3.460	5.020	3.460	3.960	4.300	3.460	4.320	0.230	0.000000	4.41	3.46	0.00	25
INN-UN	2011-10-27	0.181625	5.505860e+5	4.360	3.460	5.020	3.460	3.940	4.300	3.460	4.360	0.080	0.000000	4.45	3.46	0.00	26
INN-UN	2011-10-26	0.186973	5.348360e+5	4.360	3.460	5.020	3.460	3.910	4.300	3.460	4.360	0.080	0.000000	4.45	3.46	0.00	27
INN-UN	2011-10-25	0.192603	5.192020e+5	4.360	3.460	5.020	3.460	3.650	4.300	3.460	4.360	0.180	0.000000	4.46	3.46	0.00	28
INN-UN	2011-10-24	0.193267	5.174200e+5	4.360	3.460	5.020	3.460	3.460	4.240	3.460	4.360	0.140	0.000000	4.46	3.46	0.00	29
INN-UN	2011-10-21	0.196070	5.100220e+5	4.360	3.460	5.250	3.460	3.460	4.240	3.460	4.360	0.090	0.000000	4.46	3.46	0.00	30
INN-UN	2011-10-20	0.201653	4.959020e+5	4.480	3.460	5.560	3.460	3.460	4.150	3.460	4.480	0.090	0.000000	4.58	3.46	0.00	31
INN-UN	2011-10-19	0.207529	4.818600e+5	4.540	3.460	5.690	3.460	3.460	4.120	3.460	4.540	0.150	0.000000	4.64	3.46	0.00	32
INN-UN	2011-10-18	0.210557	4.749300e+5	4.540	3.460	5.690	3.460	3.460	4.010	3.460	4.540	0.220	0.000000	4.65	3.46	0.00	33
INN-UN	2011-10-17	0.210060	4.760540e+5	4.540	3.460	5.690	3.460	3.460	4.320	3.460	4.540	0.140	0.000000	4.65	3.46	0.00	34
INN-UN	2011-10-14	0.213748	4.678420e+5	4.540	3.460	5.780	3.460	3.460	4.320	3.460	4.540	0.100	0.000000	4.65	3.46	0.00	35
INN-UN	2011-10-13	0.219734	4.550950e+5	4.540	3.460	5.840	3.460	3.460	4.360	3.460	4.540	0.210	0.000000	4.65	3.46	0.00	36
INN-UN	2011-10-12	0.220247	4.540370e+5	4.540	3.460	5.840	3.460	3.460	4.360	3.460	4.540	0.370	0.000000	4.65	3.46	0.00	37
INN-UN	2011-10-11	0.212365	4.708880e+5	4.540	3.460	5.840	3.460	3.460	4.360	3.460	4.540	0.280	0.000000	4.65	3.46	0.00	38
INN-UN	2011-10-07	0.208805	4.789160e+5	4.540	3.470	5.840	3.470	3.470	4.360	3.470	4.540	0.280	0.000000	4.64	3.47	0.00	39
INN-UN	2011-10-06	0.205058	4.876670e+5	4.540	3.600	6.580	3.600	3.600	4.360	3.600	4.540	0.400	0.000000	4.64	3.60	0.00	40
INN-UN	2011-10-05	0.194798	5.133530e+5	4.620	3.790	6.590	3.790	3.790	4.480	3.790	4.620	0.310	0.000000	4.72	3.79	0.00	41
INN-UN	2011-10-04	0.188735	5.298450e+5	4.620	4.010	6.610	4.010	4.010	4.540	4.010	4.620	0.520	0.000000	4.71	4.01	0.00	42
INN-UN	2011-10-03	0.171300	5.837730e+5	4.620	4.180	6.630	4.180	4.180	4.540	4.180	4.620	0.420	0.000000	4.71	4.18	0.00	43
INN-UN	2011-09-30	0.158210	6.320710e+5	4.620	4.180	6.760	4.180	4.180	4.540	4.180	4.620	0.090	0.000000	4.70	4.18	0.00	44
INN-UN	2011-09-29	0.161800	6.180470e+5	4.620	4.180	6.760	4.180	4.180	4.540	4.180	4.620	0.160	0.000000	4.70	4.18	0.00	45
INN-UN	2011-09-28	0.161895	6.176850e+5	4.620	4.180	6.780	4.180	4.180	4.540	4.180	4.620	0.150	0.000000	4.70	4.18	0.00	46
INN-UN	2011-09-27	0.162521	6.153060e+5	4.620	4.180	6.780	4.180	4.180	4.540	4.180	4.620	0.270	0.000000	4.70	4.18	0.00	47
INN-UN	2011-09-26	0.156864	6.374950e+5	4.620	4.220	6.780	4.220	4.220	4.540	4.220	4.620	0.150	0.000000	4.70	4.22	0.00	48
INN-UN	2011-09-23	0.157225	6.360300e+5	4.620	4.220	6.780	4.220	4.220	4.540	4.220	4.620	0.070	0.000000	4.70	4.22	0.00	49
INN-UN	2011-09-22	0.161816	6.179860e+5	4.620	4.260	6.780	4.260	4.300	4.540	4.260	4.620	0.270	0.000000	4.70	4.26	0.00	50
INN-UN	2011-09-21	0.156122	6.405240e+5	4.680	4.260	6.850	4.260	4.300	4.620	4.260	4.680	0.150	0.000000	4.76	4.26	0.00	51
INN-UN	2011-09-20	0.156444	6.392050e+5	4.750	4.260	6.850	4.260	4.300	4.620	4.260	4.750	0.200	0.000000	4.83	4.26	0.00	52
INN-UN	2011-09-19	0.154152	6.487100e+5	4.810	4.260	6.850	4.260	4.300	4.620	4.260	4.810	0.060	0.000000	4.89	4.26	0.00	53
