#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
INTC	2011-12-02	0.659298	1.516760e+5	25.340	22.700	25.340	20.620	22.700	24.920	22.700	25.340	0.540	0.000000	25.67	22.70	0.00	1
INTC	2011-12-01	0.665577	1.502460e+5	25.340	22.700	25.340	20.620	22.700	24.940	22.700	25.340	0.570	0.000000	25.67	22.70	0.00	2
INTC	2011-11-30	0.670607	1.491190e+5	25.340	22.700	25.340	20.620	22.700	25.340	22.700	25.340	1.360	0.000000	25.68	22.70	0.00	3
INTC	2011-11-29	0.634323	1.576480e+5	25.340	22.700	25.340	20.280	22.700	25.340	22.700	25.340	0.480	0.000000	25.66	22.70	0.00	4
INTC	2011-11-28	0.642446	1.556550e+5	25.340	22.700	25.340	19.700	22.700	25.340	22.700	25.340	0.840	0.000000	25.66	22.70	0.00	5
INTC	2011-11-25	0.632048	1.582160e+5	25.340	22.700	25.340	19.700	22.700	25.340	22.700	25.340	0.710	0.000000	25.66	22.70	0.00	6
INTC	2011-11-23	0.627945	1.592500e+5	25.340	23.240	25.340	19.700	23.240	25.340	23.240	25.340	0.550	0.000000	25.65	23.24	0.00	7
INTC	2011-11-22	0.632048	1.582160e+5	25.340	23.570	25.340	19.540	23.570	25.340	23.570	25.340	0.480	0.000000	25.66	23.57	0.00	8
INTC	2011-11-21	0.640050	1.562380e+5	25.340	23.740	25.340	19.540	23.840	25.340	23.740	25.340	0.940	0.000000	25.66	23.74	0.00	9
INTC	2011-11-18	0.624264	1.601890e+5	25.340	23.740	25.340	19.540	23.740	25.340	23.740	25.340	0.410	0.000000	25.65	23.74	0.00	10
INTC	2011-11-17	0.635541	1.573460e+5	25.340	23.610	25.340	19.540	23.740	25.340	23.610	25.340	0.830	0.000000	25.66	23.61	0.00	11
INTC	2011-11-16	0.625306	1.599220e+5	25.340	23.610	25.340	19.540	23.740	25.340	23.610	25.340	0.620	0.000000	25.65	23.61	0.00	12
INTC	2011-11-15	0.625585	1.598500e+5	25.130	23.400	25.130	19.540	23.740	24.850	23.400	25.130	0.840	0.000000	25.44	23.40	0.00	13
INTC	2011-11-14	0.614300	1.627870e+5	25.130	23.280	25.130	19.540	23.740	24.850	23.280	25.130	0.420	0.000000	25.44	23.28	0.00	14
INTC	2011-11-11	0.624526	1.601210e+5	25.130	23.280	25.130	19.420	23.740	24.980	23.280	25.130	0.840	0.000000	25.44	23.28	0.00	15
INTC	2011-11-10	0.613186	1.630830e+5	25.130	23.280	25.130	19.420	23.740	25.130	23.280	25.130	0.510	0.000000	25.44	23.28	0.00	16
INTC	2011-11-09	0.618617	1.616510e+5	25.130	23.120	25.130	19.420	23.740	25.130	23.120	25.130	0.950	0.000000	25.44	23.12	0.00	17
INTC	2011-11-08	0.601175	1.663410e+5	25.130	22.990	25.130	19.380	23.740	25.130	22.990	25.130	0.510	0.000000	25.43	22.99	0.00	18
INTC	2011-11-07	0.605974	1.650240e+5	25.130	22.880	25.130	19.190	23.740	25.130	22.880	25.130	0.680	0.000000	25.43	22.88	0.00	19
INTC	2011-11-04	0.602078	1.660910e+5	25.130	22.290	25.130	19.190	23.850	25.130	22.290	25.130	0.540	0.000000	25.43	22.29	0.00	20
INTC	2011-11-03	0.605345	1.651950e+5	25.130	22.030	25.130	19.190	23.610	25.130	22.030	25.130	0.950	0.000000	25.43	22.03	0.00	21
INTC	2011-11-02	0.587205	1.702980e+5	25.130	21.850	25.130	19.190	23.610	25.130	21.850	25.130	0.510	0.000000	25.42	21.85	0.00	22
INTC	2011-11-01	0.591269	1.691280e+5	25.130	21.220	25.130	19.190	23.400	25.130	21.220	25.130	0.720	0.000000	25.43	21.22	0.00	23
INTC	2011-10-31	0.584494	1.710880e+5	25.130	20.620	25.130	19.190	23.280	25.130	20.620	25.130	0.490	0.000000	25.42	20.62	0.00	24
INTC	2011-10-28	0.589467	1.696450e+5	25.130	20.620	25.130	19.190	23.280	25.130	20.620	25.130	0.400	0.000000	25.42	20.62	0.00	25
INTC	2011-10-27	0.599439	1.668230e+5	24.700	20.620	24.700	19.190	23.280	24.700	20.620	24.700	0.500	0.000000	25.00	20.62	0.00	26
INTC	2011-10-26	0.604672	1.653790e+5	24.630	20.620	24.630	19.190	23.120	24.630	20.620	24.630	0.500	0.000000	24.93	20.62	0.00	27
INTC	2011-10-25	0.610182	1.638860e+5	24.590	20.620	24.590	19.190	22.990	24.590	20.620	24.590	0.460	0.000000	24.90	20.62	0.00	28
INTC	2011-10-24	0.618086	1.617900e+5	24.240	20.620	24.240	19.190	22.880	24.240	20.620	24.240	0.770	0.000000	24.55	20.62	0.00	29
INTC	2011-10-21	0.610090	1.639100e+5	24.240	20.620	24.240	19.190	22.290	24.240	20.620	24.240	0.640	0.000000	24.55	20.62	0.00	30
INTC	2011-10-20	0.608516	1.643340e+5	24.240	20.620	24.240	19.190	22.030	24.240	20.620	24.240	0.890	0.000000	24.54	20.62	0.00	31
INTC	2011-10-19	0.593701	1.684350e+5	23.500	20.620	23.500	19.190	21.850	23.500	20.620	23.500	1.100	0.000000	23.80	20.62	0.00	32
INTC	2011-10-18	0.567054	1.763500e+5	23.500	20.620	23.500	19.190	21.220	23.500	20.620	23.500	0.420	0.000000	23.78	20.62	0.00	33
INTC	2011-10-17	0.574794	1.739750e+5	23.500	20.620	23.500	19.190	20.620	23.500	20.620	23.500	0.460	0.000000	23.79	20.62	0.00	34
