#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ISH	2011-12-02	0.791093	1.264070e+5	20.400	16.660	21.210	16.660	16.660	18.820	16.660	20.400	0.580	0.000000	20.80	16.66	0.00	1
ISH	2011-12-01	0.802204	1.246570e+5	20.400	16.660	21.210	16.660	16.660	18.820	16.660	20.400	1.000	0.000000	20.80	16.66	0.00	2
ISH	2011-11-30	0.791793	1.262960e+5	20.400	16.660	21.210	16.660	16.660	19.080	16.660	20.400	1.930	0.000000	20.80	16.66	0.00	3
ISH	2011-11-29	0.731888	1.366330e+5	20.400	16.660	21.210	16.660	16.660	19.230	16.660	20.400	0.540	0.000000	20.77	16.66	0.00	4
ISH	2011-11-28	0.741987	1.347730e+5	20.940	16.660	21.210	16.660	16.660	20.330	16.660	20.940	0.690	0.000000	21.31	16.66	0.00	5
ISH	2011-11-25	0.744723	1.342780e+5	20.970	16.730	21.210	16.730	16.730	20.330	16.730	20.970	0.250	0.000000	21.34	16.73	0.00	6
ISH	2011-11-23	0.770761	1.297420e+5	20.970	17.610	21.210	16.980	17.610	20.330	17.610	20.970	0.920	0.000000	21.36	17.61	0.00	7
ISH	2011-11-22	0.762907	1.310780e+5	20.970	17.790	21.210	16.980	17.790	20.400	17.790	20.970	1.120	0.000000	21.35	17.79	0.00	8
ISH	2011-11-21	0.744112	1.343880e+5	21.210	17.790	21.210	16.980	17.790	20.400	17.790	21.210	1.010	0.000000	21.58	17.79	0.00	9
ISH	2011-11-18	0.730118	1.369640e+5	21.210	17.790	21.210	16.980	17.790	20.400	17.790	21.210	0.410	0.000000	21.58	17.79	0.00	10
ISH	2011-11-17	0.746966	1.338750e+5	21.210	18.270	21.210	16.980	18.270	20.400	18.270	21.210	0.730	0.000000	21.58	18.27	0.00	11
ISH	2011-11-16	0.747859	1.337150e+5	21.210	19.080	21.210	16.980	19.080	20.400	19.080	21.210	0.810	0.000000	21.58	19.08	0.00	12
ISH	2011-11-15	0.744589	1.343020e+5	21.210	19.230	21.210	16.980	19.230	20.400	19.230	21.210	0.610	0.000000	21.58	19.23	0.00	13
ISH	2011-11-14	0.751673	1.330370e+5	21.210	19.500	21.210	16.650	19.510	20.400	19.500	21.210	1.170	0.000000	21.59	19.50	0.00	14
ISH	2011-11-11	0.729655	1.370510e+5	21.210	19.500	21.210	16.650	19.510	20.940	19.500	21.210	0.920	0.000000	21.57	19.50	0.00	15
ISH	2011-11-10	0.719637	1.389590e+5	21.210	19.500	21.210	16.650	19.510	20.970	19.500	21.210	0.480	0.000000	21.57	19.50	0.00	16
ISH	2011-11-09	0.732250	1.365650e+5	21.210	19.500	21.210	16.650	20.020	20.970	19.500	21.210	0.940	0.000000	21.58	19.50	0.00	17
ISH	2011-11-08	0.721315	1.386360e+5	21.210	18.670	21.210	16.650	20.020	20.970	18.670	21.210	0.660	0.000000	21.57	18.67	0.00	18
ISH	2011-11-07	0.724542	1.380180e+5	21.210	18.110	21.210	16.650	20.020	21.210	18.110	21.210	0.860	0.000000	21.57	18.11	0.00	19
ISH	2011-11-04	0.717413	1.393900e+5	21.210	17.400	21.210	16.650	20.020	21.210	17.400	21.210	0.410	0.000000	21.57	17.40	0.00	20
ISH	2011-11-03	0.733593	1.363150e+5	21.210	17.400	21.210	16.650	19.650	21.210	17.400	21.210	0.430	0.000000	21.58	17.40	0.00	21
ISH	2011-11-02	0.749571	1.334100e+5	21.210	17.400	21.210	16.650	19.600	21.210	17.400	21.210	0.410	0.000000	21.58	17.40	0.00	22
ISH	2011-11-01	0.767444	1.303030e+5	21.210	17.400	21.210	16.650	19.600	21.210	17.400	21.210	0.730	0.000000	21.59	17.40	0.00	23
ISH	2011-10-31	0.769414	1.299690e+5	21.210	16.980	21.210	16.650	19.500	21.210	16.980	21.210	0.600	0.000000	21.59	16.98	0.00	24
ISH	2011-10-28	0.778331	1.284800e+5	21.210	16.980	21.210	16.650	19.500	21.210	16.980	21.210	0.500	0.000000	21.60	16.98	0.00	25
ISH	2011-10-27	0.792980	1.261070e+5	21.210	16.980	21.210	16.650	19.500	21.210	16.980	21.210	0.510	0.000000	21.61	16.98	0.00	26
ISH	2011-10-26	0.807873	1.237820e+5	21.210	16.980	21.210	16.650	19.500	21.210	16.980	21.210	0.880	0.000000	21.61	16.98	0.00	27
ISH	2011-10-25	0.804077	1.243660e+5	21.210	16.980	21.210	16.650	18.670	21.210	16.980	21.210	0.790	0.000000	21.61	16.98	0.00	28
ISH	2011-10-24	0.804818	1.242520e+5	20.510	16.980	20.760	16.650	18.110	20.510	16.980	20.510	0.890	0.000000	20.91	16.98	0.00	29
ISH	2011-10-21	0.800335	1.249480e+5	20.340	16.980	20.760	16.650	17.400	20.340	16.980	20.340	0.890	0.000000	20.74	16.98	0.00	30
ISH	2011-10-20	0.795616	1.256890e+5	20.340	16.980	20.780	16.650	17.400	20.340	16.980	20.340	0.220	0.000000	20.74	16.98	0.00	31
ISH	2011-10-19	0.825911	1.210780e+5	20.340	16.980	20.780	16.650	17.400	20.340	16.980	20.340	0.620	0.000000	20.75	16.98	0.00	32
ISH	2011-10-18	0.836749	1.195100e+5	20.340	16.980	21.190	16.650	17.400	20.340	16.980	20.340	0.620	0.000000	20.76	16.98	0.00	33
ISH	2011-10-17	0.848157	1.179030e+5	20.340	16.980	21.190	16.650	16.980	20.340	16.980	20.340	0.840	0.000000	20.76	16.98	0.00	34
ISH	2011-10-14	0.848586	1.178430e+5	19.810	16.980	21.260	16.650	16.980	19.810	16.980	19.810	0.580	0.000000	20.23	16.98	0.00	35
ISH	2011-10-13	0.862722	1.159120e+5	19.690	16.980	21.260	16.650	16.980	19.560	16.980	19.690	0.660	0.000000	20.12	16.98	0.00	36
ISH	2011-10-12	0.873392	1.144960e+5	19.690	16.980	21.900	16.650	16.980	18.670	16.980	19.690	0.960	0.000000	20.13	16.98	0.00	37
ISH	2011-10-11	0.868833	1.150970e+5	19.690	16.980	21.900	16.650	16.980	18.960	16.980	19.690	0.980	0.000000	20.12	16.98	0.00	38
ISH	2011-10-10	0.862982	1.158770e+5	19.690	16.980	21.900	16.650	16.980	18.960	16.980	19.690	0.710	0.000000	20.12	16.98	0.00	39
ISH	2011-10-07	0.871034	1.148060e+5	19.690	16.980	21.900	16.650	16.980	18.960	16.980	19.690	0.880	0.000000	20.13	16.98	0.00	40
ISH	2011-10-06	0.870562	1.148680e+5	19.690	16.980	21.900	16.650	16.980	18.960	16.980	19.690	0.820	0.000000	20.13	16.98	0.00	41
ISH	2011-10-05	0.873223	1.145180e+5	19.690	16.980	21.900	16.650	16.980	18.960	16.980	19.690	0.990	0.000000	20.13	16.98	0.00	42
ISH	2011-10-04	0.867077	1.153300e+5	19.690	16.980	21.900	16.650	16.980	18.960	16.980	19.690	1.460	0.000000	20.12	16.98	0.00	43
ISH	2011-10-03	0.835871	1.196360e+5	19.690	17.010	21.900	16.650	17.400	19.690	17.010	19.690	1.540	0.000000	20.11	17.01	0.00	44
ISH	2011-09-30	0.798811	1.251860e+5	19.690	17.010	21.900	16.650	17.400	19.690	17.010	19.690	0.550	0.000000	20.09	17.01	0.00	45
ISH	2011-09-29	0.811907	1.231670e+5	19.690	17.010	21.900	16.650	17.400	19.690	17.010	19.690	0.550	0.000000	20.10	17.01	0.00	46
ISH	2011-09-28	0.825691	1.211110e+5	19.690	17.010	21.900	16.650	17.400	19.690	17.010	19.690	0.920	0.000000	20.10	17.01	0.00	47
ISH	2011-09-27	0.820727	1.218430e+5	19.690	17.010	21.900	16.650	17.400	19.690	17.010	19.690	1.160	0.000000	20.10	17.01	0.00	48
ISH	2011-09-26	0.802871	1.245530e+5	19.690	16.650	21.900	16.650	17.220	19.690	16.650	19.690	0.940	0.000000	20.09	16.65	0.00	49
ISH	2011-09-23	0.795654	1.256830e+5	19.690	16.650	21.900	16.650	17.010	19.690	16.650	19.690	0.760	0.000000	20.09	16.65	0.00	50
ISH	2011-09-22	0.797530	1.253870e+5	19.690	16.650	21.900	16.650	17.010	19.690	16.650	19.690	0.640	0.000000	20.09	16.65	0.00	51
ISH	2011-09-21	0.805821	1.240970e+5	19.690	16.650	21.900	16.650	17.010	19.690	16.650	19.690	1.330	0.000000	20.09	16.65	0.00	52
ISH	2011-09-20	0.778233	1.284960e+5	19.690	16.650	21.900	16.650	17.010	19.690	16.650	19.690	1.170	0.000000	20.08	16.65	0.00	53
ISH	2011-09-19	0.757614	1.319930e+5	19.380	16.650	21.900	16.650	17.010	19.380	16.650	19.380	0.560	0.000000	19.76	16.65	0.00	54
