#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
ISIS	2011-12-02	0.324827	3.078560e+5	8.280	6.470	8.570	6.470	6.470	7.420	6.470	8.280	0.170	0.000000	8.44	6.47	0.00	1
ISIS	2011-12-01	0.332976	3.003220e+5	8.280	6.470	8.570	6.470	6.470	7.420	6.470	8.280	0.180	0.000000	8.45	6.47	0.00	2
ISIS	2011-11-30	0.341028	2.932310e+5	8.280	6.470	8.570	6.470	6.470	7.040	6.470	8.280	0.490	0.000000	8.45	6.47	0.00	3
ISIS	2011-11-29	0.333187	3.001320e+5	8.290	6.470	8.570	6.470	6.470	7.040	6.470	8.290	0.180	0.000000	8.46	6.47	0.00	4
ISIS	2011-11-28	0.341249	2.930410e+5	8.570	6.470	8.570	6.470	6.470	7.140	6.470	8.570	0.510	0.000000	8.74	6.47	0.00	5
ISIS	2011-11-25	0.332368	3.008720e+5	8.570	6.470	8.570	6.470	6.470	7.140	6.470	8.570	0.430	0.000000	8.74	6.47	0.00	6
ISIS	2011-11-23	0.327229	3.055960e+5	8.570	6.570	8.570	6.530	6.570	7.160	6.570	8.570	0.320	0.000000	8.73	6.57	0.00	7
ISIS	2011-11-22	0.327610	3.052410e+5	8.570	6.570	8.570	6.530	6.570	7.530	6.570	8.570	0.170	0.000000	8.73	6.57	0.00	8
ISIS	2011-11-21	0.335905	2.977030e+5	8.570	6.680	8.570	6.530	6.680	8.280	6.680	8.570	0.250	0.000000	8.74	6.68	0.00	9
ISIS	2011-11-18	0.340426	2.937490e+5	8.570	6.840	8.570	6.530	6.840	8.280	6.840	8.570	0.240	0.000000	8.74	6.84	0.00	10
ISIS	2011-11-17	0.345712	2.892580e+5	8.570	6.890	8.570	6.530	6.890	8.280	6.890	8.570	0.150	0.000000	8.74	6.89	0.00	11
ISIS	2011-11-16	0.356012	2.808890e+5	8.570	6.900	8.570	6.530	6.900	8.280	6.900	8.570	0.220	0.000000	8.75	6.90	0.00	12
ISIS	2011-11-15	0.363171	2.753520e+5	8.570	6.900	8.570	6.530	6.900	8.280	6.900	8.570	0.260	0.000000	8.75	6.90	0.00	13
ISIS	2011-11-14	0.368601	2.712960e+5	8.570	6.900	8.570	6.530	6.900	8.290	6.900	8.570	0.260	0.000000	8.75	6.90	0.00	14
ISIS	2011-11-11	0.374317	2.671530e+5	8.570	6.900	8.570	6.530	6.900	8.570	6.900	8.570	0.240	0.000000	8.76	6.90	0.00	15
ISIS	2011-11-10	0.381386	2.622010e+5	8.570	7.160	8.570	6.530	7.160	8.570	7.160	8.570	0.470	0.000000	8.76	7.16	0.00	16
ISIS	2011-11-09	0.376722	2.654470e+5	8.570	7.440	8.570	6.530	7.530	8.570	7.440	8.570	0.420	0.000000	8.76	7.44	0.00	17
ISIS	2011-11-08	0.374445	2.670620e+5	8.570	7.430	8.570	6.530	7.730	8.570	7.430	8.570	0.870	0.000000	8.76	7.43	0.00	18
ISIS	2011-11-07	0.348363	2.870570e+5	8.570	7.430	8.570	6.530	7.730	8.570	7.430	8.570	0.400	0.000000	8.74	7.43	0.00	19
ISIS	2011-11-04	0.345645	2.893140e+5	8.570	7.260	8.570	6.530	7.730	8.570	7.260	8.570	0.210	0.000000	8.74	7.26	0.00	20
