#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
JNJ	2011-12-02	1.105670	9.044290e+4	65.250	61.270	65.600	61.270	61.270	64.720	61.270	65.250	1.590	0.000000	65.80	61.27	0.00	1
JNJ	2011-12-01	1.080180	9.257720e+4	65.250	61.270	65.600	61.270	61.270	64.720	61.270	65.250	0.600	0.000000	65.79	61.27	0.00	2
JNJ	2011-11-30	1.105450	9.046070e+4	65.250	61.270	65.600	61.270	61.270	64.990	61.270	65.250	1.960	0.000000	65.80	61.27	0.00	3
JNJ	2011-11-29	1.060480	9.429730e+4	65.250	61.270	65.600	61.270	61.270	64.990	61.270	65.250	0.760	0.000000	65.78	61.27	0.00	4
JNJ	2011-11-28	1.076290	9.291170e+4	65.600	61.270	65.600	61.270	61.270	65.250	61.270	65.600	1.440	0.000000	66.14	61.27	0.00	5
JNJ	2011-11-25	1.057150	9.459410e+4	65.600	61.990	65.600	61.590	61.990	65.250	61.990	65.600	0.940	0.000000	66.13	61.99	0.00	6
JNJ	2011-11-23	1.063310	9.404560e+4	65.600	62.900	65.600	61.590	62.900	65.250	62.900	65.600	0.910	0.000000	66.13	62.90	0.00	7
JNJ	2011-11-22	1.071380	9.333730e+4	65.600	62.940	65.600	61.590	62.940	65.250	62.940	65.600	0.500	0.000000	66.14	62.94	0.00	8
JNJ	2011-11-21	1.101460	9.078900e+4	65.600	63.380	65.600	61.590	63.530	65.250	63.380	65.600	0.970	0.000000	66.15	63.38	0.00	9
JNJ	2011-11-18	1.108370	9.022220e+4	65.600	63.380	65.600	61.590	63.530	65.250	63.380	65.600	0.640	0.000000	66.15	63.38	0.00	10
JNJ	2011-11-17	1.133030	8.825930e+4	65.600	62.530	65.800	61.590	63.530	65.250	62.530	65.600	1.210	0.000000	66.17	62.53	0.00	11
JNJ	2011-11-16	1.128970	8.857600e+4	65.600	62.530	65.800	61.590	63.530	65.250	62.530	65.600	0.860	0.000000	66.16	62.53	0.00	12
JNJ	2011-11-15	1.143130	8.747910e+4	65.600	62.530	65.860	61.590	63.380	65.250	62.530	65.600	0.780	0.000000	66.17	62.53	0.00	13
JNJ	2011-11-14	1.162240	8.604050e+4	65.600	62.530	65.860	61.590	63.380	65.250	62.530	65.600	0.680	0.000000	66.18	62.53	0.00	14
JNJ	2011-11-11	1.187620	8.420170e+4	65.600	62.530	65.860	61.590	63.380	65.600	62.530	65.600	1.370	0.000000	66.19	62.53	0.00	15
JNJ	2011-11-10	1.178030	8.488780e+4	65.600	62.530	65.860	61.590	63.380	65.600	62.530	65.600	0.890	0.000000	66.19	62.53	0.00	16
JNJ	2011-11-09	1.193180	8.380930e+4	65.600	62.530	65.860	61.590	63.380	65.600	62.530	65.600	1.760	0.000000	66.20	62.53	0.00	17
JNJ	2011-11-08	1.163350	8.595850e+4	65.600	62.530	65.860	61.590	63.380	65.600	62.530	65.600	1.040	0.000000	66.18	62.53	0.00	18
JNJ	2011-11-07	1.169840	8.548150e+4	65.600	62.530	65.860	61.590	63.380	65.600	62.530	65.600	1.090	0.000000	66.18	62.53	0.00	19
JNJ	2011-11-04	1.174050	8.517550e+4	65.600	62.530	65.860	61.590	63.380	65.600	62.530	65.600	1.130	0.000000	66.19	62.53	0.00	20
JNJ	2011-11-03	1.176360	8.500760e+4	65.600	62.530	65.860	61.590	62.530	65.600	62.530	65.600	0.880	0.000000	66.19	62.53	0.00	21
JNJ	2011-11-02	1.191960	8.389520e+4	65.600	62.350	65.860	61.590	62.530	65.600	62.350	65.600	1.010	0.000000	66.20	62.35	0.00	22
JNJ	2011-11-01	1.201540	8.322650e+4	65.600	62.170	65.860	61.590	62.530	65.600	62.170	65.600	1.210	0.000000	66.20	62.17	0.00	23
JNJ	2011-10-31	1.201090	8.325740e+4	65.600	62.080	65.860	61.590	62.530	65.600	62.080	65.600	1.480	0.000000	66.20	62.08	0.00	24
JNJ	2011-10-28	1.186420	8.428750e+4	65.500	62.080	65.860	61.590	62.530	65.500	62.080	65.500	0.820	0.000000	66.09	62.08	0.00	25
JNJ	2011-10-27	1.205700	8.293930e+4	64.730	62.080	65.860	60.200	62.530	64.730	62.080	64.730	1.200	0.000000	65.33	62.08	0.00	26
JNJ	2011-10-26	1.206000	8.291870e+4	64.730	62.080	65.860	60.200	62.530	64.730	62.080	64.730	0.910	0.000000	65.33	62.08	0.00	27
JNJ	2011-10-25	1.221580	8.186120e+4	64.730	62.080	65.860	60.200	62.530	64.730	62.080	64.730	1.270	0.000000	65.34	62.08	0.00	28
JNJ	2011-10-24	1.219030	8.203240e+4	64.720	62.080	65.860	60.200	62.530	64.720	62.080	64.720	1.190	0.000000	65.33	62.08	0.00	29
JNJ	2011-10-21	1.220560	8.192970e+4	64.720	61.590	65.860	60.200	62.530	64.720	61.590	64.720	1.310	0.000000	65.33	61.59	0.00	30
JNJ	2011-10-20	1.215850	8.224690e+4	64.720	61.590	65.860	60.200	62.640	64.720	61.590	64.720	0.820	0.000000	65.33	61.59	0.00	31
JNJ	2011-10-19	1.236690	8.086130e+4	64.720	61.590	65.860	60.200	62.350	64.720	61.590	64.720	2.350	0.000000	65.34	61.59	0.00	32
JNJ	2011-10-18	1.178090	8.488310e+4	64.720	61.590	65.860	60.200	62.170	64.720	61.590	64.720	1.340	0.000000	65.31	61.59	0.00	33
JNJ	2011-10-17	1.169570	8.550160e+4	64.720	61.590	65.860	60.200	62.080	64.720	61.590	64.720	1.220	0.000000	65.30	61.59	0.00	34
