#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
KEY-UN	2011-12-01	0.678375	1.474110e+5	46.990	45.310	46.990	43.720	45.310	46.500	45.310	46.990	0.750	0.000000	47.33	45.31	0.00	1
KEY-UN	2011-11-30	0.674606	1.482350e+5	46.990	45.310	46.990	43.720	45.310	46.500	45.310	46.990	0.750	0.000000	47.33	45.31	0.00	2
KEY-UN	2011-11-29	0.670637	1.491120e+5	46.990	45.310	46.990	43.720	45.310	46.500	45.310	46.990	0.190	0.000000	47.33	45.31	0.00	3
KEY-UN	2011-11-28	0.695934	1.436920e+5	46.990	45.470	46.990	43.720	45.560	46.860	45.470	46.990	0.580	0.000000	47.34	45.47	0.00	4
KEY-UN	2011-11-25	0.702036	1.424430e+5	46.990	45.470	46.990	43.720	45.700	46.990	45.470	46.990	0.330	0.000000	47.34	45.47	0.00	5
KEY-UN	2011-11-24	0.721617	1.385780e+5	46.990	45.470	46.990	43.720	45.900	46.990	45.470	46.990	0.300	0.000000	47.35	45.47	0.00	6
KEY-UN	2011-11-23	0.743807	1.344430e+5	46.990	45.470	46.990	43.720	45.930	46.990	45.470	46.990	0.360	0.000000	47.36	45.47	0.00	7
KEY-UN	2011-11-22	0.764008	1.308890e+5	46.990	45.260	46.990	43.720	45.930	46.990	45.260	46.990	0.400	0.000000	47.37	45.26	0.00	8
KEY-UN	2011-11-21	0.783166	1.276870e+5	46.990	45.260	46.990	43.720	46.050	46.990	45.260	46.990	0.440	0.000000	47.38	45.26	0.00	9
KEY-UN	2011-11-18	0.801227	1.248090e+5	46.990	45.260	46.990	43.720	46.050	46.990	45.260	46.990	0.410	0.000000	47.39	45.26	0.00	10
KEY-UN	2011-11-17	0.821818	1.216810e+5	46.990	45.260	46.990	43.720	46.050	46.990	45.260	46.990	1.040	0.000000	47.40	45.26	0.00	11
KEY-UN	2011-11-16	0.810335	1.234060e+5	46.990	45.260	46.990	43.720	46.050	46.990	45.260	46.990	0.590	0.000000	47.40	45.26	0.00	12
KEY-UN	2011-11-15	0.821931	1.216650e+5	46.990	45.260	46.990	43.290	45.500	46.990	45.260	46.990	0.490	0.000000	47.40	45.26	0.00	13
KEY-UN	2011-11-14	0.839401	1.191330e+5	46.990	45.260	46.990	42.650	45.470	46.990	45.260	46.990	0.530	0.000000	47.41	45.26	0.00	14
KEY-UN	2011-11-11	0.855686	1.168650e+5	46.850	45.130	46.850	42.650	45.470	46.850	45.130	46.850	0.680	0.000000	47.28	45.13	0.00	15
KEY-UN	2011-11-10	0.864932	1.156160e+5	46.850	45.130	46.850	42.600	45.470	46.850	45.130	46.850	0.750	0.000000	47.28	45.13	0.00	16
KEY-UN	2011-11-09	0.870981	1.148130e+5	46.850	44.900	46.850	42.330	45.470	46.850	44.900	46.850	0.630	0.000000	47.29	44.90	0.00	17
KEY-UN	2011-11-08	0.883665	1.131650e+5	46.850	44.900	46.850	41.910	45.260	46.850	44.900	46.850	0.440	0.000000	47.29	44.90	0.00	18
KEY-UN	2011-11-07	0.907015	1.102520e+5	46.850	44.650	46.850	41.910	45.260	46.850	44.650	46.850	0.590	0.000000	47.30	44.65	0.00	19
