#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
KOL	2011-12-01	1.495140	6.688350e+4	39.710	32.150	40.590	28.680	32.150	37.010	32.150	39.710	0.810	0.000000	40.46	32.15	0.00	1
KOL	2011-11-30	1.531200	6.530840e+4	39.710	32.150	40.590	28.680	32.150	37.870	32.150	39.710	3.380	0.000000	40.48	32.15	0.00	2
KOL	2011-11-29	1.433890	6.974030e+4	39.710	32.150	40.590	28.680	32.150	37.870	32.150	39.710	0.560	0.000000	40.43	32.15	0.00	3
KOL	2011-11-28	1.479890	6.757280e+4	40.590	32.150	40.590	28.680	32.150	37.910	32.150	40.590	1.780	0.000000	41.33	32.15	0.00	4
KOL	2011-11-25	1.464090	6.830180e+4	40.590	32.450	40.800	28.680	32.450	37.910	32.450	40.590	0.670	0.000000	41.32	32.45	0.00	5
KOL	2011-11-23	1.505880	6.640610e+4	40.590	33.840	41.990	28.680	33.840	37.910	33.840	40.590	1.410	0.000000	41.34	33.84	0.00	6
KOL	2011-11-22	1.510930	6.618430e+4	40.590	34.090	41.990	28.680	34.090	39.710	34.090	40.590	0.960	0.000000	41.35	34.09	0.00	7
KOL	2011-11-21	1.539930	6.493810e+4	40.590	35.540	41.990	28.680	35.540	39.710	35.540	40.590	2.130	0.000000	41.36	35.54	0.00	8
KOL	2011-11-18	1.508870	6.627470e+4	40.590	35.540	41.990	28.680	35.540	39.710	35.540	40.590	0.920	0.000000	41.34	35.54	0.00	9
KOL	2011-11-17	1.539860	6.494080e+4	40.590	35.140	41.990	28.680	37.000	39.710	35.140	40.590	1.790	0.000000	41.36	35.14	0.00	10
KOL	2011-11-16	1.526700	6.550080e+4	40.590	35.140	41.990	28.680	37.000	39.710	35.140	40.590	1.170	0.000000	41.35	35.14	0.00	11
KOL	2011-11-15	1.545470	6.470510e+4	40.590	35.140	41.990	28.680	36.800	39.710	35.140	40.590	0.740	0.000000	41.36	35.14	0.00	12
KOL	2011-11-14	1.587870	6.297760e+4	40.590	35.140	41.990	28.680	36.800	39.710	35.140	40.590	0.710	0.000000	41.38	35.14	0.00	13
KOL	2011-11-11	1.634070	6.119690e+4	40.590	35.140	41.990	28.680	36.800	40.590	35.140	40.590	1.140	0.000000	41.41	35.14	0.00	14
KOL	2011-11-10	1.660070	6.023830e+4	40.590	35.140	41.990	28.680	36.800	40.590	35.140	40.590	1.450	0.000000	41.42	35.14	0.00	15
KOL	2011-11-09	1.671130	5.983970e+4	40.590	35.090	41.990	28.680	36.800	40.590	35.090	40.590	2.700	0.000000	41.43	35.09	0.00	16
KOL	2011-11-08	1.616980	6.184370e+4	40.590	34.150	41.990	28.680	36.350	40.590	34.150	40.590	1.040	0.000000	41.40	34.15	0.00	17
KOL	2011-11-07	1.647350	6.070370e+4	40.590	33.470	41.990	28.680	36.350	40.590	33.470	40.590	1.260	0.000000	41.41	33.47	0.00	18
KOL	2011-11-04	1.667730	5.996160e+4	40.590	31.650	41.990	28.680	35.870	40.590	31.650	40.590	1.330	0.000000	41.42	31.65	0.00	19
KOL	2011-11-03	1.685510	5.932930e+4	40.590	31.650	41.990	28.680	35.140	40.590	31.650	40.590	1.430	0.000000	41.43	31.65	0.00	20
KOL	2011-11-02	1.698960	5.885970e+4	40.590	31.240	41.990	28.680	35.140	40.590	31.240	40.590	1.560	0.000000	41.44	31.24	0.00	21
KOL	2011-11-01	1.706270	5.860740e+4	40.590	29.540	42.160	28.680	35.140	40.590	29.540	40.590	2.160	0.000000	41.44	29.54	0.00	22
KOL	2011-10-31	1.682390	5.943930e+4	40.590	28.680	42.160	28.680	35.140	40.590	28.680	40.590	2.650	0.000000	41.43	28.68	0.00	23
KOL	2011-10-28	1.631460	6.129470e+4	39.830	28.680	42.160	28.680	35.140	39.830	28.680	39.830	1.490	0.000000	40.65	28.68	0.00	24
KOL	2011-10-27	1.638910	6.101620e+4	37.660	28.680	42.160	28.680	35.140	37.660	28.680	37.660	3.190	0.000000	38.48	28.68	0.00	25
KOL	2011-10-26	1.557270	6.421490e+4	37.660	28.680	42.160	28.680	35.090	37.660	28.680	37.660	1.240	0.000000	38.44	28.68	0.00	26
KOL	2011-10-25	1.573970	6.353360e+4	37.660	28.680	42.160	28.680	34.150	37.660	28.680	37.660	1.750	0.000000	38.45	28.68	0.00	27
KOL	2011-10-24	1.564710	6.390980e+4	36.420	28.680	42.160	28.680	33.470	36.420	28.680	36.420	1.870	0.000000	37.20	28.68	0.00	28
KOL	2011-10-21	1.548640	6.457290e+4	36.420	28.680	42.160	28.680	31.650	36.420	28.680	36.420	0.930	0.000000	37.19	28.68	0.00	29
KOL	2011-10-20	1.581200	6.324320e+4	36.420	28.680	46.300	28.680	31.650	36.420	28.680	36.420	1.150	0.000000	37.21	28.68	0.00	30
KOL	2011-10-19	1.603890	6.234840e+4	36.420	28.680	47.000	28.680	31.240	36.420	28.680	36.420	1.040	0.000000	37.22	28.68	0.00	31
KOL	2011-10-18	1.633570	6.121560e+4	36.780	28.680	48.490	28.680	29.540	36.420	28.680	36.780	2.260	0.000000	37.60	28.68	0.00	32
KOL	2011-10-17	1.600600	6.247660e+4	37.920	28.680	48.700	28.680	28.680	36.420	28.680	37.920	1.340	0.000000	38.72	28.68	0.00	33
KOL	2011-10-14	1.614320	6.194570e+4	39.530	28.680	48.790	28.680	28.680	35.340	28.680	39.530	1.450	0.000000	40.34	28.68	0.00	34
KOL	2011-10-13	1.622960	6.161570e+4	39.890	28.680	49.080	28.680	28.680	35.090	28.680	39.890	1.210	0.000000	40.70	28.68	0.00	35
KOL	2011-10-12	1.644700	6.080140e+4	39.890	28.680	49.890	28.680	28.680	34.150	28.680	39.890	1.670	0.000000	40.71	28.68	0.00	36
KOL	2011-10-11	1.643370	6.085070e+4	39.890	28.680	50.210	28.680	28.680	33.580	28.680	39.890	1.230	0.000000	40.71	28.68	0.00	37
KOL	2011-10-10	1.665120	6.005560e+4	39.890	28.680	50.470	28.680	28.680	33.580	28.680	39.890	1.850	0.000000	40.72	28.68	0.00	38
KOL	2011-10-07	1.655390	6.040860e+4	39.890	28.680	50.470	28.680	28.680	33.580	28.680	39.890	1.340	0.000000	40.72	28.68	0.00	39
KOL	2011-10-06	1.671990	5.980890e+4	40.800	28.680	50.470	28.680	28.680	33.580	28.680	40.800	1.180	0.000000	41.64	28.68	0.00	40
