#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
LEO	2011-12-02	0.117079	8.541250e+5	8.770	8.480	8.770	8.170	8.480	8.770	8.480	8.770	0.140	0.000000	8.83	8.48	0.00	1
LEO	2011-12-01	0.115873	8.630170e+5	8.680	8.480	8.680	8.170	8.480	8.680	8.480	8.680	0.120	0.000000	8.74	8.48	0.00	2
LEO	2011-11-30	0.115655	8.646380e+5	8.670	8.480	8.670	8.170	8.480	8.670	8.480	8.670	0.110	0.000000	8.73	8.48	0.00	3
LEO	2011-11-29	0.115953	8.624190e+5	8.670	8.480	8.670	8.170	8.480	8.650	8.480	8.670	0.070	0.000000	8.73	8.48	0.00	4
LEO	2011-11-28	0.118372	8.447980e+5	8.670	8.480	8.670	8.170	8.480	8.670	8.480	8.670	0.100	0.000000	8.73	8.48	0.00	5
LEO	2011-11-25	0.119338	8.379530e+5	8.670	8.460	8.670	8.170	8.480	8.670	8.460	8.670	0.130	0.000000	8.73	8.46	0.00	6
LEO	2011-11-23	0.118777	8.419120e+5	8.670	8.460	8.670	8.170	8.480	8.670	8.460	8.670	0.110	0.000000	8.73	8.46	0.00	7
LEO	2011-11-22	0.119239	8.386500e+5	8.670	8.460	8.670	8.150	8.480	8.670	8.460	8.670	0.140	0.000000	8.73	8.46	0.00	8
LEO	2011-11-21	0.118147	8.464060e+5	8.670	8.410	8.670	8.150	8.480	8.670	8.410	8.670	0.140	0.000000	8.73	8.41	0.00	9
LEO	2011-11-18	0.116996	8.547270e+5	8.670	8.410	8.670	8.150	8.480	8.670	8.410	8.670	0.090	0.000000	8.73	8.41	0.00	10
LEO	2011-11-17	0.118417	8.444710e+5	8.670	8.340	8.670	8.150	8.490	8.670	8.340	8.670	0.100	0.000000	8.73	8.34	0.00	11
LEO	2011-11-16	0.119387	8.376150e+5	8.670	8.300	8.670	8.150	8.490	8.670	8.300	8.670	0.110	0.000000	8.73	8.30	0.00	12
LEO	2011-11-15	0.119881	8.341630e+5	8.670	8.290	8.670	8.150	8.490	8.670	8.290	8.670	0.110	0.000000	8.73	8.29	0.00	13
LEO	2011-11-14	0.120401	8.305600e+5	8.670	8.290	8.670	8.080	8.490	8.670	8.290	8.670	0.150	0.000000	8.73	8.29	0.00	14
LEO	2011-11-11	0.118843	8.414480e+5	8.640	8.290	8.640	8.040	8.490	8.640	8.290	8.640	0.110	0.000000	8.70	8.29	0.00	15
LEO	2011-11-10	0.119308	8.381650e+5	8.640	8.290	8.640	8.040	8.460	8.640	8.290	8.640	0.070	0.000000	8.70	8.29	0.00	16
LEO	2011-11-09	0.121903	8.203220e+5	8.640	8.290	8.640	8.040	8.460	8.640	8.290	8.640	0.140	0.000000	8.70	8.29	0.00	17
LEO	2011-11-08	0.120951	8.267820e+5	8.600	8.290	8.600	8.040	8.460	8.600	8.290	8.600	0.150	0.000000	8.66	8.29	0.00	18
LEO	2011-11-07	0.119422	8.373660e+5	8.600	8.290	8.600	7.920	8.410	8.600	8.290	8.600	0.120	0.000000	8.66	8.29	0.00	19
LEO	2011-11-04	0.119392	8.375800e+5	8.600	8.290	8.600	7.920	8.410	8.600	8.290	8.600	0.060	0.000000	8.66	8.29	0.00	20
LEO	2011-11-03	0.122517	8.162100e+5	8.600	8.290	8.600	7.920	8.340	8.600	8.290	8.600	0.100	0.000000	8.66	8.29	0.00	21
LEO	2011-11-02	0.123703	8.083900e+5	8.600	8.290	8.600	7.920	8.300	8.600	8.290	8.600	0.050	0.000000	8.66	8.29	0.00	22
LEO	2011-11-01	0.127582	7.838110e+5	8.600	8.290	8.600	7.920	8.290	8.600	8.290	8.600	0.180	0.000000	8.66	8.29	0.00	23
LEO	2011-10-31	0.124823	8.011350e+5	8.580	8.290	8.580	7.920	8.290	8.540	8.290	8.580	0.110	0.000000	8.64	8.29	0.00	24
LEO	2011-10-28	0.125603	7.961590e+5	8.580	8.290	8.580	7.920	8.290	8.540	8.290	8.580	0.090	0.000000	8.64	8.29	0.00	25
LEO	2011-10-27	0.127477	7.844560e+5	8.580	8.290	8.580	7.920	8.290	8.580	8.290	8.580	0.230	0.000000	8.64	8.29	0.00	26
LEO	2011-10-26	0.122081	8.191290e+5	8.580	8.290	8.580	7.910	8.290	8.580	8.290	8.580	0.100	0.000000	8.64	8.29	0.00	27
LEO	2011-10-25	0.123243	8.114050e+5	8.580	8.290	8.580	7.660	8.290	8.580	8.290	8.580	0.080	0.000000	8.64	8.29	0.00	28
LEO	2011-10-24	0.125519	7.966920e+5	8.580	8.290	8.580	7.660	8.290	8.580	8.290	8.580	0.090	0.000000	8.64	8.29	0.00	29
LEO	2011-10-21	0.127388	7.850010e+5	8.580	8.290	8.580	7.660	8.290	8.580	8.290	8.580	0.140	0.000000	8.64	8.29	0.00	30
LEO	2011-10-20	0.126725	7.891120e+5	8.580	8.290	8.580	7.660	8.290	8.580	8.290	8.580	0.100	0.000000	8.64	8.29	0.00	31
LEO	2011-10-19	0.128131	7.804500e+5	8.580	8.290	8.580	7.660	8.290	8.580	8.290	8.580	0.070	0.000000	8.64	8.29	0.00	32
LEO	2011-10-18	0.131191	7.622490e+5	8.580	8.300	8.580	7.660	8.300	8.580	8.300	8.580	0.180	0.000000	8.65	8.30	0.00	33
LEO	2011-10-17	0.128622	7.774730e+5	8.580	8.290	8.580	7.660	8.300	8.580	8.290	8.580	0.440	0.000000	8.64	8.29	0.00	34
LEO	2011-10-14	0.112234	8.910000e+5	8.580	8.220	8.580	7.660	8.300	8.580	8.220	8.580	0.150	0.000000	8.64	8.22	0.00	35
LEO	2011-10-13	0.110246	9.070640e+5	8.540	8.170	8.540	7.660	8.300	8.540	8.170	8.540	0.130	0.000000	8.60	8.17	0.00	36
LEO	2011-10-12	0.109206	9.157000e+5	8.500	8.170	8.500	7.660	8.300	8.500	8.170	8.500	0.090	0.000000	8.55	8.17	0.00	37
LEO	2011-10-11	0.110217	9.073010e+5	8.500	8.170	8.500	7.660	8.300	8.500	8.170	8.500	0.270	0.000000	8.56	8.17	0.00	38
LEO	2011-10-10	0.101807	9.822480e+5	8.500	8.170	8.500	7.660	8.300	8.500	8.170	8.500	0.070	0.000000	8.55	8.17	0.00	39
LEO	2011-10-07	0.103481	9.663570e+5	8.500	8.170	8.500	7.660	8.320	8.500	8.170	8.500	0.140	0.000000	8.55	8.17	0.00	40
LEO	2011-10-06	0.101559	9.846460e+5	8.500	8.170	8.500	7.660	8.320	8.500	8.170	8.500	0.120	0.000000	8.55	8.17	0.00	41
LEO	2011-10-05	0.100589	9.941460e+5	8.500	8.170	8.500	7.660	8.320	8.500	8.170	8.500	0.100	0.000000	8.55	8.17	0.00	42
LEO	2011-10-04	0.100620	9.938400e+5	8.500	8.150	8.500	7.660	8.320	8.500	8.150	8.500	0.160	0.000000	8.55	8.15	0.00	43
LEO	2011-10-03	0.097494	1.025700e+6	8.500	8.150	8.500	7.660	8.290	8.500	8.150	8.500	0.070	0.000000	8.55	8.15	0.00	44
LEO	2011-09-30	0.098942	1.010700e+6	8.490	8.150	8.490	7.660	8.220	8.490	8.150	8.490	0.120	0.000000	8.54	8.15	0.00	45
LEO	2011-09-29	0.097833	1.022150e+6	8.490	8.150	8.490	7.660	8.170	8.490	8.150	8.490	0.090	0.000000	8.54	8.15	0.00	46
LEO	2011-09-28	0.098245	1.017860e+6	8.490	8.150	8.490	7.660	8.170	8.490	8.150	8.490	0.110	0.000000	8.54	8.15	0.00	47
LEO	2011-09-27	0.097627	1.024310e+6	8.380	8.150	8.380	7.660	8.170	8.380	8.150	8.380	0.120	0.000000	8.43	8.15	0.00	48
LEO	2011-09-26	0.096449	1.036810e+6	8.360	8.080	8.360	7.660	8.170	8.360	8.080	8.360	0.080	0.000000	8.41	8.08	0.00	49
LEO	2011-09-23	0.097315	1.027590e+6	8.360	8.040	8.360	7.660	8.170	8.360	8.040	8.360	0.090	0.000000	8.41	8.04	0.00	50
LEO	2011-09-22	0.097700	1.023540e+6	8.360	8.040	8.360	7.660	8.170	8.360	8.040	8.360	0.100	0.000000	8.41	8.04	0.00	51
LEO	2011-09-21	0.097579	1.024810e+6	8.360	8.040	8.360	7.660	8.170	8.360	8.040	8.360	0.100	0.000000	8.41	8.04	0.00	52
LEO	2011-09-20	0.097452	1.026150e+6	8.300	8.040	8.330	7.660	8.150	8.300	8.040	8.300	0.070	0.000000	8.35	8.04	0.00	53
LEO	2011-09-19	0.098896	1.011160e+6	8.300	7.920	8.330	7.660	8.150	8.300	7.920	8.300	0.100	0.000000	8.35	7.92	0.00	54
