#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
LINE	2011-12-01	0.859167	1.163920e+5	37.170	35.190	39.050	32.800	35.190	36.960	35.190	37.170	0.390	0.000000	37.60	35.19	0.00	1
LINE	2011-11-30	0.883860	1.131400e+5	37.690	35.190	39.050	32.800	35.190	37.170	35.190	37.690	0.910	0.000000	38.13	35.19	0.00	2
LINE	2011-11-29	0.882484	1.133160e+5	38.720	35.190	39.050	32.800	35.190	37.170	35.190	38.720	0.520	0.000000	39.16	35.19	0.00	3
LINE	2011-11-28	0.901562	1.109190e+5	39.050	35.190	39.050	32.800	35.190	37.170	35.190	39.050	1.420	0.000000	39.50	35.19	0.00	4
LINE	2011-11-25	0.874276	1.143800e+5	39.050	35.500	39.050	32.800	35.500	37.170	35.500	39.050	0.540	0.000000	39.49	35.50	0.00	5
LINE	2011-11-23	0.891870	1.121240e+5	39.050	35.890	39.050	32.800	35.890	37.170	35.890	39.050	0.740	0.000000	39.50	35.89	0.00	6
LINE	2011-11-22	0.899863	1.111280e+5	39.050	35.890	39.050	32.800	35.890	37.170	35.890	39.050	0.870	0.000000	39.50	35.89	0.00	7
LINE	2011-11-21	0.901434	1.109340e+5	39.050	35.890	39.050	32.800	35.890	37.170	35.890	39.050	1.350	0.000000	39.50	35.89	0.00	8
LINE	2011-11-18	0.877826	1.139180e+5	39.050	35.890	39.050	32.800	35.890	37.170	35.890	39.050	0.730	0.000000	39.49	35.89	0.00	9
LINE	2011-11-17	0.885606	1.129170e+5	39.050	35.890	39.050	32.800	35.890	37.170	35.890	39.050	0.910	0.000000	39.49	35.89	0.00	10
LINE	2011-11-16	0.884322	1.130810e+5	39.050	35.890	39.050	32.800	35.890	37.170	35.890	39.050	0.460	0.000000	39.49	35.89	0.00	11
LINE	2011-11-15	0.906655	1.102960e+5	39.050	35.890	39.050	32.800	35.890	37.690	35.890	39.050	0.570	0.000000	39.50	35.89	0.00	12
LINE	2011-11-14	0.924374	1.081810e+5	39.050	35.890	39.050	32.800	35.890	38.720	35.890	39.050	0.430	0.000000	39.51	35.89	0.00	13
LINE	2011-11-11	0.950393	1.052200e+5	39.050	35.890	39.050	32.800	35.890	39.050	35.890	39.050	0.420	0.000000	39.53	35.89	0.00	14
LINE	2011-11-10	0.978309	1.022170e+5	39.050	35.890	39.050	32.800	35.890	39.050	35.890	39.050	1.060	0.000000	39.54	35.89	0.00	15
LINE	2011-11-09	0.974009	1.026680e+5	39.050	36.510	39.050	32.800	36.510	39.050	36.510	39.050	0.850	0.000000	39.54	36.51	0.00	16
