#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MFA	2011-12-02	0.180195	5.549540e+5	6.910	6.250	7.260	6.250	6.250	6.880	6.250	6.910	0.140	0.000000	7.00	6.25	0.00	1
MFA	2011-12-01	0.182311	5.485140e+5	6.910	6.250	7.260	6.250	6.250	6.880	6.250	6.910	0.110	0.000000	7.00	6.25	0.00	2
MFA	2011-11-30	0.186116	5.372980e+5	6.910	6.250	7.260	6.250	6.250	6.700	6.250	6.910	0.350	0.000000	7.00	6.25	0.00	3
MFA	2011-11-29	0.177491	5.634090e+5	6.910	6.250	7.260	6.250	6.250	6.700	6.250	6.910	0.060	0.000000	7.00	6.25	0.00	4
MFA	2011-11-28	0.183675	5.444410e+5	6.980	6.250	7.260	6.250	6.250	6.810	6.250	6.980	0.160	0.000000	7.07	6.25	0.00	5
MFA	2011-11-25	0.184921	5.407720e+5	6.980	6.250	7.260	6.250	6.250	6.810	6.250	6.980	0.240	0.000000	7.07	6.25	0.00	6
MFA	2011-11-23	0.182022	5.493850e+5	6.980	6.470	7.260	6.270	6.470	6.810	6.470	6.980	0.230	0.000000	7.07	6.47	0.00	7
MFA	2011-11-22	0.179497	5.571130e+5	6.980	6.530	7.260	6.270	6.530	6.910	6.530	6.980	0.150	0.000000	7.07	6.53	0.00	8
MFA	2011-11-21	0.181049	5.523360e+5	6.980	6.610	7.260	6.270	6.610	6.910	6.610	6.980	0.150	0.000000	7.07	6.61	0.00	9
MFA	2011-11-18	0.182683	5.473950e+5	6.980	6.450	7.260	6.270	6.610	6.910	6.450	6.980	0.090	0.000000	7.07	6.45	0.00	10
MFA	2011-11-17	0.187561	5.331590e+5	6.980	6.450	7.490	6.270	6.620	6.910	6.450	6.980	0.120	0.000000	7.07	6.45	0.00	11
MFA	2011-11-16	0.191117	5.232390e+5	6.980	6.450	7.520	6.270	6.620	6.910	6.450	6.980	0.140	0.000000	7.08	6.45	0.00	12
MFA	2011-11-15	0.193808	5.159760e+5	6.980	6.450	7.520	6.270	6.620	6.910	6.450	6.980	0.130	0.000000	7.08	6.45	0.00	13
MFA	2011-11-14	0.197166	5.071870e+5	6.980	6.450	7.520	6.270	6.700	6.910	6.450	6.980	0.240	0.000000	7.08	6.45	0.00	14
MFA	2011-11-11	0.194911	5.130530e+5	6.980	6.450	7.520	6.270	6.700	6.980	6.450	6.980	0.130	0.000000	7.08	6.45	0.00	15
MFA	2011-11-10	0.198328	5.042160e+5	6.980	6.400	7.520	6.270	6.700	6.980	6.400	6.980	0.130	0.000000	7.08	6.40	0.00	16
