#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MFC	2011-12-01	0.421331	2.373430e+5	13.110	10.770	13.940	10.770	10.770	11.490	10.770	13.110	0.230	0.000000	13.32	10.77	0.00	1
MFC	2011-11-30	0.431401	2.318030e+5	13.110	10.770	13.940	10.770	10.770	11.800	10.770	13.110	0.520	0.000000	13.33	10.77	0.00	2
MFC	2011-11-29	0.426738	2.343360e+5	13.110	10.770	13.940	10.770	10.770	11.800	10.770	13.110	0.220	0.000000	13.32	10.77	0.00	3
MFC	2011-11-28	0.437619	2.285090e+5	13.160	10.770	13.940	10.770	10.770	12.000	10.770	13.160	0.350	0.000000	13.38	10.77	0.00	4
MFC	2011-11-25	0.442231	2.261260e+5	13.680	10.770	13.940	10.770	10.770	12.040	10.770	13.680	0.400	0.000000	13.90	10.77	0.00	5
MFC	2011-11-24	0.444453	2.249960e+5	13.940	10.780	13.940	10.780	10.780	12.040	10.780	13.940	0.270	0.000000	14.16	10.78	0.00	6
MFC	2011-11-23	0.453635	2.204420e+5	13.940	11.080	13.940	11.080	11.080	12.110	11.080	13.940	0.330	0.000000	14.17	11.08	0.00	7
MFC	2011-11-22	0.460142	2.173240e+5	13.940	11.200	13.940	11.200	11.200	12.770	11.200	13.940	0.280	0.000000	14.17	11.20	0.00	8
MFC	2011-11-21	0.469623	2.129370e+5	13.940	11.330	13.940	11.330	11.330	12.770	11.330	13.940	0.540	0.000000	14.17	11.33	0.00	9
MFC	2011-11-18	0.465919	2.146290e+5	13.940	11.490	13.940	11.370	11.490	12.790	11.490	13.940	0.390	0.000000	14.17	11.49	0.00	10
MFC	2011-11-17	0.469915	2.128040e+5	13.940	11.770	13.940	11.370	11.770	13.110	11.770	13.940	0.440	0.000000	14.18	11.77	0.00	11
MFC	2011-11-16	0.471489	2.120940e+5	13.940	11.770	13.940	11.370	11.770	13.110	11.770	13.940	0.270	0.000000	14.18	11.77	0.00	12
MFC	2011-11-15	0.482094	2.074280e+5	13.940	12.000	13.940	11.370	12.000	13.110	12.000	13.940	0.280	0.000000	14.18	12.00	0.00	13
MFC	2011-11-14	0.492731	2.029510e+5	13.940	12.010	13.940	11.370	12.010	13.160	12.010	13.940	0.230	0.000000	14.19	12.01	0.00	14
MFC	2011-11-11	0.506559	1.974110e+5	13.940	12.010	13.940	11.370	12.010	13.680	12.010	13.940	0.260	0.000000	14.19	12.01	0.00	15
MFC	2011-11-10	0.519535	1.924800e+5	13.940	12.110	13.940	11.370	12.110	13.940	12.110	13.940	0.320	0.000000	14.20	12.11	0.00	16
MFC	2011-11-09	0.530037	1.886660e+5	13.940	12.340	13.940	11.370	12.420	13.940	12.340	13.940	0.660	0.000000	14.21	12.34	0.00	17
MFC	2011-11-08	0.523197	1.911330e+5	13.940	12.340	13.940	11.370	12.420	13.940	12.340	13.940	0.310	0.000000	14.20	12.34	0.00	18
MFC	2011-11-07	0.534418	1.871190e+5	13.940	11.880	13.940	11.370	12.420	13.940	11.880	13.940	0.390	0.000000	14.21	11.88	0.00	19
MFC	2011-11-04	0.542019	1.844950e+5	13.940	11.880	13.940	11.370	12.420	13.940	11.880	13.940	0.430	0.000000	14.21	11.88	0.00	20
MFC	2011-11-03	0.547915	1.825100e+5	13.940	11.880	13.940	11.370	12.420	13.940	11.880	13.940	0.810	0.000000	14.21	11.88	0.00	21
MFC	2011-11-02	0.534121	1.872240e+5	13.940	11.390	13.940	11.370	12.420	13.940	11.390	13.940	0.340	0.000000	14.21	11.39	0.00	22
MFC	2011-11-01	0.544338	1.837100e+5	13.940	11.370	13.940	11.370	12.440	13.940	11.370	13.940	0.780	0.000000	14.21	11.37	0.00	23
MFC	2011-10-31	0.531934	1.879930e+5	13.940	11.370	13.940	11.370	12.340	13.940	11.370	13.940	0.520	0.000000	14.21	11.37	0.00	24
MFC	2011-10-28	0.532562	1.877710e+5	13.940	11.370	13.940	11.370	12.340	13.940	11.370	13.940	0.380	0.000000	14.21	11.37	0.00	25
MFC	2011-10-27	0.540592	1.849820e+5	13.160	11.370	13.920	11.370	12.340	13.160	11.370	13.160	1.030	0.000000	13.43	11.37	0.00	26
MFC	2011-10-26	0.514834	1.942370e+5	13.160	11.370	13.920	11.370	12.340	13.160	11.370	13.160	0.370	0.000000	13.42	11.37	0.00	27
MFC	2011-10-25	0.522457	1.914030e+5	13.160	11.370	13.920	11.370	12.340	13.160	11.370	13.160	0.380	0.000000	13.42	11.37	0.00	28
MFC	2011-10-24	0.529954	1.886960e+5	12.940	11.370	13.930	11.370	11.880	12.940	11.370	12.940	0.400	0.000000	13.21	11.37	0.00	29
MFC	2011-10-21	0.536794	1.862910e+5	12.940	11.370	14.400	11.370	11.880	12.940	11.370	12.940	0.440	0.000000	13.21	11.37	0.00	30
MFC	2011-10-20	0.541888	1.845400e+5	12.940	11.370	14.570	11.370	11.880	12.940	11.370	12.940	0.390	0.000000	13.21	11.37	0.00	31
MFC	2011-10-19	0.549883	1.818570e+5	12.940	11.370	15.180	11.370	11.390	12.940	11.370	12.940	0.380	0.000000	13.21	11.37	0.00	32
MFC	2011-10-18	0.558824	1.789470e+5	12.940	11.370	15.340	11.370	11.370	12.940	11.370	12.940	0.680	0.000000	13.22	11.37	0.00	33
MFC	2011-10-17	0.552446	1.810130e+5	12.940	11.370	15.340	11.370	11.370	12.940	11.370	12.940	0.790	0.000000	13.22	11.37	0.00	34
MFC	2011-10-14	0.539943	1.852050e+5	12.910	11.370	15.600	11.370	11.370	12.850	11.370	12.910	0.540	0.000000	13.18	11.37	0.00	35
MFC	2011-10-13	0.539940	1.852060e+5	12.910	11.370	15.820	11.370	11.370	12.850	11.370	12.910	0.470	0.000000	13.18	11.37	0.00	36
MFC	2011-10-12	0.543621	1.839520e+5	12.910	11.370	15.940	11.370	11.370	12.360	11.370	12.910	0.690	0.000000	13.18	11.37	0.00	37
MFC	2011-10-11	0.535917	1.865960e+5	12.910	11.370	16.110	11.370	11.370	12.300	11.370	12.910	0.610	0.000000	13.18	11.37	0.00	38
MFC	2011-10-07	0.532018	1.879640e+5	12.910	11.370	16.110	11.370	11.370	12.300	11.370	12.910	0.540	0.000000	13.18	11.37	0.00	39
MFC	2011-10-06	0.531598	1.881120e+5	12.910	11.370	16.110	11.370	11.370	12.300	11.370	12.910	0.400	0.000000	13.18	11.37	0.00	40
MFC	2011-10-05	0.538524	1.856930e+5	13.000	11.370	16.110	11.370	11.370	12.300	11.370	13.000	0.720	0.000000	13.27	11.37	0.00	41
MFC	2011-10-04	0.528973	1.890460e+5	13.000	11.370	16.110	11.370	11.370	12.450	11.370	13.000	0.480	0.000000	13.26	11.37	0.00	42
