#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MG	2011-12-01	1.183720	8.447960e+4	36.390	33.940	40.190	32.660	34.310	36.390	33.940	36.390	1.070	0.000000	36.98	33.94	0.00	1
MG	2011-11-30	1.189700	8.405460e+4	35.990	33.940	40.190	32.660	34.310	35.350	33.940	35.990	2.080	0.000000	36.58	33.94	0.00	2
MG	2011-11-29	1.142850	8.750090e+4	36.000	33.940	40.190	32.660	34.520	35.350	33.940	36.000	0.750	0.000000	36.57	33.94	0.00	3
MG	2011-11-28	1.163520	8.594600e+4	38.030	33.940	40.190	32.660	34.520	35.350	33.940	38.030	0.630	0.000000	38.61	33.94	0.00	4
MG	2011-11-25	1.191600	8.392070e+4	39.630	33.940	40.190	32.660	34.520	35.350	33.940	39.630	1.040	0.000000	40.23	33.94	0.00	5
MG	2011-11-24	1.199580	8.336250e+4	40.190	33.940	40.190	32.660	34.140	35.350	33.940	40.190	0.690	0.000000	40.79	33.94	0.00	6
MG	2011-11-23	1.226400	8.153940e+4	40.190	33.940	40.190	32.660	33.940	35.350	33.940	40.190	0.880	0.000000	40.80	33.94	0.00	7
MG	2011-11-22	1.244630	8.034500e+4	40.190	33.940	40.190	32.660	33.940	35.630	33.940	40.190	0.430	0.000000	40.81	33.94	0.00	8
MG	2011-11-21	1.287510	7.766940e+4	40.190	33.940	40.190	32.660	33.940	35.630	33.940	40.190	0.840	0.000000	40.83	33.94	0.00	9
MG	2011-11-18	1.311060	7.627410e+4	40.190	33.940	40.190	32.660	33.940	35.630	33.940	40.190	0.910	0.000000	40.85	33.94	0.00	10
MG	2011-11-17	1.332170	7.506550e+4	40.190	33.940	40.190	32.660	33.940	35.630	33.940	40.190	0.980	0.000000	40.86	33.94	0.00	11
MG	2011-11-16	1.350700	7.403550e+4	40.190	33.940	40.190	32.660	33.940	35.990	33.940	40.190	0.840	0.000000	40.87	33.94	0.00	12
MG	2011-11-15	1.377580	7.259090e+4	40.190	33.940	40.190	32.660	33.940	36.000	33.940	40.190	0.720	0.000000	40.88	33.94	0.00	13
MG	2011-11-14	1.412190	7.081180e+4	40.190	33.940	40.190	32.660	33.940	38.030	33.940	40.190	0.570	0.000000	40.90	33.94	0.00	14
MG	2011-11-11	1.456520	6.865680e+4	40.190	33.940	40.190	32.660	33.940	39.630	33.940	40.190	0.800	0.000000	40.92	33.94	0.00	15
MG	2011-11-10	1.491070	6.706580e+4	40.190	33.940	40.190	32.660	33.940	40.190	33.940	40.190	0.750	0.000000	40.94	33.94	0.00	16
MG	2011-11-09	1.530080	6.535620e+4	40.190	35.170	40.190	32.660	35.170	40.190	35.170	40.190	1.830	0.000000	40.95	35.17	0.00	17
