#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MKP	2011-12-02	0.178448	5.603870e+5	14.140	13.550	14.650	13.550	13.700	14.000	13.550	14.140	0.140	0.000000	14.23	13.55	0.00	1
MKP	2011-12-01	0.180472	5.541040e+5	14.200	13.550	14.650	13.550	13.800	14.000	13.550	14.200	0.260	0.000000	14.29	13.55	0.00	2
MKP	2011-11-30	0.176286	5.672600e+5	14.200	13.550	14.650	13.550	13.800	14.000	13.550	14.200	0.100	0.000000	14.29	13.55	0.00	3
MKP	2011-11-29	0.180301	5.546280e+5	14.200	13.550	14.650	13.550	13.800	14.000	13.550	14.200	0.090	0.000000	14.29	13.55	0.00	4
MKP	2011-11-28	0.185054	5.403840e+5	14.240	13.550	14.650	13.550	13.550	14.000	13.550	14.240	0.500	0.000000	14.33	13.55	0.00	5
MKP	2011-11-25	0.168478	5.935510e+5	14.250	13.550	14.650	13.550	13.550	14.000	13.550	14.250	0.080	0.000000	14.33	13.55	0.00	6
MKP	2011-11-24	0.173134	5.775870e+5	14.250	13.550	14.650	13.550	13.550	14.000	13.550	14.250	0.240	0.000000	14.34	13.55	0.00	7
MKP	2011-11-23	0.169615	5.895710e+5	14.250	13.550	14.650	13.550	13.550	14.020	13.550	14.250	0.140	0.000000	14.33	13.55	0.00	8
MKP	2011-11-22	0.171174	5.842020e+5	14.250	13.550	14.650	13.550	13.550	14.120	13.550	14.250	0.100	0.000000	14.34	13.55	0.00	9
MKP	2011-11-21	0.174920	5.716910e+5	14.250	13.550	14.650	13.550	13.550	14.120	13.550	14.250	0.210	0.000000	14.34	13.55	0.00	10
MKP	2011-11-18	0.173073	5.777900e+5	14.250	13.550	14.650	13.550	13.550	14.140	13.550	14.250	0.200	0.000000	14.34	13.55	0.00	11
MKP	2011-11-17	0.171656	5.825600e+5	14.250	13.550	14.650	13.550	13.550	14.200	13.550	14.250	0.100	0.000000	14.34	13.55	0.00	12
MKP	2011-11-16	0.175427	5.700360e+5	14.250	13.550	14.650	13.550	13.550	14.200	13.550	14.250	0.200	0.000000	14.34	13.55	0.00	13
MKP	2011-11-15	0.174134	5.742700e+5	14.250	13.550	14.650	13.550	13.550	14.200	13.550	14.250	0.500	0.000000	14.34	13.55	0.00	14
MKP	2011-11-14	0.156983	6.370100e+5	14.250	14.000	14.650	14.000	14.000	14.240	14.000	14.250	0.700	0.000000	14.33	14.00	0.00	15
MKP	2011-11-11	0.128404	7.787950e+5	14.250	14.000	14.650	14.000	14.000	14.250	14.000	14.250	0.050	0.000000	14.31	14.00	0.00	16
MKP	2011-11-10	0.132530	7.545460e+5	14.250	14.020	14.650	14.020	14.020	14.250	14.020	14.250	0.150	0.000000	14.32	14.02	0.00	17
MKP	2011-11-09	0.131611	7.598180e+5	14.250	14.020	14.650	14.020	14.020	14.250	14.020	14.250	0.140	0.000000	14.32	14.02	0.00	18
MKP	2011-11-08	0.131169	7.623750e+5	14.300	14.020	14.650	14.020	14.020	14.250	14.020	14.300	0.090	0.000000	14.37	14.02	0.00	19
MKP	2011-11-07	0.133336	7.499860e+5	14.300	14.020	14.650	14.020	14.020	14.250	14.020	14.300	0.090	0.000000	14.37	14.02	0.00	20
MKP	2011-11-04	0.135617	7.373730e+5	14.320	14.020	14.650	14.020	14.020	14.250	14.020	14.320	0.080	0.000000	14.39	14.02	0.00	21
MKP	2011-11-03	0.138544	7.217930e+5	14.320	14.020	14.650	14.020	14.020	14.250	14.020	14.320	0.180	0.000000	14.39	14.02	0.00	22
MKP	2011-11-02	0.136362	7.333430e+5	14.320	14.130	14.650	14.130	14.170	14.250	14.130	14.320	0.190	0.000000	14.39	14.13	0.00	23
MKP	2011-11-01	0.133539	7.488460e+5	14.360	14.130	14.650	14.130	14.200	14.250	14.130	14.360	0.130	0.000000	14.43	14.13	0.00	24
MKP	2011-10-31	0.133725	7.478030e+5	14.550	14.130	14.650	14.130	14.200	14.250	14.130	14.550	0.170	0.000000	14.62	14.13	0.00	25
MKP	2011-10-28	0.131816	7.586340e+5	14.550	14.130	14.650	14.100	14.130	14.250	14.130	14.550	0.050	0.000000	14.62	14.13	0.00	26
MKP	2011-10-27	0.136122	7.346350e+5	14.550	14.130	14.650	13.980	14.130	14.250	14.130	14.550	0.030	0.000000	14.62	14.13	0.00	27
MKP	2011-10-26	0.141707	7.056800e+5	14.550	14.130	14.650	13.980	14.130	14.250	14.130	14.550	0.100	0.000000	14.62	14.13	0.00	28
MKP	2011-10-25	0.143902	6.949150e+5	14.550	14.130	14.650	13.980	14.130	14.300	14.130	14.550	0.050	0.000000	14.62	14.13	0.00	29
MKP	2011-10-24	0.148845	6.718410e+5	14.550	14.130	14.650	13.980	14.130	14.300	14.130	14.550	0.130	0.000000	14.62	14.13	0.00	30
MKP	2011-10-21	0.149837	6.673940e+5	14.550	14.130	14.650	13.980	14.130	14.320	14.130	14.550	0.110	0.000000	14.62	14.13	0.00	31
MKP	2011-10-20	0.151933	6.581840e+5	14.650	14.130	14.650	13.980	14.130	14.320	14.130	14.650	0.080	0.000000	14.73	14.13	0.00	32
MKP	2011-10-19	0.155719	6.421820e+5	14.650	14.130	14.720	13.980	14.130	14.320	14.130	14.650	0.140	0.000000	14.73	14.13	0.00	33
MKP	2011-10-18	0.156547	6.387880e+5	14.650	14.130	14.720	13.980	14.130	14.360	14.130	14.650	0.110	0.000000	14.73	14.13	0.00	34
MKP	2011-10-17	0.158996	6.289450e+5	14.650	14.130	14.720	13.980	14.130	14.550	14.130	14.650	0.120	0.000000	14.73	14.13	0.00	35
MKP	2011-10-14	0.161049	6.209300e+5	14.650	14.230	14.720	13.980	14.230	14.550	14.230	14.650	0.250	0.000000	14.73	14.23	0.00	36
MKP	2011-10-13	0.156367	6.395210e+5	14.650	14.230	14.720	13.980	14.230	14.550	14.230	14.650	0.120	0.000000	14.73	14.23	0.00	37
MKP	2011-10-12	0.158281	6.317870e+5	14.650	14.230	14.720	13.980	14.230	14.550	14.230	14.650	0.120	0.000000	14.73	14.23	0.00	38
MKP	2011-10-11	0.160296	6.238460e+5	14.650	14.230	14.720	13.980	14.230	14.550	14.230	14.650	0.210	0.000000	14.73	14.23	0.00	39
MKP	2011-10-07	0.157680	6.341960e+5	14.650	14.270	14.720	13.980	14.270	14.550	14.270	14.650	0.200	0.000000	14.73	14.27	0.00	40
MKP	2011-10-06	0.155453	6.432830e+5	14.650	14.270	14.720	13.980	14.270	14.550	14.270	14.650	0.060	0.000000	14.73	14.27	0.00	41
MKP	2011-10-05	0.160476	6.231440e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.110	0.000000	14.73	14.30	0.00	42
MKP	2011-10-04	0.163133	6.129960e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.160	0.000000	14.73	14.30	0.00	43
MKP	2011-10-03	0.163298	6.123770e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.200	0.000000	14.73	14.30	0.00	44
MKP	2011-09-30	0.161366	6.197080e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.290	0.000000	14.73	14.30	0.00	45
MKP	2011-09-29	0.154596	6.468470e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.130	0.000000	14.73	14.30	0.00	46
MKP	2011-09-28	0.155891	6.414750e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.210	0.000000	14.73	14.30	0.00	47
MKP	2011-09-27	0.153043	6.534120e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.280	0.000000	14.73	14.30	0.00	48
MKP	2011-09-26	0.146361	6.832430e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.080	0.000000	14.72	14.30	0.00	49
MKP	2011-09-23	0.149853	6.673180e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.100	0.000000	14.72	14.30	0.00	50
MKP	2011-09-22	0.152477	6.558350e+5	14.650	14.300	14.720	13.980	14.300	14.650	14.300	14.650	0.410	0.000000	14.73	14.30	0.00	51
MKP	2011-09-21	0.138924	7.198200e+5	14.520	14.300	14.720	13.980	14.300	14.520	14.300	14.520	0.150	0.000000	14.59	14.30	0.00	52
MKP	2011-09-20	0.138341	7.228540e+5	14.490	14.300	14.720	13.980	14.300	14.460	14.300	14.490	0.060	0.000000	14.56	14.30	0.00	53
MKP	2011-09-19	0.142464	7.019330e+5	14.550	14.300	14.720	13.980	14.300	14.450	14.300	14.550	0.190	0.000000	14.62	14.30	0.00	54
