#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MMM	2011-12-02	2.187690	4.571030e+4	82.290	75.540	82.290	70.930	75.540	81.040	75.540	82.290	2.410	0.000000	83.38	75.54	0.00	1
MMM	2011-12-01	2.175990	4.595610e+4	82.290	75.540	82.290	70.930	75.540	81.870	75.540	82.290	1.060	0.000000	83.38	75.54	0.00	2
MMM	2011-11-30	2.234730	4.474820e+4	82.290	75.540	82.290	70.930	75.540	81.870	75.540	82.290	3.810	0.000000	83.41	75.54	0.00	3
MMM	2011-11-29	2.151820	4.647230e+4	82.290	75.540	82.290	70.930	75.540	81.870	75.540	82.290	1.150	0.000000	83.37	75.54	0.00	4
MMM	2011-11-28	2.204550	4.536080e+4	82.290	75.540	82.290	70.930	75.540	82.290	75.540	82.290	1.880	0.000000	83.39	75.54	0.00	5
MMM	2011-11-25	2.221630	4.501200e+4	82.290	75.540	82.290	70.930	75.540	82.290	75.540	82.290	1.320	0.000000	83.40	75.54	0.00	6
MMM	2011-11-23	2.269080	4.407070e+4	82.290	76.530	82.290	70.930	77.830	82.290	76.530	82.290	2.340	0.000000	83.42	76.53	0.00	7
MMM	2011-11-22	2.265350	4.414330e+4	82.290	76.530	82.290	70.930	78.390	82.290	76.530	82.290	1.490	0.000000	83.42	76.53	0.00	8
MMM	2011-11-21	2.306160	4.336220e+4	82.290	76.530	82.290	70.930	79.000	82.290	76.530	82.290	3.000	0.000000	83.44	76.53	0.00	9
MMM	2011-11-18	2.269640	4.405990e+4	82.290	76.530	82.290	70.930	79.000	82.290	76.530	82.290	1.040	0.000000	83.42	76.53	0.00	10
MMM	2011-11-17	2.334360	4.283830e+4	82.290	76.530	82.980	70.930	79.000	82.290	76.530	82.290	2.200	0.000000	83.46	76.53	0.00	11
MMM	2011-11-16	2.341430	4.270900e+4	82.290	76.530	82.980	70.930	78.060	82.290	76.530	82.290	2.240	0.000000	83.46	76.53	0.00	12
MMM	2011-11-15	2.346770	4.261180e+4	82.290	76.530	82.980	70.930	76.530	82.290	76.530	82.290	1.320	0.000000	83.46	76.53	0.00	13
MMM	2011-11-14	2.400810	4.165270e+4	82.290	75.880	82.980	70.930	76.530	82.290	75.880	82.290	1.110	0.000000	83.49	75.88	0.00	14
MMM	2011-11-11	2.468740	4.050640e+4	82.180	75.880	82.980	70.930	76.530	81.830	75.880	82.180	2.340	0.000000	83.41	75.88	0.00	15
MMM	2011-11-10	2.475520	4.039550e+4	82.180	75.880	82.980	70.930	76.530	81.830	75.880	82.180	2.160	0.000000	83.42	75.88	0.00	16
MMM	2011-11-09	2.492130	4.012640e+4	82.180	75.880	82.980	70.930	76.530	81.830	75.880	82.180	3.360	0.000000	83.43	75.88	0.00	17
MMM	2011-11-08	2.446450	4.087560e+4	82.180	75.880	82.980	70.930	76.530	81.410	75.880	82.180	2.310	0.000000	83.40	75.88	0.00	18
MMM	2011-11-07	2.453630	4.075590e+4	82.180	75.880	82.980	70.930	76.530	82.180	75.880	82.180	1.890	0.000000	83.41	75.88	0.00	19
MMM	2011-11-04	2.483300	4.026910e+4	82.180	73.820	82.980	70.930	76.530	82.180	73.820	82.180	1.520	0.000000	83.42	73.82	0.00	20
MMM	2011-11-03	2.534000	3.946340e+4	82.180	73.820	82.980	70.930	76.530	82.180	73.820	82.180	1.930	0.000000	83.45	73.82	0.00	21
MMM	2011-11-02	2.565780	3.897440e+4	82.180	72.530	82.980	70.930	76.530	82.180	72.530	82.180	2.110	0.000000	83.46	72.53	0.00	22
MMM	2011-11-01	2.589770	3.861340e+4	82.180	72.010	83.310	70.930	77.020	82.180	72.010	82.180	2.760	0.000000	83.47	72.01	0.00	23
MMM	2011-10-31	2.580810	3.874750e+4	82.180	70.930	83.310	70.930	75.880	82.180	70.930	82.180	2.070	0.000000	83.47	70.93	0.00	24
MMM	2011-10-28	2.607700	3.834800e+4	82.180	70.930	83.310	70.930	75.880	82.180	70.930	82.180	1.340	0.000000	83.48	70.93	0.00	25
MMM	2011-10-27	2.674420	3.739130e+4	82.180	70.930	83.310	70.930	75.880	82.180	70.930	82.180	5.310	0.000000	83.52	70.93	0.00	26
MMM	2011-10-26	2.535710	3.943680e+4	82.180	70.930	83.310	70.930	75.880	82.180	70.930	82.180	2.430	0.000000	83.45	70.93	0.00	27
MMM	2011-10-25	2.541270	3.935040e+4	82.180	70.930	83.310	70.930	75.880	82.180	70.930	82.180	5.900	0.000000	83.45	70.93	0.00	28
MMM	2011-10-24	2.364490	4.229240e+4	80.480	70.930	83.310	70.930	75.880	80.480	70.930	80.480	2.170	0.000000	81.66	70.93	0.00	29
MMM	2011-10-21	2.374730	4.211010e+4	78.890	70.930	83.310	70.930	73.820	78.890	70.930	78.890	1.880	0.000000	80.08	70.93	0.00	30
MMM	2011-10-20	2.400770	4.165330e+4	78.890	70.930	86.180	70.930	73.820	78.890	70.930	78.890	1.950	0.000000	80.09	70.93	0.00	31
MMM	2011-10-19	2.424490	4.124570e+4	78.890	70.930	86.180	70.930	72.530	78.890	70.930	78.890	1.590	0.000000	80.10	70.93	0.00	32
MMM	2011-10-18	2.468410	4.051180e+4	79.210	70.930	86.770	70.930	72.010	78.890	70.930	79.210	3.440	0.000000	80.44	70.93	0.00	33
MMM	2011-10-17	2.417280	4.136890e+4	79.210	70.930	87.140	70.930	70.930	78.890	70.930	79.210	3.390	0.000000	80.42	70.93	0.00	34
MMM	2011-10-14	2.366080	4.226400e+4	80.530	70.930	87.570	70.930	70.930	78.360	70.930	80.530	1.430	0.000000	81.71	70.93	0.00	35
MMM	2011-10-13	2.415350	4.140190e+4	80.630	70.930	88.080	70.930	70.930	78.360	70.930	80.630	1.730	0.000000	81.84	70.93	0.00	36
MMM	2011-10-12	2.451420	4.079270e+4	80.630	70.930	89.930	70.930	70.930	76.720	70.930	80.630	2.920	0.000000	81.86	70.93	0.00	37
MMM	2011-10-11	2.426760	4.120720e+4	80.630	70.930	95.070	70.930	70.930	76.720	70.930	80.630	0.980	0.000000	81.84	70.93	0.00	38
MMM	2011-10-10	2.502900	3.995360e+4	80.630	70.930	95.380	70.930	70.930	76.280	70.930	80.630	2.920	0.000000	81.88	70.93	0.00	39
MMM	2011-10-07	2.480950	4.030710e+4	80.630	70.930	95.840	70.930	70.930	76.280	70.930	80.630	2.380	0.000000	81.87	70.93	0.00	40
MMM	2011-10-06	2.486260	4.022100e+4	80.630	70.930	95.840	70.930	70.930	76.280	70.930	80.630	2.690	0.000000	81.87	70.93	0.00	41
MMM	2011-10-05	2.475540	4.039520e+4	80.630	70.930	95.840	70.930	70.930	76.340	70.930	80.630	1.830	0.000000	81.87	70.93	0.00	42
MMM	2011-10-04	2.509520	3.984830e+4	80.630	70.930	95.840	70.930	70.930	79.210	70.930	80.630	3.550	0.000000	81.88	70.93	0.00	43
MMM	2011-10-03	2.454750	4.073730e+4	80.630	71.790	95.840	71.790	71.790	79.210	71.790	80.630	2.310	0.000000	81.86	71.79	0.00	44
MMM	2011-09-30	2.462370	4.061120e+4	81.610	72.900	95.840	72.900	72.900	80.530	72.900	81.610	2.820	0.000000	82.84	72.90	0.00	45
MMM	2011-09-29	2.443550	4.092410e+4	82.980	72.900	96.190	72.900	72.900	80.630	72.900	82.980	2.180	0.000000	84.20	72.90	0.00	46
MMM	2011-09-28	2.457420	4.069310e+4	82.980	72.900	96.190	72.900	72.900	80.630	72.900	82.980	3.700	0.000000	84.21	72.90	0.00	47
MMM	2011-09-27	2.392020	4.180560e+4	82.980	72.900	96.560	72.900	72.900	80.630	72.900	82.980	2.580	0.000000	84.18	72.90	0.00	48
MMM	2011-09-26	2.382130	4.197920e+4	82.980	72.900	97.620	72.900	72.900	80.630	72.900	82.980	1.810	0.000000	84.17	72.90	0.00	49
MMM	2011-09-23	2.412240	4.145520e+4	82.980	72.900	97.970	72.900	72.900	80.630	72.900	82.980	1.990	0.000000	84.19	72.90	0.00	50
MMM	2011-09-22	2.434470	4.107680e+4	82.980	76.340	97.970	76.340	76.340	80.630	76.340	82.980	4.340	0.000000	84.20	76.34	0.00	51
MMM	2011-09-21	2.334170	4.284170e+4	82.980	76.650	97.970	76.650	76.650	80.630	76.650	82.980	3.490	0.000000	84.15	76.65	0.00	52
MMM	2011-09-20	2.273340	4.398810e+4	82.980	76.650	97.970	76.650	76.650	80.630	76.650	82.980	1.460	0.000000	84.12	76.65	0.00	53
MMM	2011-09-19	2.316150	4.317510e+4	82.980	76.650	97.970	76.650	76.650	80.630	76.650	82.980	2.650	0.000000	84.14	76.65	0.00	54
