#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MOS	2011-12-02	2.414100	4.142330e+4	59.570	49.300	71.070	47.130	49.300	53.150	49.300	59.570	2.480	0.000000	60.78	49.30	0.00	1
MOS	2011-12-01	2.410630	4.148290e+4	59.570	49.300	71.070	47.130	49.300	54.580	49.300	59.570	1.660	0.000000	60.78	49.30	0.00	2
MOS	2011-11-30	2.450140	4.081400e+4	59.570	49.300	71.070	47.130	49.300	55.780	49.300	59.570	2.880	0.000000	60.80	49.30	0.00	3
MOS	2011-11-29	2.427510	4.119440e+4	59.570	49.300	71.070	47.130	49.300	56.820	49.300	59.570	1.340	0.000000	60.78	49.30	0.00	4
MOS	2011-11-28	2.484750	4.024550e+4	61.960	49.300	71.070	47.130	49.300	57.780	49.300	61.960	1.890	0.000000	63.20	49.30	0.00	5
MOS	2011-11-25	2.516050	3.974480e+4	61.960	50.010	71.070	47.130	50.010	57.780	50.010	61.960	1.060	0.000000	63.22	50.01	0.00	6
MOS	2011-11-23	2.592690	3.857000e+4	61.960	50.760	71.120	47.130	50.760	57.780	50.760	61.960	1.900	0.000000	63.26	50.76	0.00	7
MOS	2011-11-22	2.629140	3.803520e+4	61.960	50.760	71.120	47.130	50.760	59.570	50.760	61.960	1.690	0.000000	63.27	50.76	0.00	8
MOS	2011-11-21	2.678570	3.733330e+4	61.960	50.760	71.120	47.130	50.760	59.570	50.760	61.960	2.180	0.000000	63.30	50.76	0.00	9
MOS	2011-11-18	2.704810	3.697110e+4	61.960	50.760	71.120	47.130	50.760	59.570	50.760	61.960	2.940	0.000000	63.31	50.76	0.00	10
MOS	2011-11-17	2.692440	3.714110e+4	61.960	54.580	71.130	47.130	54.580	59.570	54.580	61.960	6.170	0.000000	63.31	54.58	0.00	11
MOS	2011-11-16	2.509410	3.985010e+4	61.960	53.450	73.180	47.130	55.780	59.570	53.450	61.960	1.310	0.000000	63.21	53.45	0.00	12
MOS	2011-11-15	2.572530	3.887220e+4	61.960	53.450	73.180	47.130	55.870	59.570	53.450	61.960	1.560	0.000000	63.25	53.45	0.00	13
MOS	2011-11-14	2.625820	3.808330e+4	61.960	53.450	73.180	47.130	55.870	59.570	53.450	61.960	2.240	0.000000	63.27	53.45	0.00	14
MOS	2011-11-11	2.646130	3.779100e+4	61.960	53.450	73.180	47.130	55.870	61.960	53.450	61.960	1.680	0.000000	63.28	53.45	0.00	15
MOS	2011-11-10	2.696980	3.707850e+4	61.960	53.450	73.180	47.130	55.870	61.960	53.450	61.960	2.150	0.000000	63.31	53.45	0.00	16
MOS	2011-11-09	2.725770	3.668690e+4	61.960	53.450	73.180	47.130	55.870	61.960	53.450	61.960	3.220	0.000000	63.32	53.45	0.00	17
MOS	2011-11-08	2.699760	3.704040e+4	61.960	53.450	73.180	47.130	55.870	61.960	53.450	61.960	1.720	0.000000	63.31	53.45	0.00	18
MOS	2011-11-07	2.751320	3.634620e+4	61.960	53.450	73.180	47.130	55.870	61.960	53.450	61.960	1.580	0.000000	63.34	53.45	0.00	19
MOS	2011-11-04	2.812970	3.554960e+4	61.960	51.190	73.180	47.130	55.870	61.960	51.190	61.960	2.020	0.000000	63.37	51.19	0.00	20
MOS	2011-11-03	2.854710	3.502990e+4	61.960	51.190	73.180	47.130	55.250	61.960	51.190	61.960	1.940	0.000000	63.39	51.19	0.00	21
MOS	2011-11-02	2.902850	3.444890e+4	61.960	51.190	73.180	47.130	53.450	61.960	51.190	61.960	2.080	0.000000	63.41	51.19	0.00	22
MOS	2011-11-01	2.946160	3.394250e+4	61.960	49.080	73.180	47.130	53.450	61.960	49.080	61.960	4.320	0.000000	63.43	49.08	0.00	23
MOS	2011-10-31	2.873850	3.479660e+4	61.960	47.130	73.180	47.130	53.450	61.960	47.130	61.960	3.460	0.000000	63.40	47.13	0.00	24
MOS	2011-10-28	2.843000	3.517410e+4	61.810	47.130	73.180	47.130	53.450	61.810	47.130	61.810	1.380	0.000000	63.23	47.13	0.00	25
MOS	2011-10-27	2.920000	3.424660e+4	59.450	47.130	73.180	47.130	53.450	59.450	47.130	59.450	3.080	0.000000	60.91	47.13	0.00	26
MOS	2011-10-26	2.911580	3.434570e+4	59.200	47.130	73.180	47.130	53.450	59.200	47.130	59.200	2.370	0.000000	60.66	47.13	0.00	27
MOS	2011-10-25	2.940080	3.401270e+4	60.350	47.130	73.180	47.130	53.450	59.200	47.130	60.350	2.890	0.000000	61.82	47.13	0.00	28
MOS	2011-10-24	2.942720	3.398220e+4	60.350	47.130	73.180	47.130	53.450	58.450	47.130	60.350	1.530	0.000000	61.82	47.13	0.00	29
MOS	2011-10-21	3.017070	3.314470e+4	60.350	47.130	73.180	47.130	51.190	57.110	47.130	60.350	4.240	0.000000	61.86	47.13	0.00	30
