#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MRD	2011-12-02	0.313925	3.185480e+5	13.990	12.820	13.990	10.850	12.820	13.360	12.820	13.990	0.350	0.000000	14.15	12.82	0.00	1
MRD	2011-12-01	0.312026	3.204860e+5	13.990	12.820	13.990	10.850	12.820	13.360	12.820	13.990	0.510	0.000000	14.15	12.82	0.00	2
MRD	2011-11-30	0.301606	3.315580e+5	13.990	12.820	13.990	10.850	12.820	13.360	12.820	13.990	0.570	0.000000	14.14	12.82	0.00	3
MRD	2011-11-29	0.287480	3.478500e+5	13.990	12.350	13.990	10.850	12.820	13.360	12.350	13.990	0.240	0.000000	14.13	12.35	0.00	4
MRD	2011-11-28	0.289979	3.448520e+5	13.990	12.350	13.990	10.850	12.910	13.360	12.350	13.990	0.580	0.000000	14.13	12.35	0.00	5
MRD	2011-11-25	0.274715	3.640130e+5	13.990	12.340	13.990	10.850	12.920	13.660	12.340	13.990	0.330	0.000000	14.13	12.34	0.00	6
MRD	2011-11-24	0.271805	3.679100e+5	13.990	12.310	13.990	10.850	12.920	13.660	12.310	13.990	0.160	0.000000	14.13	12.31	0.00	7
MRD	2011-11-23	0.277690	3.601140e+5	13.990	12.250	13.990	10.850	12.920	13.660	12.250	13.990	0.110	0.000000	14.13	12.25	0.00	8
MRD	2011-11-22	0.286516	3.490210e+5	13.990	12.040	13.990	10.850	12.920	13.990	12.040	13.990	0.330	0.000000	14.13	12.04	0.00	9
MRD	2011-11-21	0.284227	3.518310e+5	13.990	11.840	13.990	10.850	12.920	13.990	11.840	13.990	0.340	0.000000	14.13	11.84	0.00	10
MRD	2011-11-18	0.281292	3.555030e+5	13.990	11.840	13.990	10.850	13.000	13.990	11.840	13.990	0.080	0.000000	14.13	11.84	0.00	11
MRD	2011-11-17	0.291886	3.426000e+5	13.990	11.840	13.990	10.850	13.000	13.990	11.840	13.990	0.140	0.000000	14.14	11.84	0.00	12
MRD	2011-11-16	0.299880	3.334670e+5	13.990	11.840	13.990	10.850	12.900	13.990	11.840	13.990	0.120	0.000000	14.14	11.84	0.00	13
MRD	2011-11-15	0.309347	3.232610e+5	13.990	11.840	13.990	10.850	12.350	13.990	11.840	13.990	0.070	0.000000	14.14	11.84	0.00	14
MRD	2011-11-14	0.321945	3.106130e+5	13.990	11.840	13.990	10.850	12.350	13.990	11.840	13.990	0.810	0.000000	14.15	11.84	0.00	15
MRD	2011-11-11	0.296257	3.375440e+5	13.990	11.840	13.990	10.850	12.340	13.990	11.840	13.990	0.000	0.000000	14.14	11.84	0.00	16
MRD	2011-11-10	0.311850	3.206670e+5	13.990	11.840	13.990	10.850	12.310	13.990	11.840	13.990	0.090	0.000000	14.15	11.84	0.00	17
MRD	2011-11-09	0.323526	3.090940e+5	13.990	11.840	13.990	10.850	12.250	13.990	11.840	13.990	0.430	0.000000	14.15	11.84	0.00	18
MRD	2011-11-08	0.317922	3.145420e+5	13.520	11.780	13.520	10.850	12.040	13.520	11.780	13.520	0.540	0.000000	13.68	11.78	0.00	19
MRD	2011-11-07	0.306234	3.265480e+5	13.520	11.760	13.520	10.850	11.840	13.520	11.760	13.520	0.180	0.000000	13.67	11.76	0.00	20
MRD	2011-11-04	0.312878	3.196140e+5	13.500	11.500	13.600	10.850	11.840	13.500	11.500	13.500	0.900	0.000000	13.66	11.50	0.00	21
MRD	2011-11-03	0.281977	3.546390e+5	12.900	10.870	13.770	10.850	11.840	12.900	10.870	12.900	0.600	0.000000	13.04	10.87	0.00	22
MRD	2011-11-02	0.265239	3.770190e+5	12.410	10.850	13.900	10.850	11.840	12.410	10.850	12.410	0.560	0.000000	12.54	10.85	0.00	23
MRD	2011-11-01	0.249725	4.004410e+5	12.410	10.850	13.900	10.850	11.840	12.410	10.850	12.410	0.060	0.000000	12.53	10.85	0.00	24
MRD	2011-10-31	0.259710	3.850440e+5	12.340	10.850	14.050	10.850	11.840	12.340	10.850	12.340	0.130	0.000000	12.47	10.85	0.00	25
MRD	2011-10-28	0.266537	3.751820e+5	12.310	10.850	14.200	10.850	11.840	12.310	10.850	12.310	0.190	0.000000	12.44	10.85	0.00	26
MRD	2011-10-27	0.270566	3.695960e+5	12.250	10.850	14.200	10.850	11.840	12.250	10.850	12.250	0.070	0.000000	12.39	10.85	0.00	27
MRD	2011-10-26	0.281122	3.557180e+5	12.250	10.850	14.200	10.850	11.840	12.250	10.850	12.250	0.480	0.000000	12.39	10.85	0.00	28
MRD	2011-10-25	0.270654	3.694750e+5	12.250	10.850	14.750	10.850	11.780	12.250	10.850	12.250	0.260	0.000000	12.39	10.85	0.00	29
MRD	2011-10-24	0.271215	3.687110e+5	12.250	10.850	14.750	10.850	11.760	12.250	10.850	12.250	0.260	0.000000	12.39	10.85	0.00	30
MRD	2011-10-21	0.271805	3.679100e+5	12.250	10.850	15.380	10.850	11.500	12.250	10.850	12.250	0.300	0.000000	12.39	10.85	0.00	31
MRD	2011-10-20	0.270321	3.699300e+5	12.250	10.850	15.700	10.850	10.870	12.250	10.850	12.250	0.290	0.000000	12.39	10.85	0.00	32
MRD	2011-10-19	0.269286	3.713530e+5	12.250	10.850	15.710	10.850	10.850	12.250	10.850	12.250	0.210	0.000000	12.38	10.85	0.00	33
MRD	2011-10-18	0.272406	3.670990e+5	12.250	10.850	15.750	10.850	10.850	12.250	10.850	12.250	0.210	0.000000	12.39	10.85	0.00	34
MRD	2011-10-17	0.275691	3.627260e+5	12.380	10.850	15.750	10.850	10.850	12.250	10.850	12.380	0.050	0.000000	12.52	10.85	0.00	35
MRD	2011-10-14	0.287569	3.477430e+5	12.380	10.850	15.750	10.850	10.850	12.000	10.850	12.380	0.300	0.000000	12.52	10.85	0.00	36
MRD	2011-10-13	0.286915	3.485360e+5	12.470	10.850	15.900	10.850	10.850	11.900	10.850	12.470	0.110	0.000000	12.61	10.85	0.00	37
MRD	2011-10-12	0.296226	3.375800e+5	12.750	10.850	15.900	10.850	10.850	11.780	10.850	12.750	0.120	0.000000	12.90	10.85	0.00	38
MRD	2011-10-11	0.305501	3.273310e+5	12.750	10.850	15.900	10.850	10.850	11.760	10.850	12.750	0.290	0.000000	12.90	10.85	0.00	39
MRD	2011-10-07	0.306317	3.264590e+5	12.750	10.850	15.900	10.850	10.850	11.500	10.850	12.750	0.350	0.000000	12.90	10.85	0.00	40
