#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
MRK	2011-12-02	0.747880	1.337110e+5	35.970	33.160	35.970	31.050	33.160	35.750	33.160	35.970	0.540	0.000000	36.34	33.16	0.00	1
MRK	2011-12-01	0.758821	1.317830e+5	35.970	33.160	35.970	31.050	33.160	35.750	33.160	35.970	0.430	0.000000	36.35	33.16	0.00	2
MRK	2011-11-30	0.776128	1.288450e+5	35.970	33.160	35.970	31.050	33.160	35.730	33.160	35.970	1.320	0.000000	36.36	33.16	0.00	3
MRK	2011-11-29	0.747503	1.337790e+5	35.970	33.160	35.970	31.050	33.160	35.730	33.160	35.970	0.650	0.000000	36.34	33.16	0.00	4
MRK	2011-11-28	0.752635	1.328670e+5	35.970	33.160	35.970	31.050	33.160	35.970	33.160	35.970	1.150	0.000000	36.35	33.16	0.00	5
MRK	2011-11-25	0.731721	1.366640e+5	35.970	33.190	35.970	31.050	33.190	35.970	33.190	35.970	0.270	0.000000	36.34	33.19	0.00	6
MRK	2011-11-23	0.756022	1.322710e+5	35.970	33.540	35.970	31.050	33.790	35.970	33.540	35.970	0.620	0.000000	36.35	33.54	0.00	7
MRK	2011-11-22	0.763181	1.310310e+5	35.970	32.910	35.970	31.050	33.790	35.970	32.910	35.970	0.460	0.000000	36.35	32.91	0.00	8
MRK	2011-11-21	0.779138	1.283470e+5	35.970	32.910	35.970	31.050	33.790	35.970	32.910	35.970	0.950	0.000000	36.36	32.91	0.00	9
MRK	2011-11-18	0.770145	1.298460e+5	35.970	32.910	35.970	31.050	33.790	35.970	32.910	35.970	0.380	0.000000	36.36	32.91	0.00	10
MRK	2011-11-17	0.790679	1.264740e+5	35.970	32.800	35.970	31.050	33.790	35.970	32.800	35.970	0.760	0.000000	36.37	32.80	0.00	11
MRK	2011-11-16	0.792294	1.262160e+5	35.970	32.540	35.970	31.050	33.790	35.970	32.540	35.970	0.700	0.000000	36.37	32.54	0.00	12
MRK	2011-11-15	0.797151	1.254470e+5	35.970	32.540	35.970	31.050	33.790	35.970	32.540	35.970	0.530	0.000000	36.37	32.54	0.00	13
MRK	2011-11-14	0.811212	1.232720e+5	35.970	32.310	35.970	31.050	33.790	35.970	32.310	35.970	0.860	0.000000	36.38	32.31	0.00	14
MRK	2011-11-11	0.808644	1.236640e+5	35.110	32.310	35.110	31.050	33.790	35.110	32.310	35.110	1.280	0.000000	35.51	32.31	0.00	15
MRK	2011-11-10	0.783836	1.275780e+5	35.110	32.310	35.110	31.050	33.790	35.110	32.310	35.110	1.350	0.000000	35.50	32.31	0.00	16
MRK	2011-11-09	0.754038	1.326190e+5	35.110	32.310	35.110	31.050	33.540	35.110	32.310	35.110	1.000	0.000000	35.49	32.31	0.00	17
MRK	2011-11-08	0.741092	1.349360e+5	35.110	31.930	35.110	31.050	32.910	35.110	31.930	35.110	0.570	0.000000	35.48	31.93	0.00	18
MRK	2011-11-07	0.750097	1.333160e+5	35.110	31.930	35.110	31.050	32.910	35.110	31.930	35.110	0.520	0.000000	35.49	31.93	0.00	19
