#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
NA	2011-12-02	1.276970	7.831020e+4	70.190	63.820	72.750	63.820	63.820	66.950	63.820	70.190	2.040	0.000000	70.83	63.82	0.00	1
NA	2011-12-01	1.236810	8.085300e+4	70.350	63.820	72.750	63.820	63.820	66.950	63.820	70.350	0.840	0.000000	70.97	63.82	0.00	2
NA	2011-11-30	1.257700	7.951040e+4	70.350	63.820	72.750	63.820	63.820	68.530	63.820	70.350	2.090	0.000000	70.98	63.82	0.00	3
NA	2011-11-29	1.213890	8.237960e+4	70.350	63.820	72.750	63.820	63.820	68.840	63.820	70.350	0.860	0.000000	70.96	63.82	0.00	4
NA	2011-11-28	1.232520	8.113470e+4	71.140	63.820	72.750	63.820	63.820	69.170	63.820	71.140	1.170	0.000000	71.76	63.82	0.00	5
NA	2011-11-25	1.235810	8.091870e+4	72.430	64.230	72.750	64.230	64.230	69.350	64.230	72.430	0.970	0.000000	73.05	64.23	0.00	6
NA	2011-11-24	1.249800	8.001290e+4	72.750	64.500	72.750	64.500	64.500	69.350	64.500	72.750	1.050	0.000000	73.37	64.50	0.00	7
NA	2011-11-23	1.260310	7.934530e+4	72.750	65.770	72.750	65.770	65.770	69.350	65.770	72.750	1.620	0.000000	73.38	65.77	0.00	8
NA	2011-11-22	1.241380	8.055530e+4	72.750	66.550	72.750	66.550	66.550	70.190	66.550	72.750	0.970	0.000000	73.37	66.55	0.00	9
NA	2011-11-21	1.255670	7.963900e+4	72.750	66.850	72.930	66.650	66.850	70.190	66.850	72.750	1.550	0.000000	73.38	66.85	0.00	10
NA	2011-11-18	1.240180	8.063370e+4	72.750	66.850	72.930	66.650	66.850	70.190	66.850	72.750	1.060	0.000000	73.37	66.85	0.00	11
NA	2011-11-17	1.249660	8.002190e+4	72.750	68.530	72.930	66.650	68.530	70.350	68.530	72.750	2.120	0.000000	73.37	68.53	0.00	12
NA	2011-11-16	1.203850	8.306670e+4	72.750	68.760	72.930	66.650	68.760	70.350	68.760	72.750	0.850	0.000000	73.35	68.76	0.00	13
NA	2011-11-15	1.222480	8.180130e+4	72.750	68.760	72.930	66.650	68.760	70.350	68.760	72.750	0.530	0.000000	73.36	68.76	0.00	14
NA	2011-11-14	1.258920	7.943310e+4	72.750	68.760	72.930	66.650	68.760	71.140	68.760	72.750	1.270	0.000000	73.38	68.76	0.00	15
NA	2011-11-11	1.258340	7.946990e+4	72.750	68.760	72.930	66.650	68.760	72.430	68.760	72.750	0.980	0.000000	73.38	68.76	0.00	16
NA	2011-11-10	1.272990	7.855540e+4	72.750	68.980	72.930	66.650	68.980	72.750	68.980	72.750	0.880	0.000000	73.39	68.98	0.00	17
NA	2011-11-09	1.293670	7.729940e+4	72.750	69.080	72.930	66.650	69.610	72.750	69.080	72.750	1.340	0.000000	73.40	69.08	0.00	18
NA	2011-11-08	1.291230	7.744540e+4	72.750	68.810	72.930	66.650	69.610	72.750	68.810	72.750	0.740	0.000000	73.40	68.81	0.00	19
NA	2011-11-07	1.320240	7.574350e+4	72.750	68.250	72.930	66.650	69.610	72.750	68.250	72.750	0.700	0.000000	73.41	68.25	0.00	20
NA	2011-11-04	1.352890	7.391590e+4	72.750	68.250	73.510	66.650	69.620	72.750	68.250	72.750	1.140	0.000000	73.43	68.25	0.00	21
NA	2011-11-03	1.364090	7.330870e+4	72.750	67.150	73.510	66.650	69.620	72.750	67.150	72.750	1.030	0.000000	73.43	67.15	0.00	22
NA	2011-11-02	1.381680	7.237580e+4	72.750	66.650	73.510	66.650	69.620	72.750	66.650	72.750	0.610	0.000000	73.44	66.65	0.00	23
NA	2011-11-01	1.422290	7.030900e+4	72.750	66.650	73.510	66.650	70.060	72.750	66.650	72.750	1.990	0.000000	73.46	66.65	0.00	24
NA	2011-10-31	1.392410	7.181780e+4	72.750	66.650	73.510	66.650	70.060	72.750	66.650	72.750	1.340	0.000000	73.45	66.65	0.00	25
NA	2011-10-28	1.395170	7.167580e+4	72.750	66.650	73.510	66.650	70.040	72.750	66.650	72.750	1.110	0.000000	73.45	66.65	0.00	26
NA	2011-10-27	1.410180	7.091290e+4	71.900	66.650	73.510	66.650	69.080	71.900	66.650	71.900	1.610	0.000000	72.61	66.65	0.00	27
NA	2011-10-26	1.399660	7.144570e+4	71.900	66.650	73.510	66.650	69.080	71.900	66.650	71.900	0.610	0.000000	72.60	66.65	0.00	28
NA	2011-10-25	1.441230	6.938540e+4	71.900	66.650	73.510	66.650	68.810	71.900	66.650	71.900	0.780	0.000000	72.62	66.65	0.00	29
NA	2011-10-24	1.476030	6.774950e+4	71.350	66.650	73.510	66.650	68.250	71.350	66.650	71.350	0.910	0.000000	72.09	66.65	0.00	30
NA	2011-10-21	1.505820	6.640910e+4	70.460	66.650	73.510	66.650	68.250	70.460	66.650	70.460	1.480	0.000000	71.21	66.65	0.00	31
