#Header line 	date 	volatility 	unit 		brkh20 	brkl20 	brkh55 	brkl55 	low10 	high10 	low20 	high20 	truerng	ignore20	add 	sellall	normalizedprice
NG	2011-12-01	0.674896	1.481710e+5	11.490	8.760	11.490	6.190	9.670	11.490	8.760	11.490	0.550	0.000000	11.83	8.76	0.00	1
NG	2011-11-30	0.681469	1.467420e+5	10.950	8.760	10.950	6.190	8.810	10.950	8.760	10.950	1.060	0.000000	11.29	8.76	0.00	2
NG	2011-11-29	0.661547	1.511610e+5	10.950	8.760	10.950	6.190	8.760	10.950	8.760	10.950	0.430	0.000000	11.28	8.76	0.00	3
NG	2011-11-28	0.673733	1.484270e+5	10.950	8.760	10.950	6.190	8.760	10.950	8.760	10.950	1.130	0.000000	11.29	8.76	0.00	4
NG	2011-11-25	0.649719	1.539130e+5	10.950	8.760	10.950	6.190	8.760	10.950	8.760	10.950	0.530	0.000000	11.27	8.76	0.00	5
NG	2011-11-23	0.656020	1.524340e+5	10.950	8.390	10.950	6.190	8.760	10.950	8.390	10.950	0.610	0.000000	11.28	8.39	0.00	6
NG	2011-11-22	0.658442	1.518740e+5	10.950	8.220	11.220	6.190	8.760	10.950	8.220	10.950	0.540	0.000000	11.28	8.22	0.00	7
NG	2011-11-21	0.664676	1.504490e+5	10.950	7.860	11.220	6.190	8.760	10.950	7.860	10.950	1.040	0.000000	11.28	7.86	0.00	8
NG	2011-11-18	0.644922	1.550570e+5	10.950	7.540	11.220	6.190	8.760	10.950	7.540	10.950	0.730	0.000000	11.27	7.54	0.00	9
NG	2011-11-17	0.640444	1.561420e+5	10.950	7.470	11.220	6.190	8.760	10.950	7.470	10.950	0.970	0.000000	11.27	7.47	0.00	10
NG	2011-11-16	0.623099	1.604880e+5	9.740	7.470	11.220	6.190	8.760	9.740	7.470	9.740	2.680	0.000000	10.05	7.47	0.00	11
NG	2011-11-15	0.514841	1.942350e+5	9.740	7.470	11.220	6.190	8.760	9.740	7.470	9.740	0.300	0.000000	10.00	7.47	0.00	12
NG	2011-11-14	0.526149	1.900600e+5	9.740	7.470	11.220	6.190	8.840	9.740	7.470	9.740	0.560	0.000000	10.00	7.47	0.00	13
NG	2011-11-11	0.524367	1.907060e+5	9.740	7.410	11.220	6.190	8.840	9.740	7.410	9.740	0.600	0.000000	10.00	7.41	0.00	14
NG	2011-11-10	0.520387	1.921650e+5	9.740	7.380	11.220	6.190	8.800	9.740	7.380	9.740	0.450	0.000000	10.00	7.38	0.00	15
NG	2011-11-09	0.524091	1.908060e+5	9.740	7.330	11.220	6.190	8.390	9.740	7.330	9.740	0.520	0.000000	10.00	7.33	0.00	16
NG	2011-11-08	0.524306	1.907280e+5	9.740	7.110	11.220	6.190	8.220	9.740	7.110	9.740	0.430	0.000000	10.00	7.11	0.00	17
NG	2011-11-07	0.529270	1.889390e+5	9.740	7.070	11.220	6.190	7.860	9.740	7.070	9.740	0.370	0.000000	10.00	7.07	0.00	18
NG	2011-11-04	0.537653	1.859940e+5	9.480	6.730	11.220	6.190	7.540	9.480	6.730	9.480	0.550	0.000000	9.75	6.73	0.00	19
NG	2011-11-03	0.537003	1.862190e+5	9.480	6.730	11.220	6.190	7.470	9.480	6.730	9.480	0.470	0.000000	9.75	6.73	0.00	20
NG	2011-11-02	0.540529	1.850040e+5	9.440	6.730	11.220	6.190	7.470	9.440	6.730	9.440	0.580	0.000000	9.71	6.73	0.00	21
NG	2011-11-01	0.538452	1.857180e+5	9.440	6.310	11.220	6.190	7.470	9.440	6.310	9.440	0.830	0.000000	9.71	6.31	0.00	22
NG	2011-10-31	0.523107	1.911650e+5	9.440	6.190	11.220	6.190	7.470	9.440	6.190	9.440	0.290	0.000000	9.70	6.19	0.00	23
NG	2011-10-28	0.535376	1.867850e+5	8.800	6.190	11.220	6.190	7.410	8.800	6.190	8.800	0.810	0.000000	9.07	6.19	0.00	24
NG	2011-10-27	0.520922	1.919670e+5	8.390	6.190	11.220	6.190	7.380	8.390	6.190	8.390	0.550	0.000000	8.65	6.19	0.00	25
NG	2011-10-26	0.519392	1.925330e+5	8.220	6.190	11.220	6.190	7.330	8.220	6.190	8.220	0.520	0.000000	8.48	6.19	0.00	26
NG	2011-10-25	0.519360	1.925450e+5	8.160	6.190	11.220	6.190	7.110	8.160	6.190	8.160	0.790	0.000000	8.42	6.19	0.00	27
NG	2011-10-24	0.505115	1.979750e+5	8.160	6.190	11.220	6.190	7.070	8.160	6.190	8.160	0.400	0.000000	8.41	6.19	0.00	28
NG	2011-10-21	0.510648	1.958300e+5	8.160	6.190	11.220	6.190	6.730	8.160	6.190	8.160	0.300	0.000000	8.42	6.19	0.00	29
NG	2011-10-20	0.521735	1.916680e+5	8.160	6.190	11.220	6.190	6.730	8.160	6.190	8.160	0.400	0.000000	8.42	6.19	0.00	30
NG	2011-10-19	0.528142	1.893430e+5	8.160	6.190	11.220	6.190	6.730	8.160	6.190	8.160	0.700	0.000000	8.42	6.19	0.00	31
NG	2011-10-18	0.519096	1.926420e+5	8.180	6.190	11.220	6.190	6.310	7.530	6.190	8.180	0.890	0.000000	8.44	6.19	0.00	32
NG	2011-10-17	0.499575	2.001700e+5	8.180	6.190	11.220	6.190	6.190	7.410	6.190	8.180	0.310	0.000000	8.43	6.19	0.00	33
NG	2011-10-14	0.509553	1.962500e+5	8.180	6.190	11.220	6.190	6.190	7.380	6.190	8.180	0.400	0.000000	8.43	6.19	0.00	34
NG	2011-10-13	0.515319	1.940550e+5	8.180	6.190	11.220	6.190	6.190	7.330	6.190	8.180	0.250	0.000000	8.44	6.19	0.00	35
NG	2011-10-12	0.529283	1.889350e+5	8.500	6.190	11.220	6.190	6.190	7.110	6.190	8.500	0.380	0.000000	8.76	6.19	0.00	36
NG	2011-10-11	0.537140	1.861710e+5	8.540	6.190	11.220	6.190	6.190	7.070	6.190	8.540	0.340	0.000000	8.81	6.19	0.00	37
NG	2011-10-10	0.547516	1.826430e+5	8.650	6.190	11.220	6.190	6.190	7.280	6.190	8.650	0.340	0.000000	8.92	6.19	0.00	38
NG	2011-10-07	0.558438	1.790710e+5	9.160	6.190	11.220	6.190	6.190	7.280	6.190	9.160	0.670	0.000000	9.44	6.19	0.00	39
